"curation_id","study_name","sample_id","subject_id","target_condition","target_condition_ontology_term_id","body_site","body_site_ontology_term_id","host_species","host_species_ontology_term_id","control","control_ontology_term_id","age","age_group","age_group_ontology_term_id","age_unit","age_unit_ontology_term_id","sex","sex_ontology_term_id","disease","disease_ontology_term_id","curator"
"BoktorJC_2023:BC002158","BoktorJC_2023","PD_1","BC002158","Parkinson Disease","NCIT:C26845","feces","UBERON:0001988","Homo sapiens","NCBITaxon:9606","Case","NCIT:C49152",65,"Elderly","NCIT:C16268","Year","NCIT:C29848","Male","NCIT:C20197","Parkinson Disease","NCIT:C26845","Kaelyn Long"
"BoktorJC_2023:BC000113","BoktorJC_2023","PD_1_PC","BC000113","Parkinson Disease","NCIT:C26845","feces","UBERON:0001988","Homo sapiens","NCBITaxon:9606","External Comparison Group","NCIT:C71546",65,"Elderly","NCIT:C16268","Year","NCIT:C29848","Male","NCIT:C20197","Healthy","NCIT:C115935","Kaelyn Long"
"BoktorJC_2023:BC002157","BoktorJC_2023","PD_1_HC","BC002157","Parkinson Disease","NCIT:C26845","feces","UBERON:0001988","Homo sapiens","NCBITaxon:9606","Internal Comparison Group","NCIT:C71545",69,"Elderly","NCIT:C16268","Year","NCIT:C29848","Female","NCIT:C16576","Healthy","NCIT:C115935","Kaelyn Long"
"BoktorJC_2023:BC002159","BoktorJC_2023","PD_2","BC002159","Parkinson Disease","NCIT:C26845","feces","UBERON:0001988","Homo sapiens","NCBITaxon:9606","Case","NCIT:C49152",69,"Elderly","NCIT:C16268","Year","NCIT:C29848","Male","NCIT:C20197","Parkinson Disease","NCIT:C26845","Kaelyn Long"
"BoktorJC_2023:BC000706","BoktorJC_2023","PD_2_PC","BC000706","Parkinson Disease","NCIT:C26845","feces","UBERON:0001988","Homo sapiens","NCBITaxon:9606","External Comparison Group","NCIT:C71546",47,"Adult","NCIT:C49685","Year","NCIT:C29848","Male","NCIT:C20197","Healthy","NCIT:C115935","Kaelyn Long"
"BoktorJC_2023:BC002160","BoktorJC_2023","PD_2_HC","BC002160","Parkinson Disease","NCIT:C26845","feces","UBERON:0001988","Homo sapiens","NCBITaxon:9606","Internal Comparison Group","NCIT:C71545",69,"Elderly","NCIT:C16268","Year","NCIT:C29848","Female","NCIT:C16576","Healthy","NCIT:C115935","Kaelyn Long"
"BoktorJC_2023:BC002161","BoktorJC_2023","PD_3","BC002161","Parkinson Disease","NCIT:C26845","feces","UBERON:0001988","Homo sapiens","NCBITaxon:9606","Case","NCIT:C49152",54,"Adult","NCIT:C49685","Year","NCIT:C29848","Female","NCIT:C16576","Parkinson Disease","NCIT:C26845","Kaelyn Long"
"BoktorJC_2023:BC001247","BoktorJC_2023","PD_3_PC","BC001247","Parkinson Disease","NCIT:C26845","feces","UBERON:0001988","Homo sapiens","NCBITaxon:9606","External Comparison Group","NCIT:C71546",54,"Adult","NCIT:C49685","Year","NCIT:C29848","Female","NCIT:C16576","Healthy","NCIT:C115935","Kaelyn Long"
"BoktorJC_2023:BC002162","BoktorJC_2023","PD_3_HC","BC002162","Parkinson Disease","NCIT:C26845","feces","UBERON:0001988","Homo sapiens","NCBITaxon:9606","Internal Comparison Group","NCIT:C71545",56,"Adult","NCIT:C49685","Year","NCIT:C29848","Male","NCIT:C20197","Healthy","NCIT:C115935","Kaelyn Long"
"BoktorJC_2023:BC002168","BoktorJC_2023","PD_4","BC002168","Parkinson Disease","NCIT:C26845","feces","UBERON:0001988","Homo sapiens","NCBITaxon:9606","Case","NCIT:C49152",91,"Elderly","NCIT:C16268","Year","NCIT:C29848","Male","NCIT:C20197","Parkinson Disease","NCIT:C26845","Kaelyn Long"
"BoktorJC_2023:BC000944","BoktorJC_2023","PD_4_PC","BC000944","Parkinson Disease","NCIT:C26845","feces","UBERON:0001988","Homo sapiens","NCBITaxon:9606","External Comparison Group","NCIT:C71546",68,"Elderly","NCIT:C16268","Year","NCIT:C29848","Male","NCIT:C20197","Healthy","NCIT:C115935","Kaelyn Long"
"BoktorJC_2023:BC002167","BoktorJC_2023","PD_4_HC","BC002167","Parkinson Disease","NCIT:C26845","feces","UBERON:0001988","Homo sapiens","NCBITaxon:9606","Internal Comparison Group","NCIT:C71545",83,"Elderly","NCIT:C16268","Year","NCIT:C29848","Female","NCIT:C16576","Healthy","NCIT:C115935","Kaelyn Long"
"BoktorJC_2023:BC002170","BoktorJC_2023","PD_5","BC002170","Parkinson Disease","NCIT:C26845","feces","UBERON:0001988","Homo sapiens","NCBITaxon:9606","Case","NCIT:C49152",76,"Elderly","NCIT:C16268","Year","NCIT:C29848","Male","NCIT:C20197","Parkinson Disease","NCIT:C26845","Kaelyn Long"
"BoktorJC_2023:BC000531","BoktorJC_2023","PD_5_PC","BC000531","Parkinson Disease","NCIT:C26845","feces","UBERON:0001988","Homo sapiens","NCBITaxon:9606","External Comparison Group","NCIT:C71546",55,"Adult","NCIT:C49685","Year","NCIT:C29848","Male","NCIT:C20197","Healthy","NCIT:C115935","Kaelyn Long"
"BoktorJC_2023:BC002172","BoktorJC_2023","PD_6","BC002172","Parkinson Disease","NCIT:C26845","feces","UBERON:0001988","Homo sapiens","NCBITaxon:9606","Case","NCIT:C49152",67,"Elderly","NCIT:C16268","Year","NCIT:C29848","Female","NCIT:C16576","Parkinson Disease","NCIT:C26845","Kaelyn Long"
"BoktorJC_2023:BC001237","BoktorJC_2023","PD_6_PC","BC001237","Parkinson Disease","NCIT:C26845","feces","UBERON:0001988","Homo sapiens","NCBITaxon:9606","External Comparison Group","NCIT:C71546",62,"Adult","NCIT:C49685","Year","NCIT:C29848","Female","NCIT:C16576","Healthy","NCIT:C115935","Kaelyn Long"
"BoktorJC_2023:BC002173","BoktorJC_2023","PD_6_HC","BC002173","Parkinson Disease","NCIT:C26845","feces","UBERON:0001988","Homo sapiens","NCBITaxon:9606","Internal Comparison Group","NCIT:C71545",77,"Elderly","NCIT:C16268","Year","NCIT:C29848","Male","NCIT:C20197","Healthy","NCIT:C115935","Kaelyn Long"
"BoktorJC_2023:BC002174","BoktorJC_2023","PD_7","BC002174","Parkinson Disease","NCIT:C26845","feces","UBERON:0001988","Homo sapiens","NCBITaxon:9606","Case","NCIT:C49152",76,"Elderly","NCIT:C16268","Year","NCIT:C29848","Male","NCIT:C20197","Parkinson Disease","NCIT:C26845","Kaelyn Long"
"BoktorJC_2023:BC001077","BoktorJC_2023","PD_7_PC","BC001077","Parkinson Disease","NCIT:C26845","feces","UBERON:0001988","Homo sapiens","NCBITaxon:9606","External Comparison Group","NCIT:C71546",43,"Adult","NCIT:C49685","Year","NCIT:C29848","Male","NCIT:C20197","Healthy","NCIT:C115935","Kaelyn Long"
"BoktorJC_2023:BC002176","BoktorJC_2023","PD_8","BC002176","Parkinson Disease","NCIT:C26845","feces","UBERON:0001988","Homo sapiens","NCBITaxon:9606","Case","NCIT:C49152",56,"Adult","NCIT:C49685","Year","NCIT:C29848","Female","NCIT:C16576","Parkinson Disease","NCIT:C26845","Kaelyn Long"
"BoktorJC_2023:BC001292","BoktorJC_2023","PD_8_PC","BC001292","Parkinson Disease","NCIT:C26845","feces","UBERON:0001988","Homo sapiens","NCBITaxon:9606","External Comparison Group","NCIT:C71546",54,"Adult","NCIT:C49685","Year","NCIT:C29848","Female","NCIT:C16576","Healthy","NCIT:C115935","Kaelyn Long"
