"study_name","sample_id","subject_id","target_condition","target_condition_ontology_term_id","body_site","body_site_ontology_term_id","host_species","host_species_ontology_term_id","control","control_ontology_term_id","age","age_group","age_group_ontology_term_id","age_unit","age_unit_ontology_term_id","sex","sex_ontology_term_id","disease","disease_ontology_term_id","curator","uncurated_sample_name","uncurated_library_ID","uncurated_title","uncurated_HOST","uncurated_DNA_extraction_kit","uncurated_library_strategy","uncurated_library_source","uncurated_library_selection","uncurated_library_layout","uncurated_platform","uncurated_instrument_model","uncurated_run_id","uncurated_run_date","uncurated_design_description","uncurated_filetype","uncurated_filename","uncurated_filename2","uncurated_filename3","uncurated_filename4","uncurated_assembly","uncurated_fasta_file","uncurated_geo_loc_name_country","uncurated_lat_lon","uncurated_age_weeks","uncurated_donor_microbiome_type","uncurated_cage","uncurated_unitn_file_paths","uncurated_uuid"
"MazmanianS_DumitrescuDG","CALTEC-001-DGD18","CALTEC-001-DGD18","Parkinson Disease","NCIT:C26845","feces","UBERON:0001988","Mus musculus","NCBITaxon:10090","Study Control","NCIT:C142703",13.29,NA,NA,"Week","NCIT:C29844","Female","NCIT:C16576",NA,NA,"Kaelyn Long","CALTEC-001-DGD18","CALTEC-001-DGD18","Fecal metagenome of C57BL/6 female mice colonized with gut microbiome from specific pathogen free mice","Mus musculus","QIAamp PowerFecal Pro","WGS","METAGENOMIC","RANDOM","paired","ILLUMINA","Illumina NovaSeq X Plus",435,"3/7/25","DNA was isolated from one mouse stool sample pellet using the Qiagen QIAamp PowerFecal Pro kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic.","fastq",NA,NA,NA,NA,NA,NA,"USA","34.1374596;-118.1268388",13.29,"SPF","F","/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD18/CALTEC-001-DGD18_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD18/CALTEC-001-DGD18_R2.fastq.gz;","f6e013f5-ed7d-4691-897f-04da0b2037d1"
"MazmanianS_DumitrescuDG","CALTEC-001-DGD19","CALTEC-001-DGD19","Parkinson Disease","NCIT:C26845","feces","UBERON:0001988","Mus musculus","NCBITaxon:10090","Study Control","NCIT:C142703",13.29,NA,NA,"Week","NCIT:C29844","Female","NCIT:C16576",NA,NA,"Kaelyn Long","CALTEC-001-DGD19","CALTEC-001-DGD19","Fecal metagenome of C57BL/6 female mice colonized with gut microbiome from specific pathogen free mice","Mus musculus","QIAamp PowerFecal Pro","WGS","METAGENOMIC","RANDOM","paired","ILLUMINA","Illumina NovaSeq X Plus",435,"3/7/25","DNA was isolated from one mouse stool sample pellet using the Qiagen QIAamp PowerFecal Pro kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic.","fastq",NA,NA,NA,NA,NA,NA,"USA","34.1374596;-118.1268389",13.29,"SPF","F","/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD19/CALTEC-001-DGD19_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD19/CALTEC-001-DGD19_R2.fastq.gz;","a4ba20f1-94c1-4da5-974f-72f3389af6f0"
"MazmanianS_DumitrescuDG","CALTEC-001-DGD20","CALTEC-001-DGD20","Parkinson Disease","NCIT:C26845","feces","UBERON:0001988","Mus musculus","NCBITaxon:10090","Study Control","NCIT:C142703",13.29,NA,NA,"Week","NCIT:C29844","Female","NCIT:C16576",NA,NA,"Kaelyn Long","CALTEC-001-DGD20","CALTEC-001-DGD20","Fecal metagenome of C57BL/6 female mice colonized with gut microbiome from specific pathogen free mice","Mus musculus","QIAamp PowerFecal Pro","WGS","METAGENOMIC","RANDOM","paired","ILLUMINA","Illumina NovaSeq X Plus",435,"3/7/25","DNA was isolated from one mouse stool sample pellet using the Qiagen QIAamp PowerFecal Pro kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic.","fastq",NA,NA,NA,NA,NA,NA,"USA","34.1374596;-118.1268390",13.29,"SPF","F","/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD20/CALTEC-001-DGD20_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD20/CALTEC-001-DGD20_R2.fastq.gz;","01cae6dd-3b93-4abd-9f17-5fbc6a82863e"
"MazmanianS_DumitrescuDG","CALTEC-001-DGD25","CALTEC-001-DGD25","Parkinson Disease","NCIT:C26845","feces","UBERON:0001988","Mus musculus","NCBITaxon:10090","Study Control","NCIT:C142703",13,NA,NA,"Week","NCIT:C29844","Female","NCIT:C16576",NA,NA,"Kaelyn Long","CALTEC-001-DGD25","CALTEC-001-DGD25","Fecal metagenome of C57BL/6 female mice colonized with gut microbiome from specific pathogen free mice","Mus musculus","QIAamp PowerFecal Pro","WGS","METAGENOMIC","RANDOM","paired","ILLUMINA","Illumina NovaSeq X Plus",435,"3/7/25","DNA was isolated from one mouse stool sample pellet using the Qiagen QIAamp PowerFecal Pro kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic.","fastq",NA,NA,NA,NA,NA,NA,"USA","34.1374596;-118.1268395",13,"SPF","H","/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD25/CALTEC-001-DGD25_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD25/CALTEC-001-DGD25_R2.fastq.gz;","1d949e2f-8bdb-48b7-bcf5-171c37d9ad66"
"MazmanianS_DumitrescuDG","CALTEC-001-DGD26","CALTEC-001-DGD26","Parkinson Disease","NCIT:C26845","feces","UBERON:0001988","Mus musculus","NCBITaxon:10090","Study Control","NCIT:C142703",13,NA,NA,"Week","NCIT:C29844","Female","NCIT:C16576",NA,NA,"Kaelyn Long","CALTEC-001-DGD26","CALTEC-001-DGD26","Fecal metagenome of C57BL/6 female mice colonized with gut microbiome from specific pathogen free mice","Mus musculus","QIAamp PowerFecal Pro","WGS","METAGENOMIC","RANDOM","paired","ILLUMINA","Illumina NovaSeq X Plus",435,"3/7/25","DNA was isolated from one mouse stool sample pellet using the Qiagen QIAamp PowerFecal Pro kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic.","fastq",NA,NA,NA,NA,NA,NA,"USA","34.1374596;-118.1268396",13,"SPF","H","/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD26/CALTEC-001-DGD26_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD26/CALTEC-001-DGD26_R2.fastq.gz;","91cf56c5-dc13-4142-bed9-b9c342aec504"
"MazmanianS_DumitrescuDG","CALTEC-001-DGD27","CALTEC-001-DGD27","Parkinson Disease","NCIT:C26845","feces","UBERON:0001988","Mus musculus","NCBITaxon:10090","Study Control","NCIT:C142703",13,NA,NA,"Week","NCIT:C29844","Female","NCIT:C16576",NA,NA,"Kaelyn Long","CALTEC-001-DGD27","CALTEC-001-DGD27","Fecal metagenome of C57BL/6 female mice colonized with gut microbiome from specific pathogen free mice","Mus musculus","QIAamp PowerFecal Pro","WGS","METAGENOMIC","RANDOM","paired","ILLUMINA","Illumina NovaSeq X Plus",435,"3/7/25","DNA was isolated from one mouse stool sample pellet using the Qiagen QIAamp PowerFecal Pro kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic.","fastq",NA,NA,NA,NA,NA,NA,"USA","34.1374596;-118.1268397",13,"SPF","H","/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD27/CALTEC-001-DGD27_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD27/CALTEC-001-DGD27_R2.fastq.gz;","529f3a3a-5ef3-495d-93af-4aa316b2cbf4"
"MazmanianS_DumitrescuDG","CALTEC-001-DGD28","CALTEC-001-DGD28","Parkinson Disease","NCIT:C26845","feces","UBERON:0001988","Mus musculus","NCBITaxon:10090","Study Control","NCIT:C142703",13,NA,NA,"Week","NCIT:C29844","Female","NCIT:C16576",NA,NA,"Kaelyn Long","CALTEC-001-DGD28","CALTEC-001-DGD28","Fecal metagenome of C57BL/6 female mice colonized with gut microbiome from specific pathogen free mice","Mus musculus","QIAamp PowerFecal Pro","WGS","METAGENOMIC","RANDOM","paired","ILLUMINA","Illumina NovaSeq X Plus",435,"3/7/25","DNA was isolated from one mouse stool sample pellet using the Qiagen QIAamp PowerFecal Pro kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic.","fastq",NA,NA,NA,NA,NA,NA,"USA","34.1374596;-118.1268398",13,"SPF","H","/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD28/CALTEC-001-DGD28_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD28/CALTEC-001-DGD28_R2.fastq.gz;","4c090804-bb5e-4935-a9bc-85daf08dab41"
"MazmanianS_DumitrescuDG","CALTEC-001-DGD5","CALTEC-001-DGD5","Parkinson Disease","NCIT:C26845","feces","UBERON:0001988","Mus musculus","NCBITaxon:10090","Case","NCIT:C49152",13.43,NA,NA,"Week","NCIT:C29844","Female","NCIT:C16576",NA,NA,"Kaelyn Long","CALTEC-001-DGD5","CALTEC-001-DGD5","Fecal metagenome of C57BL/6 female mice colonized with gut microbiome from wild mice","Mus musculus","QIAamp PowerFecal Pro","WGS","METAGENOMIC","RANDOM","paired","ILLUMINA","Illumina NovaSeq X Plus",435,"3/7/25","DNA was isolated from one mouse stool sample pellet using the Qiagen QIAamp PowerFecal Pro kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic.","fastq",NA,NA,NA,NA,NA,NA,"USA","34.1374596;-118.1268375",13.43,"WildR","B","/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD5/CALTEC-001-DGD5_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD5/CALTEC-001-DGD5_R2.fastq.gz;","ea26a9a5-7f76-4e80-ac47-2d2dee95a8e7"
"MazmanianS_DumitrescuDG","CALTEC-001-DGD6","CALTEC-001-DGD6","Parkinson Disease","NCIT:C26845","feces","UBERON:0001988","Mus musculus","NCBITaxon:10090","Case","NCIT:C49152",13.43,NA,NA,"Week","NCIT:C29844","Female","NCIT:C16576",NA,NA,"Kaelyn Long","CALTEC-001-DGD6","CALTEC-001-DGD6","Fecal metagenome of C57BL/6 female mice colonized with gut microbiome from wild mice","Mus musculus","QIAamp PowerFecal Pro","WGS","METAGENOMIC","RANDOM","paired","ILLUMINA","Illumina NovaSeq X Plus",435,"3/7/25","DNA was isolated from one mouse stool sample pellet using the Qiagen QIAamp PowerFecal Pro kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic.","fastq",NA,NA,NA,NA,NA,NA,"USA","34.1374596;-118.1268376",13.43,"WildR","B","/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD6/CALTEC-001-DGD6_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD6/CALTEC-001-DGD6_R2.fastq.gz;","f0f57afb-d1d2-4de1-b05b-8306ca7ef9a5"
"MazmanianS_DumitrescuDG","CALTEC-001-DGD7","CALTEC-001-DGD7","Parkinson Disease","NCIT:C26845","feces","UBERON:0001988","Mus musculus","NCBITaxon:10090","Case","NCIT:C49152",13.43,NA,NA,"Week","NCIT:C29844","Female","NCIT:C16576",NA,NA,"Kaelyn Long","CALTEC-001-DGD7","CALTEC-001-DGD7","Fecal metagenome of C57BL/6 female mice colonized with gut microbiome from wild mice","Mus musculus","QIAamp PowerFecal Pro","WGS","METAGENOMIC","RANDOM","paired","ILLUMINA","Illumina NovaSeq X Plus",435,"3/7/25","DNA was isolated from one mouse stool sample pellet using the Qiagen QIAamp PowerFecal Pro kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic.","fastq",NA,NA,NA,NA,NA,NA,"USA","34.1374596;-118.1268377",13.43,"WildR","B","/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD7/CALTEC-001-DGD7_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD7/CALTEC-001-DGD7_R2.fastq.gz;","3fa1e12a-e500-4478-8714-1581df255bb4"
