"study_name","sample_id","subject_id","target_condition","target_condition_ontology_term_id","body_site","body_site_ontology_term_id","host_species","host_species_ontology_term_id","control","control_ontology_term_id","age","age_group","age_group_ontology_term_id","age_unit","age_unit_ontology_term_id","sex","sex_ontology_term_id","disease","disease_ontology_term_id","curator","uncurated_sample_name","uncurated_library_ID","uncurated_title","uncurated_host","uncurated_DNA_extraction_kit","uncurated_library_strategy","uncurated_library_source","uncurated_library_selection","uncurated_library_layout","uncurated_platform","uncurated_instrument_model","uncurated_run_id","uncurated_run_date","uncurated_design_description","uncurated_filetype","uncurated_filename","uncurated_filename2","uncurated_filename3","uncurated_filename4","uncurated_assembly","uncurated_fasta_file","uncurated_geo_loc_name_country","uncurated_lat_lon","uncurated_collection_date","uncurated_mouse_id","uncurated_genotype","uncurated_treatment","uncurated_age_weeks","uncurated_cage","uncurated_cohort","uncurated_subcohort","uncurated_unitn_file_paths","uncurated_uuid"
"MazmanianS_MoiseyenkoA","CALTEC-001-1W-F","CALTEC-001-1W-F","Parkinson Disease","NCIT:C26845","feces","UBERON:0001988","Mus musculus","NCBITaxon:10090","Study Control","NCIT:C142703",18,NA,NA,"Week","NCIT:C29844","Male","NCIT:C20197",NA,NA,"Kaelyn Long","CALTEC-001-1W-F","CALTEC-001-1W-F","Mouse fecal metagenome of Faecalibacterium prausnitzii cohort: WT control","Mus musculus","QIAamp PowerFecal Pro","WGS","METAGENOMIC","RANDOM","paired","ILLUMINA","Illumina NovaSeq X Plus",435,"3/7/25","DNA was isolated from one mouse stool sample pellet using the Qiagen QIAamp PowerFecal Pro kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic.","fastq",NA,NA,NA,NA,NA,NA,"USA","34.1374596;-118.1268371","24-Oct",2272,"WT","Vehicle",18,1,"Fp7","Fp7-1","/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-1W-F/CALTEC-001-1W-F_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-1W-F/CALTEC-001-1W-F_R2.fastq.gz;","5c7657ee-666d-4545-a5f4-e3b97972700c"
"MazmanianS_MoiseyenkoA","CALTEC-001-2W-F","CALTEC-001-2W-F","Parkinson Disease","NCIT:C26845","feces","UBERON:0001988","Mus musculus","NCBITaxon:10090","Study Control","NCIT:C142703",18,NA,NA,"Week","NCIT:C29844","Male","NCIT:C20197",NA,NA,"Kaelyn Long","CALTEC-001-2W-F","CALTEC-001-2W-F","Mouse fecal metagenome of Faecalibacterium prausnitzii cohort: WT control","Mus musculus","QIAamp PowerFecal Pro","WGS","METAGENOMIC","RANDOM","paired","ILLUMINA","Illumina NovaSeq X Plus",435,"3/7/25","DNA was isolated from one mouse stool sample pellet using the Qiagen QIAamp PowerFecal Pro kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic.","fastq",NA,NA,NA,NA,NA,NA,"USA","34.1374596;-118.1268372","24-Oct",2273,"WT","Vehicle",18,1,"Fp7","Fp7-1","/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-2W-F/CALTEC-001-2W-F_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-2W-F/CALTEC-001-2W-F_R2.fastq.gz;","ef1f9867-c5fc-4ba0-838d-848b58467b10"
"MazmanianS_MoiseyenkoA","CALTEC-001-3W-F","CALTEC-001-3W-F","Parkinson Disease","NCIT:C26845","feces","UBERON:0001988","Mus musculus","NCBITaxon:10090","Study Control","NCIT:C142703",18,NA,NA,"Week","NCIT:C29844","Male","NCIT:C20197",NA,NA,"Kaelyn Long","CALTEC-001-3W-F","CALTEC-001-3W-F","Mouse fecal metagenome of Faecalibacterium prausnitzii cohort: WT control","Mus musculus","QIAamp PowerFecal Pro","WGS","METAGENOMIC","RANDOM","paired","ILLUMINA","Illumina NovaSeq X Plus",435,"3/7/25","DNA was isolated from one mouse stool sample pellet using the Qiagen QIAamp PowerFecal Pro kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic.","fastq",NA,NA,NA,NA,NA,NA,"USA","34.1374596;-118.1268372","24-Oct",2302,"WT","Vehicle",18,2,"Fp7","Fp7-1","/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-3W-F/CALTEC-001-3W-F_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-3W-F/CALTEC-001-3W-F_R2.fastq.gz;","d479236c-8606-41ad-b8e4-006d816e0494"
"MazmanianS_MoiseyenkoA","CALTEC-001-4W-F","CALTEC-001-4W-F","Parkinson Disease","NCIT:C26845","feces","UBERON:0001988","Mus musculus","NCBITaxon:10090","Study Control","NCIT:C142703",18,NA,NA,"Week","NCIT:C29844","Male","NCIT:C20197",NA,NA,"Kaelyn Long","CALTEC-001-4W-F","CALTEC-001-4W-F","Mouse fecal metagenome of Faecalibacterium prausnitzii cohort: WT control","Mus musculus","QIAamp PowerFecal Pro","WGS","METAGENOMIC","RANDOM","paired","ILLUMINA","Illumina NovaSeq X Plus",435,"3/7/25","DNA was isolated from one mouse stool sample pellet using the Qiagen QIAamp PowerFecal Pro kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic.","fastq",NA,NA,NA,NA,NA,NA,"USA","34.1374596;-118.1268372","24-Oct",2304,"WT","Vehicle",18,3,"Fp7","Fp7-1","/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-4W-F/CALTEC-001-4W-F_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-4W-F/CALTEC-001-4W-F_R2.fastq.gz;","612c986d-545e-45af-8807-2df49f08a01a"
"MazmanianS_MoiseyenkoA","CALTEC-001-5W-F","CALTEC-001-5W-F","Parkinson Disease","NCIT:C26845","feces","UBERON:0001988","Mus musculus","NCBITaxon:10090","Study Control","NCIT:C142703",18,NA,NA,"Week","NCIT:C29844","Male","NCIT:C20197",NA,NA,"Kaelyn Long","CALTEC-001-5W-F","CALTEC-001-5W-F","Mouse fecal metagenome of Faecalibacterium prausnitzii cohort: WT control","Mus musculus","QIAamp PowerFecal Pro","WGS","METAGENOMIC","RANDOM","paired","ILLUMINA","Illumina NovaSeq X Plus",435,"3/7/25","DNA was isolated from one mouse stool sample pellet using the Qiagen QIAamp PowerFecal Pro kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic.","fastq",NA,NA,NA,NA,NA,NA,"USA","34.1374596;-118.1268372","24-Oct",2306,"WT","Vehicle",18,3,"Fp7","Fp7-1","/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-5W-F/CALTEC-001-5W-F_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-5W-F/CALTEC-001-5W-F_R2.fastq.gz;","0d28bae3-3b00-457b-a62c-3d9edb9fae8a"
"MazmanianS_MoiseyenkoA","CALTEC-001-6W-F","CALTEC-001-6W-F","Parkinson Disease","NCIT:C26845","feces","UBERON:0001988","Mus musculus","NCBITaxon:10090","Study Control","NCIT:C142703",18,NA,NA,"Week","NCIT:C29844","Male","NCIT:C20197",NA,NA,"Kaelyn Long","CALTEC-001-6W-F","CALTEC-001-6W-F","Mouse fecal metagenome of Faecalibacterium prausnitzii cohort: WT control","Mus musculus","QIAamp PowerFecal Pro","WGS","METAGENOMIC","RANDOM","paired","ILLUMINA","Illumina NovaSeq X Plus",435,"3/7/25","DNA was isolated from one mouse stool sample pellet using the Qiagen QIAamp PowerFecal Pro kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic.","fastq",NA,NA,NA,NA,NA,NA,"USA","34.1374596;-118.1268372","24-Oct",2303,"WT","Vehicle",18,2,"Fp7","Fp7-1","/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-6W-F/CALTEC-001-6W-F_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-6W-F/CALTEC-001-6W-F_R2.fastq.gz;","adbacf26-5d01-459f-86e0-1967c4c3c9eb"
"MazmanianS_MoiseyenkoA","CALTEC-001-7W-F","CALTEC-001-7W-F","Parkinson Disease","NCIT:C26845","feces","UBERON:0001988","Mus musculus","NCBITaxon:10090","Study Control","NCIT:C142703",18,NA,NA,"Week","NCIT:C29844","Male","NCIT:C20197",NA,NA,"Kaelyn Long","CALTEC-001-7W-F","CALTEC-001-7W-F","Mouse fecal metagenome of Faecalibacterium prausnitzii cohort: WT control","Mus musculus","QIAamp PowerFecal Pro","WGS","METAGENOMIC","RANDOM","paired","ILLUMINA","Illumina NovaSeq X Plus",435,"3/7/25","DNA was isolated from one mouse stool sample pellet using the Qiagen QIAamp PowerFecal Pro kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic.","fastq",NA,NA,NA,NA,NA,NA,"USA","34.1374596;-118.1268372","24-Oct",2311,"WT","Vehicle",18,14,"Fp7","Fp7-2","/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-7W-F/CALTEC-001-7W-F_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-7W-F/CALTEC-001-7W-F_R2.fastq.gz;","d25be762-5047-437f-a749-1049b8be57a3"
"MazmanianS_MoiseyenkoA","CALTEC-001-8W-F","CALTEC-001-8W-F","Parkinson Disease","NCIT:C26845","feces","UBERON:0001988","Mus musculus","NCBITaxon:10090","Study Control","NCIT:C142703",18,NA,NA,"Week","NCIT:C29844","Male","NCIT:C20197",NA,NA,"Kaelyn Long","CALTEC-001-8W-F","CALTEC-001-8W-F","Mouse fecal metagenome of Faecalibacterium prausnitzii cohort: WT control","Mus musculus","QIAamp PowerFecal Pro","WGS","METAGENOMIC","RANDOM","paired","ILLUMINA","Illumina NovaSeq X Plus",435,"3/7/25","DNA was isolated from one mouse stool sample pellet using the Qiagen QIAamp PowerFecal Pro kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic.","fastq",NA,NA,NA,NA,NA,NA,"USA","34.1374596;-118.1268372","24-Oct",2314,"WT","Vehicle",18,14,"Fp7","Fp7-2","/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-8W-F/CALTEC-001-8W-F_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-8W-F/CALTEC-001-8W-F_R2.fastq.gz;","4f381a59-5b94-4500-a3e0-66a29d472108"
"MazmanianS_MoiseyenkoA","CALTEC-001-1C-F","CALTEC-001-1C-F","Parkinson Disease","NCIT:C26845","feces","UBERON:0001988","Mus musculus","NCBITaxon:10090","Study Control","NCIT:C142703",18,NA,NA,"Week","NCIT:C29844","Male","NCIT:C20197",NA,NA,"Kaelyn Long","CALTEC-001-1C-F","CALTEC-001-1C-F","Mouse fecal metagenome of Faecalibacterium prausnitzii cohort: ASO control","Mus musculus","QIAamp PowerFecal Pro","WGS","METAGENOMIC","RANDOM","paired","ILLUMINA","Illumina NovaSeq X Plus",435,"3/7/25","DNA was isolated from one mouse stool sample pellet using the Qiagen QIAamp PowerFecal Pro kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic.","fastq",NA,NA,NA,NA,NA,NA,"USA","34.1374596;-118.1268372","24-Oct",2267,"ASO","Vehicle",18,4,"Fp7","Fp7-1","/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-1C-F/CALTEC-001-1C-F_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-1C-F/CALTEC-001-1C-F_R2.fastq.gz;","76bc6a3b-9d77-4a38-a663-d1472b59c043"
"MazmanianS_MoiseyenkoA","CALTEC-001-2C-F","CALTEC-001-2C-F","Parkinson Disease","NCIT:C26845","feces","UBERON:0001988","Mus musculus","NCBITaxon:10090","Study Control","NCIT:C142703",18,NA,NA,"Week","NCIT:C29844","Male","NCIT:C20197",NA,NA,"Kaelyn Long","CALTEC-001-2C-F","CALTEC-001-2C-F","Mouse fecal metagenome of Faecalibacterium prausnitzii cohort: ASO control","Mus musculus","QIAamp PowerFecal Pro","WGS","METAGENOMIC","RANDOM","paired","ILLUMINA","Illumina NovaSeq X Plus",435,"3/7/25","DNA was isolated from one mouse stool sample pellet using the Qiagen QIAamp PowerFecal Pro kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic.","fastq",NA,NA,NA,NA,NA,NA,"USA","34.1374596;-118.1268372","24-Oct",2268,"ASO","Vehicle",18,4,"Fp7","Fp7-1","/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-2C-F/CALTEC-001-2C-F_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-2C-F/CALTEC-001-2C-F_R2.fastq.gz;","dfc17ebb-83f0-4a37-a961-974e60e5f57e"
