sample_name	library_ID	title	DNA_extraction_kit	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	run_id	run_date	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file	geo_loc_name_country	lat_lon	collection_date	cage	mouse_id	genotype	age (months)	Time to cross challenge beam (s)	Adhesive removal (s)	Time to descend Pole (s)	Errors on beam crossing (n)	unitn_file_paths	uuid	study_name
CALTEC-001-WT1_2mo	CALTEC-001-WT1_2mo	Fecal metagenome of a 2-month-old wild-type mouse	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq X Plus	435	3/7/25	DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic.	fastq							USA	34.1374596;-118.1268371	2024	1	WT_1	WT	2	4.81	7.45	11.34	0	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT1_2mo/CALTEC-001-WT1_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT1_2mo/CALTEC-001-WT1_2mo_R2.fastq.gz;	33e1965a-100e-45f1-a29e-3f480c5af8e1	MazmanianS_DeCastroFonsecaM_1
CALTEC-001-WT2_2mo	CALTEC-001-WT2_2mo	Fecal metagenome of a 2-month-old wild-type mouse	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq X Plus	435	3/7/25	DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic.	fastq							USA	34.1374596;-118.1268372	2024	1	WT_2	WT	2	8.11	5.19	6.7	3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT2_2mo/CALTEC-001-WT2_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT2_2mo/CALTEC-001-WT2_2mo_R2.fastq.gz;	769f6548-3e2e-4cd6-9445-0fca5ee50479	MazmanianS_DeCastroFonsecaM_1
CALTEC-001-WT3_2mo	CALTEC-001-WT3_2mo	Fecal metagenome of a 2-month-old wild-type mouse	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq X Plus	435	3/7/25	DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic.	fastq							USA	34.1374596;-118.1268373	2024	1	WT_3	WT	2	23.74	1.54	10.46	1	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT3_2mo/CALTEC-001-WT3_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT3_2mo/CALTEC-001-WT3_2mo_R2.fastq.gz;	e54f24cc-249a-4882-9202-f640af2c1e8e	MazmanianS_DeCastroFonsecaM_1
CALTEC-001-WT4_2mo	CALTEC-001-WT4_2mo	Fecal metagenome of a 2-month-old wild-type mouse	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq X Plus	435	3/7/25	DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic.	fastq							USA	34.1374596;-118.1268374	2024	1	WT_4	WT	2	7.04	3.12	10.46	1	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT4_2mo/CALTEC-001-WT4_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT4_2mo/CALTEC-001-WT4_2mo_R2.fastq.gz;	c152dda1-5d4b-4a66-af63-43d0ad04f8d8	MazmanianS_DeCastroFonsecaM_1
CALTEC-001-WT5_2mo	CALTEC-001-WT5_2mo	Fecal metagenome of a 2-month-old wild-type mouse	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq X Plus	435	3/7/25	DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic.	fastq							USA	34.1374596;-118.1268375	2024	1	WT_5	WT	2	8.97	3.46	11.42	0	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT5_2mo/CALTEC-001-WT5_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT5_2mo/CALTEC-001-WT5_2mo_R2.fastq.gz;	713b64b4-e75c-4c67-87df-56b8785f5db2	MazmanianS_DeCastroFonsecaM_1
CALTEC-001-WT6_2mo	CALTEC-001-WT6_2mo	Fecal metagenome of a 2-month-old wild-type mouse	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq X Plus	435	3/7/25	DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic.	fastq							USA	34.1374596;-118.1268376	2024	2	WT_6	WT	2	11.84	7.96	5.37	0	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT6_2mo/CALTEC-001-WT6_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT6_2mo/CALTEC-001-WT6_2mo_R2.fastq.gz;	ab04a4ee-8165-49fa-bd07-9e1fff4241c6	MazmanianS_DeCastroFonsecaM_1
CALTEC-001-WT7_2mo	CALTEC-001-WT7_2mo	Fecal metagenome of a 2-month-old wild-type mouse	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq X Plus	435	3/7/25	DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic.	fastq							USA	34.1374596;-118.1268377	2024	2	WT_7	WT	2	5.6	4.5	6.3	0	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT7_2mo/CALTEC-001-WT7_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT7_2mo/CALTEC-001-WT7_2mo_R2.fastq.gz;	2a6d1bae-3329-4c0f-852e-5d0fa232989c	MazmanianS_DeCastroFonsecaM_1
CALTEC-001-WT8_2mo	CALTEC-001-WT8_2mo	Fecal metagenome of a 2-month-old wild-type mouse	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq X Plus	435	3/7/25	DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic.	fastq							USA	34.1374596;-118.1268378	2024	2	WT_8	WT	2	4.5	3.5	5.6	1	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT8_2mo/CALTEC-001-WT8_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT8_2mo/CALTEC-001-WT8_2mo_R2.fastq.gz;	23f1dd24-2bfa-449a-a624-ac6dedd9edca	MazmanianS_DeCastroFonsecaM_1
CALTEC-001-WT9_2mo	CALTEC-001-WT9_2mo	Fecal metagenome of a 2-month-old wild-type mouse	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq X Plus	435	3/7/25	DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic.	fastq							USA	34.1374596;-118.1268379	2024	2	WT_9	WT	2	5.6	3.54	3.45	2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT9_2mo/CALTEC-001-WT9_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT9_2mo/CALTEC-001-WT9_2mo_R2.fastq.gz;	42567d6b-981d-41c5-b82d-8e8dcc44baba	MazmanianS_DeCastroFonsecaM_1
CALTEC-001-WT10_2mo	CALTEC-001-WT10_2mo	Fecal metagenome of a 2-month-old wild-type mouse	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq X Plus	435	3/7/25	DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic.	fastq							USA	34.1374596;-118.1268380	2024	2	WT_10	WT	2	4.6	4.6	4.78	1	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT10_2mo/CALTEC-001-WT10_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT10_2mo/CALTEC-001-WT10_2mo_R2.fastq.gz;	bc22379e-4c05-4700-9a40-fa6fed718ea6	MazmanianS_DeCastroFonsecaM_1
