sample_name	library_ID	title	HOST	DNA_extraction_kit	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	run_id	run_date	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file	geo_loc_name_country	lat_lon	mouseID	age (months)	genotype	Cage	donor_abx_treatment	donor_genotype	donor_age (months)	collection_date	Time to cross challenge beam (s)	Adhesive removal (s)	Time to descend Pole (s)	Errors on beam crossing (n)	Weight (g)	Bead Expulsion time (s)	Fecal Output (n)	unitn_file_paths	uuid	study_name
CALTEC-001-ASO1_Vanco	CALTEC-001-ASO1_Vanco	FMT from 2-month old WT animals treated with vancomycin	Mus musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq X Plus	435	45723	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic."	fastq							USA	34.1374596;-118.1268371		5	ASO	1	Vancomycin	WT	2	2024	10.02	11.56	6.72	5	31	225	1	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO1_Vanco/CALTEC-001-ASO1_Vanco_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO1_Vanco/CALTEC-001-ASO1_Vanco_R2.fastq.gz;	ca40cc40-c64f-42e6-aac6-e5487b6e6302	MazmanianS_DeCastroFonsecaM_4
CALTEC-001-ASO2_Vanco	CALTEC-001-ASO2_Vanco	FMT from 2-month old WT animals treated with vancomycin	Mus musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq X Plus	435	45723	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic."	fastq							USA	34.1374596;-118.1268372		5	ASO	1	Vancomycin	WT	2	2024	12.19	15.07	30	4	28	232	5	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO2_Vanco/CALTEC-001-ASO2_Vanco_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO2_Vanco/CALTEC-001-ASO2_Vanco_R2.fastq.gz;	69509782-dd59-4419-b7e3-8d1cd38b2342	MazmanianS_DeCastroFonsecaM_4
CALTEC-001-ASO3_Vanco	CALTEC-001-ASO3_Vanco	FMT from 2-month old WT animals treated with vancomycin	Mus musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq X Plus	435	45723	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic."	fastq							USA	34.1374596;-118.1268373		5	ASO	1	Vancomycin	WT	2	2024	10.25	13.2	14.21	4	33.5	300	0	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO3_Vanco/CALTEC-001-ASO3_Vanco_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO3_Vanco/CALTEC-001-ASO3_Vanco_R2.fastq.gz;	00f4777c-8f72-44ce-9ac7-89454c01a453	MazmanianS_DeCastroFonsecaM_4
CALTEC-001-ASO4_Vanco	CALTEC-001-ASO4_Vanco	FMT from 2-month old WT animals treated with vancomycin	Mus musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq X Plus	435	45723	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic."	fastq							USA	34.1374596;-118.1268374		5	ASO	1	Vancomycin	WT	2	2024	20.71	13.15	30	8	33	300	2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO4_Vanco/CALTEC-001-ASO4_Vanco_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO4_Vanco/CALTEC-001-ASO4_Vanco_R2.fastq.gz;	67919a94-0358-43e8-98b3-88c6a33fcdf3	MazmanianS_DeCastroFonsecaM_4
CALTEC-001-ASO5_Vanco	CALTEC-001-ASO5_Vanco	FMT from 2-month old WT animals treated with vancomycin	Mus musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq X Plus	435	45723	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic."	fastq							USA	34.1374596;-118.1268375		5	ASO	2	Vancomycin	WT	2	2024	25.84	11.85	7.32	6	29	182	3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO5_Vanco/CALTEC-001-ASO5_Vanco_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO5_Vanco/CALTEC-001-ASO5_Vanco_R2.fastq.gz;	8f5dc4b4-8185-40d9-971d-fee798b6f5b7	MazmanianS_DeCastroFonsecaM_4
CALTEC-001-ASO6_Vanco	CALTEC-001-ASO6_Vanco	FMT from 2-month old WT animals treated with vancomycin	Mus musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq X Plus	435	45723	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic."	fastq							USA	34.1374596;-118.1268376		5	ASO	2	Vancomycin	WT	2	2024	30	2.03	30	9	28.5	268	7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO6_Vanco/CALTEC-001-ASO6_Vanco_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO6_Vanco/CALTEC-001-ASO6_Vanco_R2.fastq.gz;	dbe8f62a-2176-4857-9981-13a3a4762cee	MazmanianS_DeCastroFonsecaM_4
CALTEC-001-ASO7_Vanco	CALTEC-001-ASO7_Vanco	FMT from 2-month old WT animals treated with vancomycin	Mus musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq X Plus	435	45723	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic."	fastq							USA	34.1374596;-118.1268377		5	ASO	2	Vancomycin	WT	2	2024	27	15	28	11	28	265	3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO7_Vanco/CALTEC-001-ASO7_Vanco_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO7_Vanco/CALTEC-001-ASO7_Vanco_R2.fastq.gz;	7560cad7-7c50-4c3d-8daa-e3f61e2129d5	MazmanianS_DeCastroFonsecaM_4
CALTEC-001-ASO8_Vanco	CALTEC-001-ASO8_Vanco	FMT from 2-month old WT animals treated with vancomycin	Mus musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq X Plus	435	45723	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic."	fastq							USA	34.1374596;-118.1268378		5	ASO	2	Vancomycin	WT	2	2024	26	17	24	8	27	234	1	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO8_Vanco/CALTEC-001-ASO8_Vanco_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO8_Vanco/CALTEC-001-ASO8_Vanco_R2.fastq.gz;	7d7ccd5b-e11d-4334-8672-74809d03e125	MazmanianS_DeCastroFonsecaM_4
CALTEC-001-201	CALTEC-001-201	FMT from 2-month old WT animals treated with Gentamicin/Neomycin	Mus musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq X Plus	435	45723	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic."	fastq							USA	34.1374596;-118.1268379		5	ASO	3	Gentamicin-Neomycin	WT	2	2024	30	2.94	30	9	33	231	6	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-201/CALTEC-001-201_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-201/CALTEC-001-201_R2.fastq.gz;	f0a6cba6-386c-434a-ba5d-4c9979f654af	MazmanianS_DeCastroFonsecaM_4
CALTEC-001-202	CALTEC-001-202	FMT from 2-month old WT animals treated with Gentamicin/Neomycin	Mus musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq X Plus	435	45723	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic."	fastq							USA	34.1374596;-118.1268380		5	ASO	3	Gentamicin-Neomycin	WT	2	2024	30	1.81	30	5	35	196	10	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-202/CALTEC-001-202_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-202/CALTEC-001-202_R2.fastq.gz;	9d57d773-1e2b-4d2d-ba2c-4e52eeec9dae	MazmanianS_DeCastroFonsecaM_4
CALTEC-001-203	CALTEC-001-203	FMT from 2-month old WT animals treated with Gentamicin/Neomycin	Mus musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq X Plus	435	45723	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic."	fastq							USA	34.1374596;-118.1268381		5	ASO	3	Gentamicin-Neomycin	WT	2	2024	9.41	1.09	5.13	1	30.5	174	7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-203/CALTEC-001-203_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-203/CALTEC-001-203_R2.fastq.gz;	0497c2f4-4953-4b32-9251-72d94f4732fe	MazmanianS_DeCastroFonsecaM_4
