sample_name	library_ID	title	HOST	DNA_extraction_kit	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	run_id	run_date	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file	geo_loc_name_country	lat_lon	age_weeks	sex	donor_microbiome_type	cage	unitn_file_paths	uuid	study_name
CALTEC-001-DGD18	CALTEC-001-DGD18	Fecal metagenome of C57BL/6 female mice colonized with gut microbiome from specific pathogen free mice	Mus musculus	QIAamp PowerFecal Pro	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq X Plus	435	3/7/25	"DNA was isolated from one mouse stool sample pellet using the Qiagen QIAamp PowerFecal Pro kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic."	fastq							USA	34.1374596;-118.1268388	13.29	Female	SPF	F	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD18/CALTEC-001-DGD18_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD18/CALTEC-001-DGD18_R2.fastq.gz;	f6e013f5-ed7d-4691-897f-04da0b2037d1	MazmanianS_DumitrescuDG
CALTEC-001-DGD19	CALTEC-001-DGD19	Fecal metagenome of C57BL/6 female mice colonized with gut microbiome from specific pathogen free mice	Mus musculus	QIAamp PowerFecal Pro	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq X Plus	435	3/7/25	"DNA was isolated from one mouse stool sample pellet using the Qiagen QIAamp PowerFecal Pro kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic."	fastq							USA	34.1374596;-118.1268389	13.29	Female	SPF	F	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD19/CALTEC-001-DGD19_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD19/CALTEC-001-DGD19_R2.fastq.gz;	a4ba20f1-94c1-4da5-974f-72f3389af6f0	MazmanianS_DumitrescuDG
CALTEC-001-DGD20	CALTEC-001-DGD20	Fecal metagenome of C57BL/6 female mice colonized with gut microbiome from specific pathogen free mice	Mus musculus	QIAamp PowerFecal Pro	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq X Plus	435	3/7/25	"DNA was isolated from one mouse stool sample pellet using the Qiagen QIAamp PowerFecal Pro kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic."	fastq							USA	34.1374596;-118.1268390	13.29	Female	SPF	F	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD20/CALTEC-001-DGD20_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD20/CALTEC-001-DGD20_R2.fastq.gz;	01cae6dd-3b93-4abd-9f17-5fbc6a82863e	MazmanianS_DumitrescuDG
CALTEC-001-DGD25	CALTEC-001-DGD25	Fecal metagenome of C57BL/6 female mice colonized with gut microbiome from specific pathogen free mice	Mus musculus	QIAamp PowerFecal Pro	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq X Plus	435	3/7/25	"DNA was isolated from one mouse stool sample pellet using the Qiagen QIAamp PowerFecal Pro kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic."	fastq							USA	34.1374596;-118.1268395	13	Female	SPF	H	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD25/CALTEC-001-DGD25_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD25/CALTEC-001-DGD25_R2.fastq.gz;	1d949e2f-8bdb-48b7-bcf5-171c37d9ad66	MazmanianS_DumitrescuDG
CALTEC-001-DGD26	CALTEC-001-DGD26	Fecal metagenome of C57BL/6 female mice colonized with gut microbiome from specific pathogen free mice	Mus musculus	QIAamp PowerFecal Pro	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq X Plus	435	3/7/25	"DNA was isolated from one mouse stool sample pellet using the Qiagen QIAamp PowerFecal Pro kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic."	fastq							USA	34.1374596;-118.1268396	13	Female	SPF	H	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD26/CALTEC-001-DGD26_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD26/CALTEC-001-DGD26_R2.fastq.gz;	91cf56c5-dc13-4142-bed9-b9c342aec504	MazmanianS_DumitrescuDG
CALTEC-001-DGD27	CALTEC-001-DGD27	Fecal metagenome of C57BL/6 female mice colonized with gut microbiome from specific pathogen free mice	Mus musculus	QIAamp PowerFecal Pro	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq X Plus	435	3/7/25	"DNA was isolated from one mouse stool sample pellet using the Qiagen QIAamp PowerFecal Pro kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic."	fastq							USA	34.1374596;-118.1268397	13	Female	SPF	H	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD27/CALTEC-001-DGD27_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD27/CALTEC-001-DGD27_R2.fastq.gz;	529f3a3a-5ef3-495d-93af-4aa316b2cbf4	MazmanianS_DumitrescuDG
CALTEC-001-DGD28	CALTEC-001-DGD28	Fecal metagenome of C57BL/6 female mice colonized with gut microbiome from specific pathogen free mice	Mus musculus	QIAamp PowerFecal Pro	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq X Plus	435	3/7/25	"DNA was isolated from one mouse stool sample pellet using the Qiagen QIAamp PowerFecal Pro kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic."	fastq							USA	34.1374596;-118.1268398	13	Female	SPF	H	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD28/CALTEC-001-DGD28_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD28/CALTEC-001-DGD28_R2.fastq.gz;	4c090804-bb5e-4935-a9bc-85daf08dab41	MazmanianS_DumitrescuDG
CALTEC-001-DGD5	CALTEC-001-DGD5	Fecal metagenome of C57BL/6 female mice colonized with gut microbiome from wild mice	Mus musculus	QIAamp PowerFecal Pro	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq X Plus	435	3/7/25	"DNA was isolated from one mouse stool sample pellet using the Qiagen QIAamp PowerFecal Pro kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic."	fastq							USA	34.1374596;-118.1268375	13.43	Female	WildR	B	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD5/CALTEC-001-DGD5_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD5/CALTEC-001-DGD5_R2.fastq.gz;	ea26a9a5-7f76-4e80-ac47-2d2dee95a8e7	MazmanianS_DumitrescuDG
CALTEC-001-DGD6	CALTEC-001-DGD6	Fecal metagenome of C57BL/6 female mice colonized with gut microbiome from wild mice	Mus musculus	QIAamp PowerFecal Pro	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq X Plus	435	3/7/25	"DNA was isolated from one mouse stool sample pellet using the Qiagen QIAamp PowerFecal Pro kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic."	fastq							USA	34.1374596;-118.1268376	13.43	Female	WildR	B	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD6/CALTEC-001-DGD6_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD6/CALTEC-001-DGD6_R2.fastq.gz;	f0f57afb-d1d2-4de1-b05b-8306ca7ef9a5	MazmanianS_DumitrescuDG
CALTEC-001-DGD7	CALTEC-001-DGD7	Fecal metagenome of C57BL/6 female mice colonized with gut microbiome from wild mice	Mus musculus	QIAamp PowerFecal Pro	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq X Plus	435	3/7/25	"DNA was isolated from one mouse stool sample pellet using the Qiagen QIAamp PowerFecal Pro kit following the manufacturers protocol. Libraries were prepared using the Illumina DNA Prep, (M) Tagmentation (96 Samples, IPB) kit (Illumina, #20060059). Sequencing was performed using Illumina NovaSeq X Plus aiming for 70 million reads per sample, with mean read length of 150 base pairs. Library preparation and Sequencing was performed by Prebiomics. Fastq files were uniformly processed using the curatedMetagenomicsNextflow pipeline (https://github.com/seandavi/curatedMetagenomicsNextflow) specifying the mouse reference genome in Trimmomatic."	fastq							USA	34.1374596;-118.1268377	13.43	Female	WildR	B	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD7/CALTEC-001-DGD7_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD7/CALTEC-001-DGD7_R2.fastq.gz;	3fa1e12a-e500-4478-8714-1581df255bb4	MazmanianS_DumitrescuDG
