sample_id	NCBI_accession
9b91f0a9-7f56-400d-a652-4fe6e1f1955e	ERR4330026
88a4d532-64fa-414c-b3d0-f02b291341c0	ERR4330027
6c53352f-0e02-45e1-87a7-d83802155ce7	ERR4330028
9ea10ccd-eded-4622-8182-22c5f28ce912	ERR4330029
c6d45170-359e-4e80-ba46-625340e1dd8b	ERR4330030
22b413e8-b819-4813-b8b7-fefd2a308a6c	ERR4330031
223148f5-c220-40ff-b056-001d2039dccf	ERR4330032
05119b9a-0231-4f8a-91cb-74041515b490	ERR4330033
ca519180-8b1b-4853-b333-57372f1b865c	ERR4330034
4d52b1ae-f006-4b37-b4d9-ad0b304411ac	ERR4330035
28cbd91a-bd8d-4160-90fe-8c85bb60b78b	ERR4330036
a335b8b1-4f1c-49d8-acc9-ea77bef4c219	ERR4330037
f1735869-be5c-4bc3-a7c1-a1f42d9ce872	ERR4330038
61fbdb9e-39e5-4cc7-a550-70c88fa06db6	ERR4330039
06cbf1c0-e2b5-4d71-8aeb-d32a91e25e2b	ERR4330040
faf2806a-19df-4b5a-9a3f-dfdc04c63467	ERR4330041
914f2356-50b8-4e7f-ac00-a33d98591d0d	ERR4330042
09fba105-1bf6-4265-8a20-bab847fef4ff	ERR4330043
b2bc6a6e-fbe2-4806-a45b-8a53b951a065	ERR4330044
f65c1d1e-d4a4-4918-b4af-7767ef4270fa	ERR4330045
d0c89a5b-a660-42ce-9638-8aabd6cf69f3	ERR4330046
4db05993-8824-48ec-a383-efd474c67670	ERR4330047
74dadf7a-1f2f-4fef-9cd8-a60c1fed7cfb	ERR4330048
61bfa528-1232-46e2-b120-7f0c3b05b498	ERR4330049
ff3895db-580f-46f6-aa89-986641df7e9b	ERR4330050
7e671cde-2cf1-4b1b-a011-f4692beb27a9	ERR4330051
061d141f-abe1-4c68-91c0-a379b6c9c635	ERR4330052
381c9e9a-8628-4fc4-b6ef-1d93f2d93008	ERR4330053
31625e8a-2374-4864-9f2f-53461a3cad56	ERR4330054
c376d991-b589-4303-8381-d980602ae05a	ERR4330055
7aaa770b-07ff-4f70-8580-7fbc773b6314	ERR4330056
bae33bdf-2b8a-44e5-ac17-871fd3464680	ERR4330057
4d91372e-01d3-45bd-b866-77875710b265	ERR4330058
29007308-b3e9-48c5-97ab-0f6b03f61eac	ERR4330059
773558d0-128a-4755-a2ac-3b69c5bf4f77	ERR4330060
55984daf-c861-45a7-81be-3e0892fef78f	ERR4330061
26f47d63-c14c-48cf-92ef-68e6c50bb61c	ERR4330062
4f67ca7f-a3fc-41dd-a3d4-f07526ea78e6	ERR4330063
8d9154ac-90a7-4107-a2a5-27aeeb10a35f	ERR4330064
42d12a1a-22d6-4678-a47d-0ab9e1eaf193	ERR4330065
c4f8e964-e8a3-4a0b-88d3-23b60bee984f	ERR4330066
a957f598-cebd-4851-a0e7-8338bbc383ed	ERR4330067
0bb5a1c9-ad97-4a1c-bf2d-220262edc0a4	ERR4330068
4695f2b2-c28d-4596-9da2-b7cf25116516	ERR4330069
7ab2a5c6-4af7-4c85-8b3e-fd44a9d28772	ERR4330070
a2524928-fb12-406d-981e-781d3c03468d	ERR4330071
07822e8c-1f9b-4637-b759-7157da9acb8c	ERR4330072
8af0cde0-d43a-48da-99c2-93227c3b7996	ERR4330073
2a370136-7caa-4f4d-a138-51534c7c446f	ERR4330074
341b52fc-e5b3-4dac-98e5-4ba4bf4da56b	ERR4330075
cc517874-33ca-4688-9e63-d7bb823f80be	ERR4330076
75eaef95-29bb-446d-ae5c-c2859380d66b	ERR4330077
66e75a89-4f6e-40ee-928d-0bd7a6256207	ERR4330078
c75211d1-3dbe-4649-aac7-b7783dc6c16d	ERR4330079
5600f5b1-2394-483b-a2ce-f0ec335772ab	ERR4330080
f855b800-e4f3-4126-b865-04d138fb2bf4	ERR4330081
a6ace0d0-d79e-4caf-b04c-4cc797f3d181	ERR4330082
507a81a7-47b6-4f36-9419-7e129a119a7f	ERR4330083
d4ba976f-489d-4f43-b38a-5b8f6db7bc07	ERR4330084
a4939c72-c064-44d0-9ee2-752318d5db88	ERR4330085
51187158-77e1-4aca-b487-8259bf34f73d	ERR4330086
2c88d3d2-d602-4a26-94be-30f0eb1c6f99	ERR4330087
0df2cd95-e6c0-4a07-bcea-55c8707cc423	ERR4330088
1da781d6-d437-43dc-a6fd-03c5610ce4e7	ERR4330089
7d70d13f-7301-4d08-bca9-cd48f01ff86b	ERR4330090
69b83e43-2949-4f83-bfed-8f73e220571b	ERR4330091
cc73cb38-c19d-49d7-9d7a-64c17251d053	ERR4330092
5a785578-eaf4-47eb-83ac-d7a91c142366	ERR4330093
05704a04-01d3-4870-8c04-1bef27e165a1	ERR4330094
76ab7b0e-1af2-4bd2-9063-2a7102ac948a	ERR4330095
8dd5dd2e-ab46-4e1e-9732-30e851ef10eb	ERR4330096
c566e05a-9c84-4330-b9e3-a87b4020d120	ERR4330097
961445d2-d9d9-4c9e-b4f5-8221eca2cd3e	ERR4330098
b7183c48-293b-448d-8cd8-6b77fe6f7089	ERR4330099
b2633671-6a3b-4c7b-9569-fcff162f31b1	ERR4330100
2f6d8b4b-d7b0-4a77-b25d-89264fecf063	ERR4330101
6a6aa48a-7225-450e-a6ff-4ff68badc477	ERR4330102
42e80151-eab0-4542-98c8-1a5b5654425b	ERR4330103
61c45c07-5290-4428-a235-2f1be9732076	ERR4330104
2b13ca10-8064-4f12-826e-37dd45b3486f	ERR4330105
55cc015b-7717-4951-b248-f4d973fc5f22	ERR4330106
a9609d41-2d07-4300-994b-fdb4d777c8de	ERR4330107
ddf0a004-4779-4432-b5c3-92b532147564	ERR4330108
60a6041e-6844-4167-92ae-b819313b2ca2	ERR4330109
710cd6c6-3b41-4ac9-aafb-9c20c0feaeb8	ERR4330110
d89ac4df-f5c8-493b-8496-6d0362f05c8f	ERR4330111
9d507ee1-8209-4271-a735-c522f13316ab	ERR4330112
f3ec8f82-3573-41f6-96c5-bf81cb767412	ERR4330113
8b07201b-96ed-4681-afe6-abc34e2fbe33	ERR4330114
13d48b1f-9263-4c12-bde4-6920c08ce25b	ERR4330115
1df1276f-5fa9-49eb-a3f5-33f063f1d358	ERR4330116
ab87e5e8-0fc8-4f3c-ae9f-aa48354563ca	ERR4330117
8295a408-cbfe-4174-8da1-d90c98dbaff9	ERR4330118
9bfe9d66-698a-41f8-815b-447e6f43b460	ERR4330119
728177ed-9622-4880-bfd7-b8be6e5867ae	ERR4330120
c1b6a5b6-4092-4211-a1b0-9b56d0d43b98	ERR4330121
4f9d4b27-a7d2-4b58-832a-70813bf15891	ERR4330122
0a68703a-f8fd-413d-b7e1-b7b3a240e80c	ERR4330123
f8f815ff-4aa9-45a8-9903-07ea6548eb69	ERR4330124
54d553a3-a33a-48ab-b10d-d79e95ae580e	ERR4333869
849917b5-aa7e-45d9-96dc-5022a80da1d8	ERR4333870
9abaa14b-a640-46c3-84b4-ce65d19d88cb	ERR4333871
0a972e8f-a4d8-47cf-9680-6291409f7b42	ERR4333872
35733786-339b-403e-a310-d741ae65dd83	ERR4333873
2add3607-3456-4e94-8834-31da07202a36	ERR4333874
81fde20b-a0ce-4197-9b54-93a20d396fd6	ERR4333875
e451c862-b198-4478-919f-a272201b5b92	ERR4333876
ed0974cd-8c66-4c61-addc-d8c8f6b5d6e1	ERR4333877
8240af70-389e-49ed-af35-93f075f167dd	ERR4333878
1c8dc55a-0bdd-4726-bf42-b5d14ea4478a	ERR4333879
ae9efe78-b85d-4747-9e49-271812d1827c	ERR4333880
8b7ae24c-7d43-4c17-b31a-834e3982bc7b	ERR4333881
0490ed36-4a71-4c40-ad1c-d4ff7cfc6853	ERR4333882
20382c1f-9207-4628-865a-4fa73d2c11a2	ERR4333883
41a68693-cd26-45e1-9fe8-b8d11aed7512	ERR4333884
a5976532-da3a-47c4-bd3d-a06b28f0eb92	ERR4333885
5f73f754-45ea-476a-98cb-d3d3c32fc88f	ERR4333886
81e1caee-1973-472d-9eb2-d6bb4f493101	ERR4333887
bfa7efd6-1743-4cdf-9684-1345724e03c5	ERR4333888
bb6f4a2c-f191-454c-84c3-addec926ef96	ERR4333889
