sample_id	NCBI_accession
2798fd4c-ad0d-4b59-8398-9976a0317558	ERR9830061
2fedb4c7-afc8-4c7d-bdb1-1834646e133f	ERR9830062
6d32c6fc-7ff9-4497-90b5-924537276937	ERR9830063
4f964ae9-cddb-423e-8b72-4db9dae4eb9b	ERR9830064
c58c8c01-70e0-434c-acc2-206ed3f6b19b	ERR9830065
085920ad-bf2c-4616-a8da-484a8872f8bd	ERR9830066
ef2fc3a5-4ae0-4a00-8f20-8d3aea6e2629	ERR9830067
5cbddcf5-3892-4a17-967a-653296e90b63	ERR9830068
014c8a55-6182-4f46-9a54-9c2b2cad6448	ERR9830069
321136b3-afb4-41ac-996b-792a5eb4d400	ERR9830070
8df146a7-48bd-48cf-95b6-e7af2f49c0ba	ERR9830071
fadf3600-0173-4f46-91cd-018a74d88f0e	ERR9830072
b31df1d9-6490-4600-baaa-d2cc2468b1f6	ERR9830073
d041ebd0-e8f2-4331-abd0-6f8ecdce703c	ERR9830074
55faee1e-26ba-49fe-81a4-aa2ae9042c2f	ERR9830075
5da2dd0e-c104-473e-ab2d-a3734601feb2	ERR9830076
516f2d6e-9486-43ee-aa25-1f2d069bc612	ERR9830077
51d209e8-f274-4081-9176-409113d63cf2	ERR9830078
5abbbd1d-4499-446b-863c-60259b56977e	ERR9830079
a63c3190-2a8b-4f44-9ee1-980570a10192	ERR9830080
a1bbe024-6220-47b7-b26b-4960a8d393d9	ERR9830081
ca98d64a-be49-4227-a44b-183e9a40803c	ERR9830082
38783c91-d850-4fc6-b2c7-9bd0d71395b5	ERR9830083
c49fdfab-b905-43b0-a16d-5db0ddd228a5	ERR9830084
c5b78088-b151-482d-b433-64319b958394	ERR9830085
4c4d45f4-36f8-4577-824b-92f8bf584c3f	ERR9830086
9da83a9d-b8cf-40aa-ad76-5d56748ff6a0	ERR9830087
fd0645d1-4b9f-45b9-8499-04a6d86deeef	ERR9830088
fa17180d-1b60-4d3f-8016-ba8c2ee95270	ERR9830089
3aacc781-b63f-4d4c-a968-c04efc2bbed4	ERR9830090
87313029-6efb-466d-b4da-e4a0f15fbb2c	ERR9830091
a6988e26-5f33-4083-ad7f-de27796b5865	ERR9830092
34ff5644-67bf-4b05-96d4-a8f2d4b45a37	ERR9830093
8db56b4a-fb99-42bb-8b8c-5305f6521402	ERR9830094
f98075a0-483b-4dac-96c5-54390b51a210	ERR9830095
4c3d0828-18ae-466b-b405-c310ce40220a	ERR9830096
bab64031-cf2b-4e75-b34c-523f2cb95515	ERR9830097
820e08ba-de48-40e9-b2c9-e72614c1ae9f	ERR9830098
1152be10-bbbd-431b-b023-94a054d50093	ERR9830099
672ffdeb-f754-46ff-9798-e752708e3932	ERR9830100
d89b172d-733e-4a0d-8ff9-699ea2f80cea	ERR9830101
9083bd99-d3b9-4aab-9ab4-e35f04c40745	ERR9830102
315093ab-f615-47b9-ad9c-671e4ae2caab	ERR9830103
5ece9aa4-99b2-409c-80b2-55ecd9b864b3	ERR9830104
f372bfb4-00b1-428c-b536-91e37d54bb7c	ERR9830105
dbf9de29-59a9-4b15-83ed-58b6b90fd111	ERR9830106
fac85735-ecc1-425d-8ec8-6faab22185d7	ERR9830107
3a8d1cd3-bbe5-429c-a953-6fef4674ccd6	ERR9830108
ae1152da-e4ab-4ee6-8bdf-0055a4ec7a37	ERR9830109
5295d23c-4d10-4971-9217-b22c597e6858	ERR9830110
c2354109-7147-437f-ab75-3b0e0b0e3777	ERR9830111
18c2ce66-7801-4561-9c68-4dad5218318f	ERR9830112
f12a5c37-e509-446f-943b-070a953a15bf	ERR9830113
a9982df3-ebc2-4f16-8ab3-52dc2d4bd21f	ERR9830114
8437518c-c456-4c33-91d9-cd7f72588725	ERR9830115
6f299192-84ab-4543-b421-8aa976aac105	ERR9830116
02aabbdf-8840-4a98-98b0-bec286b6339d	ERR9830117
b0f0cf77-4878-41bd-8df3-221c3338e5e9	ERR9830118
017a20e6-391c-4e61-96c9-c306cb79a529	ERR9830119
ef7f4b71-8bbb-4c6e-9d55-bc573a066cc4	ERR9830120
3a5f0fe3-2257-40f8-8cdb-467692017a2c	ERR9830121
a689c8cd-8781-4a24-bf96-bfa8fd099d39	ERR9830122
e5f95fff-f01a-4bb1-8210-79920a14599e	ERR9830123
59f8fe55-503a-4ae9-b698-0560fb62710a	ERR9830124
31dda582-649d-44e3-be24-8374f97888ca	ERR9830125
aa26e012-2cd9-4a66-a5db-d606587830fc	ERR9830126
76a11d37-604f-453f-a083-a5e83cb43456	ERR9830127
a8b48eac-fe62-4701-a223-01a749a6318f	ERR9830128
d1e2fb5c-c3f3-49a9-b544-9e2230744576	ERR9830129
ef6339cf-801c-4b70-8399-e4a1343d5807	ERR9830130
2c05942b-bb83-468d-8117-0282f86684b4	ERR9830131
84abf4c7-0b89-47cc-bc8c-5fd4da971375	ERR9830132
7499409b-1742-441c-8618-0bf7be8d4ef1	ERR9830133
039c8601-459a-4149-8d04-4155e80438e7	ERR9830134
a8835bb7-9af6-449e-8c14-d78e9f33339d	ERR9830135
c744d1a0-2430-448d-8f17-d9cace2e7d21	ERR9830136
5ea1a2f9-60c1-4618-9ce2-0400be68ee78	ERR9830137
bb9dc0b3-8316-4402-88db-834de5809b5f	ERR9830138
123f1d6b-b951-4066-b57d-9c69f17d45bf	ERR9830139
e4aae64a-e709-459d-a807-d5e1d4da8ec8	ERR9830140
be986a28-dccc-46b0-8929-e56eb462dabc	ERR9830141
600839aa-ba1e-464b-b67f-ab70921bba5d	ERR9830142
157b0df5-6f9a-4b12-9a95-bae5c667031d	ERR9830143
de44e95e-12c7-412b-b002-34982ca6bb90	ERR9830144
ab815783-200c-4cb7-82b0-42429eb74206	ERR9830145
89fdcaca-a94e-4893-86d8-c2560ac9f521	ERR9830146
