sample_id	NCBI_accession
489a8b4f-d499-4e5a-af94-6c8cc2e1a39e	SRR15041053
2e3b212e-af0a-4ba4-9ce4-905b2223903f	SRR15041052
d30f5342-2dca-4513-892d-dcf0ce9dd0f2	SRR15040985
ce349942-becf-4221-9295-9516ffbe5286	SRR15040974
f17db65d-c220-4479-bb69-774b6ea3c666	SRR15040963
a01e0dc2-14a4-4a22-b05e-ae1e057f26e4	SRR15040952
0abc0069-af54-4228-9c2d-975b54eede8b	SRR15040941
113b2c65-f4bd-49fc-8c8b-c528799ffec9	SRR15040930
57f5eddd-3748-4b9c-8e69-02a9c8b4e9ae	SRR15040919
bb67c841-4613-4e38-aab8-5a6066734d33	SRR15040908
48d1a6e8-ce70-4408-a63d-b03a0e4d1c6f	SRR15041051
d9b68f52-c6fd-46cc-b818-756723cedf8b	SRR15041040
989192c7-eae7-4e56-878b-5f4b397cdcbd	SRR15041029
d504aae5-284c-43f9-ab66-798eccfebf8b	SRR15041018
d4a79b2e-d742-4c88-8da8-b9fabbda04b9	SRR15041007
adb6b910-9079-4efa-9c54-e2c8a361ef63	SRR15040996
3d3c2295-c9e5-4bdc-8b22-2d083b54c3a0	SRR15040989
35b35ebe-603d-4cf1-a7d3-0b7de3cdf3b9	SRR15040988
2b5cd3e5-9f85-464f-94f4-1acb95e1d501	SRR15040987
d953996e-12ed-4e84-9048-399fee029615	SRR15040986
a45e28da-7d23-4a94-87c2-5c061ef47791	SRR15040984
9ed6aeb0-0303-4e05-9293-093e1628fa84	SRR15040983
c1fb6490-1138-4f9e-9b5a-dcd135df59f5	SRR15040982
27d2ad85-b285-41b3-b9ca-1537a932bd58	SRR15040981
da2321d2-e104-4163-ae70-85c42681e63a	SRR15040980
dd756cfb-0c13-42c8-91df-9714a393413f	SRR15040979
5c2857c7-f6b1-4bd5-a055-8c883820321f	SRR15040978
e6f6958a-9d94-480b-9515-eb5ffd12f6ea	SRR15040977
e68a6144-988a-4ec9-af3d-2746b350cd13	SRR15040976
0d44d876-3c9d-4a2e-9ff7-fe74e67bbafc	SRR15040975
d1a35de4-2362-4293-bb99-aa9615815609	SRR15040973
dcbc259d-6fb5-440b-bcc5-e889e9576e43	SRR15040972
35391167-20a5-4990-8581-c63f41f5805f	SRR15040971
052610d1-8c5b-42f7-808d-9d7b25df1576	SRR15040970
c9bc2b1c-876e-4c6c-94bf-0606e7df9ba7	SRR15040969
32e9eaad-55c5-4a17-b61b-57c2807b718f	SRR15040968
c92a23e9-2605-405d-8eb2-f97c72219838	SRR15040967
e57ee936-4cba-4dae-b2ab-801c28ddb30e	SRR15040966
92d516ea-9be9-4792-a664-2cb2d61f2330	SRR15040965
f66d6d47-6779-4102-859f-a57c15c45ad0	SRR15040964
8dc74850-a767-46a7-8088-0a5cd6e7b465	SRR15040962
fc36a55e-66b6-41a5-9a49-38989fd7d172	SRR15040961
94a9f93a-4eb7-421d-bb56-21906a5bedd6	SRR15040960
fcd861bd-5f27-458a-b76b-172e07ee127f	SRR15040959
af387a56-dd08-4a37-b886-7abf6f45cc51	SRR15040958
714250bc-eb90-4b5c-abb0-54b05e438e6b	SRR15040957
0028a794-ea78-407b-9f01-0d56f2e06217	SRR15040956
c40a618e-a459-47c3-8021-196db0b45271	SRR15040955
a9e09e8e-1e19-4789-9d95-5e3ea054ec6c	SRR15040954
88ae0be1-3cb3-4adc-8469-19888b968691	SRR15040953
2e669383-a8e6-4351-a992-e22b134070d6	SRR15040951
