sample_id	NCBI_accession
9970b154-fb25-47b5-aa8f-be696fdf2986	SRR26895054
d076e19f-2379-4df3-993d-3a3ced16b0f4	SRR26895053
2fbc89b6-2a32-48e2-84b3-6d7bf869b529	SRR26895042
3bd0fbd6-25cc-409a-9039-5aaa3394ff2c	SRR26895031
7d5e6dba-ac42-4ed5-be98-b15b4ea44f77	SRR26895024
10c52196-d5a2-4090-ad34-35c2d8c27c0a	SRR26895023
20ad4cb8-3afc-45dc-ac92-f3c883209fad	SRR26895022
c93492d2-93c8-4654-880a-0fb7c7e70017	SRR26895021
5d2366e8-49c0-4600-9360-eda82ec68eaf	SRR26895020
dccfefc9-7c05-4fe4-9262-5a3f874d3264	SRR26895019
764aa935-9793-48fa-9471-51e2dcc5fc38	SRR26895052
3281fa88-f779-4c1d-a5cf-77326e2d6ad7	SRR26895051
859dab8f-bcca-4b05-9f31-b4d754e838a1	SRR26895050
03fa1514-672d-405b-a3d3-db94c74aa8ea	SRR26895049
34a8b76d-cba5-4c05-b5d9-7e4ee465e575	SRR26895048
aa5bdf59-cd6a-477d-89a7-f37780e60041	SRR26895047
93e35581-a96e-4581-8c77-22a9e42c3819	SRR26895046
225dfed9-df69-4045-8b4b-e81cd2308043	SRR26895045
8b53f3c6-4e28-46de-9d36-2f065d50853a	SRR26895044
0eada431-2ebb-4d41-b2d3-a0f6c3aa2b8e	SRR26895043
ab5eb9f5-1b40-435d-9f99-2a142a08f059	SRR26895041
bfb0fd51-979f-4631-aa6d-92d6348b02a8	SRR26895040
ad624f88-e363-4199-b153-0775ef654443	SRR26895039
b9f35d8b-ccab-4acd-b26a-b4ea8b293d8f	SRR26895038
ecedc578-0a4e-4b3a-ab51-7e7965f74009	SRR26895037
280dfa5c-6f5e-4bb0-b36f-603c28a4267e	SRR26895036
1afc0d90-dad3-4149-ba15-c2b8f9b95509	SRR26895035
9176065c-2cd3-4a2a-9369-782af4bf0e71	SRR26895034
17546f61-3e71-4160-a361-42104ba50608	SRR26895033
3232ff7a-837a-48eb-aead-11c5d85db07b	SRR26895032
588a3853-6b3a-4b1b-8178-3efaca7604ee	SRR26895030
cbe1fb50-45b1-44e0-9a91-a04e06a192e7	SRR26895029
06039a1d-c7be-4069-8b9a-f1a908ff97f8	SRR26895028
04c5e51d-2f82-4e00-b558-64fd05a3854c	SRR26895027
ea7b7da1-a1f8-4626-a463-3085cd0521db	SRR26895026
0b4ad10a-ed2b-403f-8f25-1ebca3419b89	SRR26895025
