sample_id	NCBI_accession
d0e43c97-bdcb-4271-8a2a-b8d0ed7e0bfd	SRR10983090
14fc77ff-4289-4e04-a560-0dd36e01777e	SRR10983089
fade6d20-b8ae-4a2d-a5e6-f1b2eec67792	SRR10983078
69aeedfd-0f98-4b9e-bdcf-5c3fa5af7e64	SRR10983067
0ff9cb18-c044-4cac-be8c-46aaac18ac22	SRR10983056
5fbf3a34-5866-4d77-bb45-dc1e0cfcf52a	SRR10983045
ee410402-efbc-4aa3-9b76-32405eb57334	SRR10983034
c1ce16b0-c799-46ea-a9e3-72cbeecf5eea	SRR10983023
36add6ce-84d4-4261-8adf-0a409e508a39	SRR10983012
7670a58d-689a-44f3-82fb-5d99fa57c3c4	SRR10983011
d6971a28-1e17-4a2d-b229-125a89c92e10	SRR10983088
64fbdb34-2c2b-4f45-b6b1-4d72beabb187	SRR10983087
1dac26fb-2aa4-418a-9b5d-a407fa14615a	SRR10983086
a9dc399e-28b2-402f-8d07-19d0c847c7d4	SRR10983085
fee77a95-d039-4d83-b992-c347147722f9	SRR10983084
317f8251-eae2-4723-a3b1-854f5656cd6b	SRR10983083
1ac63a8d-68f4-4a1c-a622-bc2c2cf46cbb	SRR10983082
dc2abf11-7477-4e6e-996e-044acde5cbbd	SRR10983081
ecdfdad1-47bb-4218-a29c-e826e57c4b9a	SRR10983080
857fc358-52a8-4547-bd6b-8461c01f9233	SRR10983079
a7a3d1c4-ca9b-42ae-9ee1-7e97f6921a00	SRR10983077
8fe6803b-5feb-432a-a459-7177f163c278	SRR10983076
62e8e0ae-fc21-4d8b-bcb0-e09a8c0fa7cb	SRR10983075
d0cfb6c6-4e4c-42b2-8035-8b94509f4615	SRR10983074
4a282484-9b05-4370-9e7a-083138e71733	SRR10983073
dfd20c93-169a-4c1d-ac80-05bc56a74912	SRR10983072
c8670551-264b-4bd8-819b-5f6ded6984ce	SRR10983071
b29fe1cf-9898-4f19-9ee1-ec51193ae0de	SRR10983070
24a41a2e-27fc-4ef9-a76e-72831110eae5	SRR10983069
75a42dad-7bcd-4f53-bb19-ae6cd516ffd0	SRR10983068
17c092f3-0125-4baa-8136-aaf2d0759e53	SRR10983066
10776930-9ec4-4aab-9b74-72d7422d7d89	SRR10983065
c6359afe-08b2-496c-87bd-0b65c1f20862	SRR10983064
9f89486e-3643-482e-83c5-70a1fd521b87	SRR10983063
f55fa933-d3f7-474e-95f4-0d889b820b39	SRR10983062
83a69fdb-983a-4775-98a4-fd7615ebd122	SRR10983061
4b4be827-6818-478b-9b68-7eeabccdce33	SRR10983060
c629f3bc-9e74-4ee1-907d-eb5830d715ef	SRR10983059
2d46e250-7d04-4a26-a2c3-ed2c6a17dba2	SRR10983058
dd8a9a1c-260c-45ce-ac0f-e282b30a0622	SRR10983057
b02f9798-5c9a-4c46-97b2-993659aee7d0	SRR10983055
3cc55845-cd6a-41b1-abfe-2c83dcb4780a	SRR10983054
9faeb946-41b8-4fd8-a3e0-8c182a4b122a	SRR10983053
014c84d7-06c0-4f8c-b6aa-2838f257bcd3	SRR10983052
6e1859a3-bfbe-4e27-85e2-e1b30aece340	SRR10983051
a2a2d766-3bff-4f8a-b0e8-9836dd3d96f5	SRR10983050
59a6cb77-90e6-4bcc-856f-b80ffb51ab85	SRR10983049
47e34337-c1d9-4b22-85a0-22ebf25aae7d	SRR10983048
141ed50e-4f23-46a1-81e5-d6f4bdd2c1e8	SRR10983047
dcebd1b3-0816-4f16-b512-d0c95327eed6	SRR10983046
90e9e4d7-41a3-4d65-b2f4-edd98306d406	SRR10983044
2d29d464-1017-42da-8b7f-6d1d44ca4670	SRR10983043
d1d2f1ad-8d49-4f08-b8d0-df334ec33cae	SRR10983042
0b0f713c-2788-4d2c-8b61-92a2f4490c6a	SRR10983041
79045e85-0b9c-440d-9e3f-0d70b7c3ec68	SRR10983040
bf5a0eb3-9996-4f5b-b8da-234981ca22ae	SRR10983039
b307281c-26c3-4e04-8e72-223121049fa4	SRR10983038
be293be4-0568-4c0b-945e-239a04db1669	SRR10983037
eaaa0826-f747-463a-a9eb-00589e699021	SRR10983036
74d0971d-1c08-4d79-8875-5382920220ad	SRR10983035
fae56424-cfa2-496e-98d7-6eb486fdb02b	SRR10983033
8bab5fa3-2bde-4111-9958-47051fc96358	SRR10983032
eed28ebf-dc72-4f57-8ce7-82399b9a298c	SRR10983031
10a45652-9df3-4cdc-8f4c-d0010b42ec26	SRR10983030
3841d098-a1a9-4910-9a1c-1727a53fb1ca	SRR10983029
8ef4b9c1-5199-4f8c-bf6e-d8f6442f2d75	SRR10983028
40b842a1-a433-4799-9028-32beb50cbc65	SRR10983027
a68089ce-a62b-4bb9-9a23-3696740c1e66	SRR10983026
b7275d32-aa75-417e-b996-6ad6d5bebb3f	SRR10983025
55400fea-e350-4e46-932c-3049b5270065	SRR10983024
9c99481a-9b69-4f52-a8ec-d8cce3002cc4	SRR10983022
0aac19c1-5c59-4ad9-956f-c837de4e776e	SRR10983021
8d976f1a-7170-4cba-a57a-0b12225bfeb7	SRR10983020
40de4854-99b8-4187-89f8-10b5f7c3b642	SRR10983019
d1c005a1-3d80-4938-9b79-3367a6ccac79	SRR10983018
0794e5a2-69de-465a-ba59-a650ab05892a	SRR10983017
4e3c2110-838c-4fe2-a657-824ffaa1a7c2	SRR10983016
9b4edef3-de35-4237-9e1a-a30963409e0d	SRR10983015
9396c8b7-be67-4512-8e31-94af2cb67897	SRR10983014
5845da11-d633-413e-ba3b-2abd5482f0ce	SRR10983013
