sample_id	NCBI_accession
43a9a7d0-8a90-4eff-9c36-3424b3426624	SRR28674661
f6e05813-addb-42d3-9943-c6599289e6af	SRR28674665
240426fa-3337-4b81-82e1-3f011d51913a	SRR28674669
0254941c-8ad4-4c92-b771-9d3248550a8f	SRR28674670
089f5240-d35a-496a-8303-2ae425f290ae	SRR28674671
04ccfbce-c006-4872-baf1-f71f97c48e8c	SRR28674672
3cb4e4a4-9997-40f4-816c-5cfda96761b6	SRR28674677
54d6dfa2-38b5-4daf-a8d9-b49572f40a5f	SRR28674678
257f16d7-1738-4b67-a38d-b1ccd0b12e02	SRR28674684
da74eaa2-3f10-4b71-b875-d9b0569eebd8	SRR28674685
a3d9987a-4565-48e2-9f05-f78c4b4c8d03	SRR28674691
9fa1c03e-a9e8-4d2d-9559-dde7ee247b5d	SRR28674701
bf33d4b7-a289-4c51-adfc-1a34c23bf1bd	SRR28674702
e4c5f056-2e1d-4ae8-92e8-3c93628ce82b	SRR28674706
e2092a9c-5571-4828-b38d-7f7f24c9f2a0	SRR28674707
56843918-89ff-4479-a7ae-9e54f1e51f92	SRR28674708
09016182-db02-48d9-a9eb-a0e838ae94e6	SRR28674718
d9a6a44d-cdf2-4600-8e90-824a1f1aa838	SRR28674719
87a6eadc-b50e-4d72-80b2-1d914b49562e	SRR28674720
260c489d-320f-4b4e-b553-9db5260c5359	SRR28674721
9f078173-4bbb-4630-a1b7-7ac885b6429b	SRR28674722
afd35578-8cf5-4ea0-a890-df5303e4f8d4	SRR28674723
569e0480-7133-4d78-ada0-ac4f74d575dc	SRR28674724
f38e6c73-dd4e-4e42-be4f-1a3e5831d63a	SRR28674725
fac5d763-68f8-440a-81dd-d9c56e3bee8b	SRR28674726
d9b28b6a-2ad5-43d1-b0f9-6322751a532a	SRR28674743
a73a8f70-f3be-4699-858a-5911480b0022	SRR28674749
da0343c7-a519-4475-b86e-c0b673604b2c	SRR28674750
0a47c7ed-97e4-4412-8ecb-fa7c6708f4f9	SRR28674751
f07669c1-47bd-40c5-8287-8c3a33d93d3c	SRR28674758
96635666-a921-47ac-9263-c375d9485438	SRR28674761
57d8cf7c-f837-4be0-8fa1-744087c6ec3f	SRR28674762
0784a59a-b722-401d-8de4-f387f991d396	SRR28674763
12f2f265-4892-42fc-8461-f59516850cf6	SRR28674764
cc62f49d-ea80-4f8e-9125-9db16ecff5a6	SRR28674765
020cbfe9-cc1e-4e7f-be72-1d5fd38dbca0	SRR28674766
79999883-b78c-4195-84ee-53e3297fa1bc	SRR28674769
534536f3-7595-4a02-b629-79952491af69	SRR28674770
0ce9d834-5d9b-45ea-9d50-9da615cea631	SRR28674771
10bbac0b-93f3-4b5f-b21d-0e640d65381f	SRR28674772
189fe6cf-0a6c-499b-825d-b8e2a36b4760	SRR28674773
62a8e1bc-55ee-45e9-a9ca-28e2c5fb1464	SRR28674774
0e43d45b-226b-4006-a2af-5850dfaa9f2c	SRR28674778
2116c1d1-4967-440b-8fad-15cb86146304	SRR28674779
756bb2cc-d932-4ea6-8c65-54eabf57a909	SRR28674780
0c7aea26-15c9-4cb5-8c7c-65621dcb52e0	SRR28674781
2babd0ed-5f57-4c00-853a-2d62518f90b3	SRR28674782
b4c486b2-7659-47ad-93b9-7bc078791b2f	SRR28674783
7cad9dcf-0985-4d14-8e06-0847705004dc	SRR28674784
1b64866a-39b9-4513-aace-7c7df76337e1	SRR28674785
75fa7668-de74-4d7a-a4d7-c5ece4b30b3b	SRR28674786
63c46ee8-a112-4246-8a3a-63c249de2057	SRR28674787
dda720e3-f0c2-42d3-a612-7441ed6580ef	SRR28674788
814d39d9-5e3a-48dc-a8e9-587c1f5543b7	SRR28674789
c39095d1-7018-4f61-8cf2-713108b37a7a	SRR28674790
fb0f8c68-6f8a-4a97-83dd-968cd237c342	SRR28674794
b96332ee-04f2-4d4d-a933-fd7ee23eaa7d	SRR28674795
ee122087-0f57-4024-b92e-a7e3c4d75866	SRR28674796
177cf53d-0b21-40ef-a291-29b3acdd5ff3	SRR28674797
cd55aeb8-51e0-4960-996c-fce7cb6118f6	SRR28674798
2e71efc3-0061-478e-b19e-643c821372e2	SRR28674799
e26da3d7-a6cc-422a-9e2a-c9d2c5d9f6ec	SRR28674801
6d988ea7-77b1-4562-8984-99353d3e3ff4	SRR28674802
fe66977b-cb67-4fac-9e2d-695e19d265aa	SRR28674803
c4960607-f19e-4253-924d-42f7b2f075f2	SRR28674804
0622561b-c0d8-4c9e-bc09-cc94ac75f312	SRR28674806
4aa34897-c098-43d5-b837-d2419a307d70	SRR28674807
ba4a1946-f261-4657-b716-8aec5fb99525	SRR28674808
8c51cd73-0270-455a-b55d-7b7e4160fd4c	SRR28674809
32bfae72-7f89-4f56-a5c1-a97a0e535558	SRR28674811
e4d72110-535d-460f-96ab-66888f56e6a1	SRR28674812
f8d3e9a3-6af3-4b88-a768-ccf17015f9e4	SRR28674813
feb96ed3-2278-4aa2-af4b-356ade0b5fbd	SRR28674819
bc18a9ba-9b4a-41c6-9e6d-3887bb710cd2	SRR28674820
8ab8d39c-f2be-48aa-9a3b-0c86a7de150f	SRR28674821
da2d93c7-5aae-461f-b0d5-9b276e1895f4	SRR28674822
5b08b154-8317-4e34-99c3-10ca9e795996	SRR28674823
eee73da3-021c-4bc5-821f-5baa88dc51ff	SRR28674824
dc8dac79-b476-430a-afb4-8ccfa6e71251	SRR28674825
032655a3-6ed4-4bf0-bfbe-0e2fe4cfe2e9	SRR28674826
3d1dbfca-5ef9-434a-ac5d-2e466dbde2f8	SRR28674827
c74ad65d-9bd1-46e5-88f0-5aae4d885220	SRR28674830
5baf59f1-9d87-4104-86b7-51fd73828e9d	SRR28674831
40cce961-02c8-479b-9c4a-bb9ca64ea3c5	SRR28674832
1c169d27-9026-4a6d-8fcb-41744a3e153e	SRR28674833
6506d848-3f2e-4a9d-a2d4-829b510524a0	SRR28674834
7fa97606-5a7d-4361-b5ee-504238e31bfa	SRR28674837
16e819e8-0ad7-4799-b0fd-011ffd89a1d1	SRR28674838
b7b3673a-663d-4a85-9ecb-a0093823c2e0	SRR28674839
87ad5d16-c468-49c5-a766-bac3ef0861dc	SRR28674840
fd1fb8be-283d-4cb9-a9d3-71bc723c6d86	SRR28674841
677daf24-64fe-4e9e-bdd8-f1f6a91f184e	SRR28674842
485bda49-a627-491b-b963-8b785482be8c	SRR28674843
89be8b42-9c8e-4298-b084-983d90d283b2	SRR28674844
15b215fd-b536-49c5-a7e9-c35ae6fb2ac2	SRR28674845
365dfc0b-ae54-432c-9fda-d3678d91280c	SRR28674846
aa2006aa-9dfc-48c9-b581-bc9db0e9d341	SRR28674847
662770fa-b6c6-4bdb-b4a3-77efcf9cd0f8	SRR28674848
60f14fb3-0760-4cf6-a47d-4e6b4d8315dd	SRR28674853
68a1753a-9efa-4f5c-a235-a96043cb93ac	SRR28674854
a331f6c2-cccd-4e9f-a1b6-ed897d4fda10	SRR28674857
5e10bb14-b9f8-40fb-844a-2a96b02e66dc	SRR28674858
84d00c44-bd5d-40dc-8ed5-cd368fef28a8	SRR28674862
e0610d63-2656-4593-8447-3f5e9e7b7353	SRR28674863
246a56e6-2d85-4e11-989b-3188dd4262a1	SRR28674864
38f3950b-bf9b-40fe-aea3-1567143eef57	SRR28674870
f74db5d7-7a33-4461-bd7e-d843a7d9019f	SRR28674871
0d3030c8-ed4a-4139-9e9e-680099cddf9b	SRR28674872
7e04802c-8b2d-4703-a5ec-746bbb034bb4	SRR28674873
77e50899-58d0-480d-99c2-4cd2863a0adc	SRR28674874
29075329-0566-450d-9e0e-f96328c1f269	SRR28674659
2726112c-0978-4246-a871-48fa6851d84e	SRR28674660
949c4cab-0144-43f6-9f59-c6f44786ed46	SRR28674662
72094afe-8c38-4f93-bd0f-ab9ac42556ad	SRR28674663
65301a78-acae-4323-897d-2789b942a96f	SRR28674664
2a9feaf3-c513-430b-8d88-a700e322d95f	SRR28674666
