sample_id	NCBI_accession
712f908b-d67f-4a10-b61a-aac11d200665	SRR20608009
25b409ce-cb31-49f1-bde0-6fbe98db534f	SRR20608011
7776b615-12b5-4472-8220-8cba58ea5a17	SRR20608012
ab5fca47-0a23-4712-891f-ea083a40297f	SRR20608013
739f401f-660e-4177-be04-5604fa697211	SRR20608014
0ee64898-09eb-4040-b11e-0f40b8709aa9	SRR20608015
b6f1c074-7645-4f3c-937d-1db4e261aa6a	SRR20608016
37f9db9b-7540-41ec-96e2-3713320b4865	SRR20608017
a3f5f18e-da15-4a9c-9641-09a9f143f5c7	SRR20608018
1b1d1aca-8759-4a0e-b551-46f5cd06f05c	SRR20608019
ede45f42-94b2-4377-90bf-295cf2afcd5b	SRR20608020
72161965-1714-4df8-82bc-9f2ba9a49ca7	SRR20608021
8b34b356-e4cb-43ce-9936-f0c35658e98b	SRR20608022
ffb36561-c7ae-4aa7-b6f8-d30571d7bc15	SRR20608023
fd2f516d-ea32-4d20-bc61-a267fdc955b6	SRR20608024
b5af33bf-21ad-4a05-bb14-fa7e036092d4	SRR20608025
b6ecdc94-7455-4d88-b986-4d9d2671aa51	SRR20608026
5d7430b9-5556-4fbf-b305-1753d21b54ad	SRR20608027
b62a5845-d165-4f8b-b35e-d29f1187bf4d	SRR20608028
ad6a19a3-6b04-4f1e-a510-a9ebd68a7bfd	SRR20608029
1316c1f4-f0ad-4b97-be72-76eecc5409f0	SRR20608032
353a8585-7780-4171-961b-514646a05848	SRR20608042
e02e8c96-8033-48f0-9791-dd68ae9b50a1	SRR20608053
124362e7-98a3-495c-aec8-ff068a22de86	SRR20608064
fdb1a850-12c6-4c6a-a921-5441a6612f1b	SRR20608075
78a6333f-302d-4708-856d-797d7d2c6b08	SRR20608076
7f9cb33f-443e-406f-8861-b131e12d5d20	SRR20608087
ef32b0ce-f646-4894-ac44-6b1fea819171	SRR20608089
aab24285-dd21-43fe-8daa-dcdf189ccc6b	SRR20608100
a70fed16-c927-4e4a-9224-915aa187690c	SRR20608113
bde9d24d-4164-4947-b2ef-91dcd5fc7c9c	SRR20608122
6d8c0c19-c9b2-4dd6-8475-8b0ab9703d6b	SRR20608123
a04ed7ed-e846-4ccb-bb39-1aa3d453cb30	SRR20608124
63c1772b-4303-42a4-9b77-1d9dc68a4158	SRR20608125
4c58a23a-74c1-41a4-8228-c791b7226136	SRR20608126
189c8a56-c4a5-4abb-a9f4-fe908ec91749	SRR20608127
7ac21def-843b-42f2-9424-dcb5b2f293e7	SRR20608128
ff25f7eb-5584-45ca-97f7-e7d1397ac741	SRR20608129
ff94013f-4853-4815-b1a8-a810e868e415	SRR20608130
58e53d2c-e50b-42d9-9e0a-36fa476f2785	SRR20608131
bf2a099e-4f09-422a-896b-d647534a81a1	SRR20608132
e49fc893-01cf-4225-a06b-9ff91507c17c	SRR20608133
c2fd58a2-fb39-4eca-8cb1-79ec00964e38	SRR20608134
1af628b8-fab9-47f8-a6a0-36c129efa1a9	SRR20608135
ccb6e658-9b77-40e5-985c-cbff2c3db368	SRR20608136
96e76a6d-09d0-4c92-9b40-145238ac1b1e	SRR20608137
8e5ad385-58a5-4efb-a0f1-57e463a8ac6c	SRR20608138
8457acd8-29ed-46e0-836c-72e0a81659a3	SRR20608139
a828c8e0-ea7b-44f1-b5ae-3316eeb5bc32	SRR20608140
1a91d79d-bdcd-45d9-b312-107ce9488ef9	SRR20608141
2168939e-cb13-4d3f-9b91-5d2fed023962	SRR20608142
ad490d2f-060d-4ec8-aa6e-c2b3d988699f	SRR20608143
005da0be-e3a9-4ec3-ab9c-187d7894cb8f	SRR20608144
c7a71f6b-557a-4325-b551-dc3bb47666d1	SRR20608145
3a0071ce-453b-49f4-9e90-71a71fcbb0b3	SRR20608146
29c2e543-53fd-4594-9bae-9645dd3a0d24	SRR20608147
4759181c-e9df-45a5-99b1-e79812d0c791	SRR20608148
515e14fb-7e83-40e1-aacd-a57549cc18ca	SRR20608158
2789d985-beb0-431e-99c2-99379adfcfba	SRR20608171
52f6ae2e-e77d-4c4d-8089-35e9764e9668	SRR20608182
7f5660ec-7e5e-4e7d-b758-1e00d4707cd2	SRR20608189
792af0d1-8a3d-40ce-9fbe-58f016fb2de3	SRR20608190
2242c4dd-6894-497c-99d2-c4496941b683	SRR20608191
f07308da-979d-456c-9654-8e294006241c	SRR20608192
e51d6f3d-0f05-4c39-b89c-d40fb292b321	SRR20608193
fd550117-54ea-4a58-b881-053b236ed02f	SRR20608194
570c080f-f7b5-43a6-846d-9f640b909fce	SRR20608195
ce6d969e-1f02-4bc6-86ba-ea8aab8d8e79	SRR20608196
c5bab76a-f099-4171-a49a-5a699cadcfa6	SRR20608197
d1c2b0e1-c2e4-48f0-919f-0584c7b1a18a	SRR20608198
3d939b6f-a282-452d-b4da-3e5abeed17a5	SRR20608199
d9bf2c3d-e2e0-4f4f-8c5b-93f3baf5e79c	SRR20608200
6a3075fc-4cf5-4547-a9ee-0ddcf816655d	SRR20608201
df9e2a4f-f671-49f7-a2cc-9984bab4b7a7	SRR20608202
a91d7a59-a018-4822-a360-200033f0ddd3	SRR20608203
111adbf1-f95d-4b8f-918c-4d07a9519aa1	SRR20608204
e5a19eea-6f0c-4aa0-a570-4f3a8cf1172c	SRR20608205
f0341f9d-e7bc-4480-a206-b4d78238e3ee	SRR20608206
53669e1d-0ab7-4fbb-b2b4-421d36b5a59e	SRR20608207
08d4a735-89dd-41ed-9f2b-90aaf0982f17	SRR20608208
706442b8-0eed-491b-ad97-e01130645dac	SRR20608209
ee86ee17-064f-4aad-bc56-d18c50e24985	SRR20608210
