sample_id	NCBI_accession
f98b59d8-fc8d-49c2-a9dc-da64d5b16264	SRR19064454
2b8ca99d-1bee-4aee-9c7b-6385eadae001	SRR19064453
b233da50-3694-49b1-9afd-79f1302334ce	SRR19064653
5c3c19cf-8b2f-401f-a4f8-7e04ffba7840	SRR19064624
faa9efc9-a39d-42b8-82b7-ce6e10268a52	SRR19064809
ccab7744-e6d7-4049-a1b7-caf32dcca346	SRR19064762
281b3ccd-7e09-41b9-a34c-77334f74988b	SRR19064747
331d45a2-69a8-47b6-aff5-7c772e2df96b	SRR19064990
ee8e50aa-9e02-422f-ba22-c748b5cfe9b0	SRR19064705
8c38bb62-42fb-4a2e-9f98-022218ef098e	SRR19064946
a075c481-ab0a-4dd7-a73e-9cf874111eee	SRR19064391
9ae1fb55-30bb-4288-9040-b22ee9988517	SRR19064379
dcce5e8b-ea2e-4593-890d-02e8067ef912	SRR19064701
4119c7f0-625b-4ad1-adc1-39251e9381a9	SRR19064690
5283ed78-e5f2-40b6-89d4-911887856482	SRR19064450
f1ed9584-5f84-444c-89df-6492afd98ad5	SRR19064439
90406b61-614e-41fe-8771-9259f8fe32ed	SRR19064931
fbedb54d-5a25-49fa-9483-f8a92f365343	SRR19064920
0250ef15-7d45-4375-a070-ddaf4b01514b	SRR19064675
4c1d920d-1d0d-4016-a9c2-83377a8e5fd9	SRR19064664
a4faa735-b5d2-4744-87a7-0b607ad0477a	SRR19064652
bbb41ca4-dc53-4ac6-aa96-70a6d1e1fa17	SRR19064915
84bdceca-c393-4108-85ff-d27578828509	SRR19064904
04b8e589-8532-47bb-944b-fdf709d98a8a	SRR19064893
2cdffcc6-55ff-4b7f-8ad0-e65a26fb1985	SRR19064882
36bee8fc-f2d6-4d2e-85d6-291d12bd199e	SRR19064870
306729dc-9c7b-4e2c-9bd2-44303dfc74ad	SRR19064860
7434f909-bbc5-49b9-9e60-7f127631a30e	SRR19064428
e501d71f-6d99-47f6-8856-cedd7d8715a6	SRR19064416
7c1772aa-a3a4-4e03-ac72-132992f7fee8	SRR19064635
489f269d-db3c-4ec0-8f3f-28151cce1c03	SRR19064623
02696167-c6cf-40bf-a44a-b0d28983221e	SRR19064403
b80f30be-316c-41a6-a550-6ba84688cb30	SRR19064393
a9c07537-c726-46d5-a7a1-1378ff803c02	SRR19064610
72943548-3fed-4c77-ae09-252eccfd12ed	SRR19064600
6d3e02a8-7b1e-4f91-acfb-64f38aa601d3	SRR19064842
