sample_id	NCBI_accession
6373e12a-5e82-46ba-a7f3-e332ee134375	SRR25109817
580a9a55-1357-49b2-b94f-136bbfc6b19c	SRR25109816
639c5903-fb72-470e-99dd-2fd37584a88d	SRR25109805
b3429ce3-be40-429d-9634-8a0451910f0e	SRR25109800
2f3cf600-3fcc-478c-a7e7-932b70cf6ab2	SRR25109799
88fbdc3d-9a6b-4c23-a703-b595ce32915a	SRR25109798
6054995c-d25b-404b-9e33-1fbf80c872c1	SRR25109797
64043185-b158-4b4f-bade-33d1d67b6c62	SRR25109796
4c446364-326a-4705-b114-4ec3135a91d9	SRR25109795
1a40f814-c896-4745-8011-d4fb63187941	SRR25109794
042092de-899f-4f51-b5a7-d244f9e4b38d	SRR25109815
9b070074-7c08-4cde-abaa-dff34d8a9d48	SRR25109814
d8efa928-5ddc-44fe-a3e2-553f1309856e	SRR25109813
6410a406-a1a8-4268-92cd-dbc71a2ad15e	SRR25109812
926dd5fe-1eeb-4fca-a5f0-2cff735e7a53	SRR25109811
c0ecca2d-791f-468a-b5ca-703d0b011b1f	SRR25109810
58d895fc-88cb-4e13-bb23-d2cf1e85a8a2	SRR25109809
02579724-f5f0-496d-bbb0-823b6b4b9f33	SRR25109808
421fac27-452d-473c-90a8-e1a5dc4367c8	SRR25109807
b93f912e-ab02-4500-bd32-fb073e342492	SRR25109806
54178c76-bce0-47c3-82e5-fa99cea572c1	SRR25109804
15d466c4-1d29-4e3d-874d-01a01dda3d8c	SRR25109803
2d95b9e9-d647-456f-bece-aded80830705	SRR25109802
06304b19-a00a-4f65-9f73-ae1953891b8e	SRR25109801
