Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Collection_Date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	HOST	Instrument	isolation_source	lat_lon	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	create_date	version	Sample Name	SRA Study	replicates
SRR10983011	WGS	300	10387128900	PRJNA433459	SAMN08516737	Metagenome or environmental	4209346105	"RUIJIN HOSPITAL, SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE"	not collected	public	"run.zq,sra,fastq"	"s3,gs,ncbi"	"ncbi.public,gs.us-east1,s3.us-east-1"	SRX7645503	China	Asia	China	Homo sapiens	HiSeq X Ten	feces	not collected	sy10	PAIRED	RANDOM	METAGENOMIC	gut metagenome	ILLUMINA	2020-09-22T00:00:00Z	2020-09-22T11:54:00Z	1	MC020	SRP245758	10
SRR10983012	WGS	300	10551238800	PRJNA433459	SAMN08516736	Metagenome or environmental	4674118851	"RUIJIN HOSPITAL, SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE"	not collected	public	"sra,fastq,run.zq"	"ncbi,gs,s3"	"ncbi.public,s3.us-east-1,gs.us-east1"	SRX7645502	China	Asia	China	Homo sapiens	HiSeq X Ten	feces	not collected	sy9	PAIRED	RANDOM	METAGENOMIC	gut metagenome	ILLUMINA	2020-01-29T00:00:00Z	2020-01-29T06:16:00Z	1	MC018	SRP245758	9
SRR10983013	WGS	300	14670962400	PRJNA433459	SAMN08516807	Metagenome or environmental	6591638785	"RUIJIN HOSPITAL, SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE"	not collected	public	"sra,run.zq,fastq"	"s3,ncbi,gs"	"s3.us-east-1,gs.us-east1,ncbi.public"	SRX7645501	China	Asia	China	Homo sapiens	HiSeq X Ten	feces	not collected	sy80	PAIRED	RANDOM	METAGENOMIC	gut metagenome	ILLUMINA	2020-09-22T00:00:00Z	2020-09-22T12:37:00Z	1	MP1045	SRP245758	80
SRR10983014	WGS	300	43675974600	PRJNA433459	SAMN08516806	Metagenome or environmental	19284101370	"RUIJIN HOSPITAL, SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE"	not collected	public	"run.zq,fastq,sra"	"gs,s3,ncbi"	"ncbi.public,gs.us-east1,s3.us-east-1"	SRX7645500	China	Asia	China	Homo sapiens	HiSeq X Ten	feces	not collected	sy79	PAIRED	RANDOM	METAGENOMIC	gut metagenome	ILLUMINA	2020-09-22T00:00:00Z	2020-09-22T13:47:00Z	1	MP1043	SRP245758	79
SRR10983015	WGS	300	13036573500	PRJNA433459	SAMN08516805	Metagenome or environmental	5784791178	"RUIJIN HOSPITAL, SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE"	not collected	public	"run.zq,fastq,sra"	"gs,s3,ncbi"	"ncbi.public,gs.us-east1,s3.us-east-1"	SRX7645499	China	Asia	China	Homo sapiens	HiSeq X Ten	feces	not collected	sy78	PAIRED	RANDOM	METAGENOMIC	gut metagenome	ILLUMINA	2020-09-22T00:00:00Z	2020-09-22T12:09:00Z	1	MP1042	SRP245758	78
SRR10983016	WGS	300	12138112200	PRJNA433459	SAMN08516804	Metagenome or environmental	5321369122	"RUIJIN HOSPITAL, SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE"	not collected	public	"sra,fastq,run.zq"	"gs,s3,ncbi"	"s3.us-east-1,ncbi.public,gs.us-east1"	SRX7645498	China	Asia	China	Homo sapiens	HiSeq X Ten	feces	not collected	sy77	PAIRED	RANDOM	METAGENOMIC	gut metagenome	ILLUMINA	2020-01-29T00:00:00Z	2020-01-29T05:55:00Z	1	MP1037	SRP245758	77
SRR10983017	WGS	300	13539827400	PRJNA433459	SAMN08516803	Metagenome or environmental	6042882375	"RUIJIN HOSPITAL, SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE"	not collected	public	"run.zq,sra,fastq"	"gs,s3,ncbi"	"gs.us-east1,ncbi.public,s3.us-east-1"	SRX7645497	China	Asia	China	Homo sapiens	HiSeq X Ten	feces	not collected	sy76	PAIRED	RANDOM	METAGENOMIC	gut metagenome	ILLUMINA	2020-09-22T00:00:00Z	2020-09-22T12:00:00Z	1	MP1023	SRP245758	76
SRR10983018	WGS	300	10617909600	PRJNA433459	SAMN08516802	Metagenome or environmental	4741969881	"RUIJIN HOSPITAL, SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE"	not collected	public	"sra,fastq,run.zq"	"gs,s3,ncbi"	"s3.us-east-1,gs.us-east1,ncbi.public"	SRX7645496	China	Asia	China	Homo sapiens	HiSeq X Ten	feces	not collected	sy75	PAIRED	RANDOM	METAGENOMIC	gut metagenome	ILLUMINA	2020-09-22T00:00:00Z	2020-09-22T12:12:00Z	1	MP1016	SRP245758	75
SRR10983019	WGS	300	14519278200	PRJNA433459	SAMN08516801	Metagenome or environmental	6431198315	"RUIJIN HOSPITAL, SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE"	not collected	public	"fastq,sra,run.zq"	"s3,ncbi,gs"	"gs.us-east1,ncbi.public,s3.us-east-1"	SRX7645495	China	Asia	China	Homo sapiens	HiSeq X Ten	feces	not collected	sy74	PAIRED	RANDOM	METAGENOMIC	gut metagenome	ILLUMINA	2020-01-29T00:00:00Z	2020-01-29T06:22:00Z	1	MP1015	SRP245758	74
SRR10983020	WGS	300	12443830500	PRJNA433459	SAMN08516800	Metagenome or environmental	5486564634	"RUIJIN HOSPITAL, SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE"	not collected	public	"sra,fastq,run.zq"	"gs,s3,ncbi"	"ncbi.public,s3.us-east-1,gs.us-east1"	SRX7645494	China	Asia	China	Homo sapiens	HiSeq X Ten	feces	not collected	sy73	PAIRED	RANDOM	METAGENOMIC	gut metagenome	ILLUMINA	2020-09-22T00:00:00Z	2020-09-22T12:55:00Z	1	MP1011	SRP245758	73
SRR10983021	WGS	300	10674760200	PRJNA433459	SAMN08516799	Metagenome or environmental	4290943921	"RUIJIN HOSPITAL, SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE"	not collected	public	"run.zq,sra,fastq"	"ncbi,s3,gs"	"gs.us-east1,ncbi.public,s3.us-east-1"	SRX7645493	China	Asia	China	Homo sapiens	HiSeq X Ten	feces	not collected	sy72	PAIRED	RANDOM	METAGENOMIC	gut metagenome	ILLUMINA	2020-01-29T00:00:00Z	2020-01-29T06:04:00Z	1	MP1009	SRP245758	72
SRR10983022	WGS	300	13957943100	PRJNA433459	SAMN08516798	Metagenome or environmental	6239509167	"RUIJIN HOSPITAL, SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE"	not collected	public	"sra,run.zq,fastq"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	SRX7645492	China	Asia	China	Homo sapiens	HiSeq X Ten	feces	not collected	sy71	PAIRED	RANDOM	METAGENOMIC	gut metagenome	ILLUMINA	2020-09-22T00:00:00Z	2020-09-22T12:19:00Z	1	MP1006	SRP245758	71
