Run,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Group,HOST,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,litter_id,mouse_id,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,total_sequences
SRR28674661,12,WGS,302,383671068,PRJNA1099939,SAMN40961917,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",174916660,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2020-12-12,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",mouse gut,mouse gut,fecal material [ENVO:00002003],SRX24243048,USA,North America,USA: Alabama,NTG,Mus musculus,Illumina HiSeq X,hSCATG057AM1_12MTH_12122020,PAIRED,RANDOM,METAGENOMIC,hSCATG057,hSCATG057AM1,mouse gut metagenome,ILLUMINA,2024-04-15T00:00:00Z,2024-04-14T15:57:00Z,1,hSCATG057AM1_12MTH_12122020,SRP501636,1493677
SRR28674665,1,WGS,302,369250568,PRJNA1099939,SAMN40961870,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",163235521,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2019-08-08,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",mouse gut,mouse gut,fecal material [ENVO:00002003],SRX24243044,USA,North America,USA: Alabama,NTG,Mus musculus,Illumina HiSeq X,hSCATG039AM6_1MTH_08082019,PAIRED,RANDOM,METAGENOMIC,hSCATG039,hSCATG039AM6,mouse gut metagenome,ILLUMINA,2024-04-15T00:00:00Z,2024-04-14T15:56:00Z,1,hSCATG039AM6_1MTH_08082019,SRP501636,1510666
SRR28674669,1,WGS,302,383653552,PRJNA1099939,SAMN40961866,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",169968450,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2019-08-08,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",mouse gut,mouse gut,fecal material [ENVO:00002003],SRX24243040,USA,North America,USA: Alabama,TG,Mus musculus,Illumina HiSeq X,hSCATG039AM3_1MTH_08082019,PAIRED,RANDOM,METAGENOMIC,hSCATG039,hSCATG039AM3,mouse gut metagenome,ILLUMINA,2024-04-15T00:00:00Z,2024-04-14T15:57:00Z,1,hSCATG039AM3_1MTH_08082019,SRP501636,1578711
SRR28674670,12,WGS,302,356394428,PRJNA1099939,SAMN40961865,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",159970247,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2020-07-08,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",mouse gut,mouse gut,fecal material [ENVO:00002003],SRX24243039,USA,North America,USA: Alabama,TG,Mus musculus,Illumina HiSeq X,hSCATG039AM3_12MTH_07082020,PAIRED,RANDOM,METAGENOMIC,hSCATG039,hSCATG039AM3,mouse gut metagenome,ILLUMINA,2024-04-15T00:00:00Z,2024-04-14T15:56:00Z,1,hSCATG039AM3_12MTH_07082020,SRP501636,1423216
SRR28674671,6,WGS,302,343619828,PRJNA1099939,SAMN40961864,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",152240352,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2020-01-08,public,"sra,fastq,run.zq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",mouse gut,mouse gut,fecal material [ENVO:00002003],SRX24243038,USA,North America,USA: Alabama,NTG,Mus musculus,Illumina HiSeq X,hSCATG039AM2_6MTH_01082020,PAIRED,RANDOM,METAGENOMIC,hSCATG039,hSCATG039AM2,mouse gut metagenome,ILLUMINA,2024-04-15T00:00:00Z,2024-04-14T15:57:00Z,1,hSCATG039AM2_6MTH_01082020,SRP501636,1401339
SRR28674672,3,WGS,302,643671626,PRJNA1099939,SAMN40961863,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",268660237,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2019-10-08,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",mouse gut,mouse gut,fecal material [ENVO:00002003],SRX24243037,USA,North America,USA: Alabama,NTG,Mus musculus,Illumina HiSeq X,hSCATG039AM2_3MTH_10082019,PAIRED,RANDOM,METAGENOMIC,hSCATG039,hSCATG039AM2,mouse gut metagenome,ILLUMINA,2024-04-15T00:00:00Z,2024-04-14T15:56:00Z,1,hSCATG039AM2_3MTH_10082019,SRP501636,2141518
SRR28674677,3,WGS,302,137057868,PRJNA1099939,SAMN40961851,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",71439500,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2019-10-08,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",mouse gut,mouse gut,fecal material [ENVO:00002003],SRX24243032,USA,North America,USA: Alabama,TG,Mus musculus,Illumina HiSeq X,hSCATG037AM1_3MTH_10082019,PAIRED,RANDOM,METAGENOMIC,hSCATG037,hSCATG037AM1,mouse gut metagenome,ILLUMINA,2024-04-15T00:00:00Z,2024-04-14T15:56:00Z,1,hSCATG037AM1_3MTH_10082019,SRP501636,255569
SRR28674678,1,WGS,302,307790850,PRJNA1099939,SAMN40961734,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",134883302,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2019-07-05,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mouse gut,mouse gut,fecal material [ENVO:00002003],SRX24243031,USA,North America,USA: Alabama,NTG,Mus musculus,Illumina HiSeq X,hSCATG020AM1_1MTH_07052019,PAIRED,RANDOM,METAGENOMIC,hSCATG020,hSCATG020AM1,mouse gut metagenome,ILLUMINA,2024-04-15T00:00:00Z,2024-04-14T15:57:00Z,1,hSCATG020AM1_1MTH_07052019,SRP501636,1185996
SRR28674684,12,WGS,302,280744938,PRJNA1099939,SAMN40961817,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",125676395,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2020-06-30,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",mouse gut,mouse gut,fecal material [ENVO:00002003],SRX24243025,USA,North America,USA: Alabama,TG,Mus musculus,Illumina HiSeq X,hSCATG034AM2_12MTH_06302020,PAIRED,RANDOM,METAGENOMIC,hSCATG034,hSCATG034AM2,mouse gut metagenome,ILLUMINA,2024-04-15T00:00:00Z,2024-04-14T15:57:00Z,1,hSCATG034AM2_12MTH_06302020,SRP501636,1092872
SRR28674685,6,WGS,302,403750746,PRJNA1099939,SAMN40961816,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",178146804,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2020-01-02,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",mouse gut,mouse gut,fecal material [ENVO:00002003],SRX24243024,USA,North America,USA: Alabama,TG,Mus musculus,Illumina HiSeq X,hSCATG034AM1_6MTH_01022020,PAIRED,RANDOM,METAGENOMIC,hSCATG034,hSCATG034AM1,mouse gut metagenome,ILLUMINA,2024-04-15T00:00:00Z,2024-04-14T15:56:00Z,1,hSCATG034AM1_6MTH_01022020,SRP501636,1431275
