SAMPLE ID	Description : event or collection date	Cage	Genotype	Breeder	Age
CALTEC-001-1	Breeder 1	NA	NA	NA	NA
CALTEC-001-2	Breeder 2	NA	NA	NA	NA
CALTEC-001-3	Breeder 3	NA	NA	NA	NA
CALTEC-001-4	Breeder 4	NA	NA	NA	NA
CALTEC-001-5	weaning day	1	ASO	1	21 days
CALTEC-001-6	weaning day	1	WT	1	21 days
CALTEC-001-7	weaning day	2	WT	1	21 days
CALTEC-001-8	weaning day	2	ASO	1	21 days
CALTEC-001-9	weaning day	1	WT	1	21 days
CALTEC-001-10	weaning day	1	WT	2	21 days
CALTEC-001-11	weaning day	1	ASO	2	21 days
CALTEC-001-12	weaning day	2	WT	2	21 days
CALTEC-001-13	weaning day	2	ASO	2	21 days
CALTEC-001-14	weaning day	4	ASO	3	21 days
CALTEC-001-15	weaning day	3	ASO	3	21 days
CALTEC-001-16	weaning day	3	ASO	4	21 days
CALTEC-001-17	weaning day	4	ASO	4	21 days
CALTEC-001-18	weaning day	4	WT	4	21 days
CALTEC-001-19	Genotyped  and separation	1	ASO	1	28 days
CALTEC-001-20	Genotyped  and separation	1	WT	1	28 days
CALTEC-001-21	Genotyped  and separation	2	WT	1	28 days
CALTEC-001-22	Genotyped  and separation	2	ASO	1	28 days
CALTEC-001-23	Genotyped  and separation	1	WT	1	28 days
CALTEC-001-24	Genotyped  and separation	1	WT	2	28 days
CALTEC-001-25	Genotyped  and separation	1	ASO	2	28 days
CALTEC-001-26	Genotyped  and separation	2	WT	2	28 days
CALTEC-001-27	Genotyped  and separation	2	ASO	2	28 days
CALTEC-001-28	Genotyped  and separation	4	ASO	3	28 days
CALTEC-001-29	Genotyped  and separation	3	ASO	3	28 days
CALTEC-001-30	Genotyped  and separation	3	ASO	4	28 days
CALTEC-001-31	Genotyped  and separation	4	ASO	4	28 days
CALTEC-001-32	Genotyped  and separation	4	WT	4	28 days
CALTEC-001-33	3/21/24	1	ASO	1	35 days
CALTEC-001-34	3/21/24	1	WT	1	35 days
CALTEC-001-35	3/21/24	2	WT	1	35 days
CALTEC-001-36	3/21/24	2	ASO	1	35 days
CALTEC-001-37	3/21/24	1	WT	1	35 days
CALTEC-001-38	3/21/24	1	WT	2	35 days
CALTEC-001-39	3/21/24	1	ASO	2	35 days
CALTEC-001-40	3/21/24	2	WT	2	35 days
CALTEC-001-41	3/21/24	2	ASO	2	35 days
CALTEC-001-42	3/21/24	4	ASO	3	35 days
CALTEC-001-43	3/21/24	3	ASO	3	35 days
CALTEC-001-44	3/21/24	3	ASO	4	35 days
CALTEC-001-45	3/21/24	4	ASO	4	35 days
CALTEC-001-46	3/21/24	4	WT	4	35 days
CALTEC-001-47	3/27/24	1	ASO	1	41 days
CALTEC-001-48	3/27/24	1	WT	1	41 days
CALTEC-001-49	3/27/24	2	WT	1	41 days
CALTEC-001-50	3/27/24	2	ASO	1	41 days
CALTEC-001-51	3/27/24	1	WT	1	41 days
CALTEC-001-52	3/27/24	1	WT	2	41 days
CALTEC-001-53	3/27/24	1	ASO	2	41 days
CALTEC-001-54	3/27/24	2	WT	2	41 days
CALTEC-001-55	3/27/24	2	ASO	2	41 days
CALTEC-001-56	3/27/24	4	ASO	3	41 days
CALTEC-001-57	3/27/24	3	ASO	3	41 days
CALTEC-001-58	3/27/24	3	ASO	4	41 days
CALTEC-001-59	3/27/24	4	ASO	4	41 days
CALTEC-001-60	3/27/24	4	WT	4	41 days
CALTEC-001-103	4/10/24	1	ASO	1	55 days
CALTEC-001-104	4/10/24	1	WT	1	55 days
CALTEC-001-105	4/10/24	2	WT	1	55 days
CALTEC-001-106	4/10/24	2	ASO	1	55 days
CALTEC-001-107	4/10/24	1	WT	1	55 days
CALTEC-001-108	4/10/24	1	WT	2	55 days
CALTEC-001-109	4/10/24	1	ASO	2	55 days
CALTEC-001-110	4/10/24	2	WT	2	55 days
CALTEC-001-111	4/10/24	2	ASO	2	55 days
CALTEC-001-112	4/10/24	4	ASO	3	55 days
CALTEC-001-113	4/10/24	3	ASO	3	55 days
CALTEC-001-114	4/10/24	3	ASO	4	55 days
CALTEC-001-115	4/10/24	4	ASO	4	55 days
CALTEC-001-116	4/10/24	4	WT	4	55 days
CALTEC-001-117	4/12/24	1	ASO	1	57 days
CALTEC-001-118	4/12/24	1	WT	1	57 days
CALTEC-001-119	4/12/24	2	WT	1	57 days
CALTEC-001-120	4/12/24	2	ASO	1	57 days
CALTEC-001-121	4/12/24	1	WT	1	57 days
CALTEC-001-122	4/12/24	1	WT	2	57 days
CALTEC-001-123	4/12/24	1	ASO	2	57 days
CALTEC-001-124	4/12/24	2	WT	2	57 days
CALTEC-001-125	4/12/24	2	ASO	2	57 days
CALTEC-001-126	4/12/24	4	ASO	3	57 days
CALTEC-001-127	4/12/24	3	ASO	3	57 days
CALTEC-001-128	4/12/24	3	ASO	4	57 days
CALTEC-001-129	4/12/24	4	ASO	4	57 days
CALTEC-001-130	4/12/24	4	WT	4	57 days
CALTEC-001-131	4/15/24	1	ASO	1	60 days
CALTEC-001-132	4/15/24	1	WT	1	60 days
CALTEC-001-133	4/15/24	2	WT	1	60 days
CALTEC-001-134	4/15/24	2	ASO	1	60 days
CALTEC-001-135	4/15/24	1	WT	1	60 days
CALTEC-001-136	4/15/24	1	WT	2	60 days
CALTEC-001-137	4/15/24	1	ASO	2	60 days
CALTEC-001-138	4/15/24	2	WT	2	60 days
CALTEC-001-139	4/15/24	2	ASO	2	60 days
CALTEC-001-140	4/15/24	4	ASO	3	60 days
CALTEC-001-141	4/15/24	3	ASO	3	60 days
CALTEC-001-142	4/15/24	3	ASO	4	60 days
CALTEC-001-143	4/15/24	4	ASO	4	60 days
CALTEC-001-144	4/15/24	4	WT	4	60 days
CALTEC-001-145	4/19/24	1	ASO	1	64 days
CALTEC-001-146	4/19/24	1	WT	1	64 days
CALTEC-001-147	4/19/24	2	WT	1	64 days
CALTEC-001-148	4/19/24	2	ASO	1	64 days
CALTEC-001-149	4/19/24	1	WT	1	64 days
CALTEC-001-150	4/19/24	1	WT	2	64 days
CALTEC-001-151	4/19/24	1	ASO	2	64 days
CALTEC-001-152	4/19/24	2	WT	2	64 days
CALTEC-001-153	4/19/24	2	ASO	2	64 days
CALTEC-001-154	4/19/24	4	ASO	3	64 days
CALTEC-001-155	4/19/24	3	ASO	3	64 days
CALTEC-001-156	4/19/24	3	ASO	4	64 days
CALTEC-001-157	4/19/24	4	ASO	4	64 days
CALTEC-001-158	4/19/24	4	WT	4	64 days
CALTEC-001-159	4/23/24	1	ASO	1	68 days
CALTEC-001-160	4/23/24	1	WT	1	68 days
CALTEC-001-161	4/23/24	2	WT	1	68 days
CALTEC-001-162	4/23/24	2	ASO	1	68 days
CALTEC-001-163	4/23/24	1	WT	1	68 days
CALTEC-001-164	4/23/24	1	WT	2	68 days
CALTEC-001-165	4/23/24	1	ASO	2	68 days
CALTEC-001-166	4/23/24	2	WT	2	68 days
CALTEC-001-167	4/23/24	2	ASO	2	68 days
CALTEC-001-168	4/23/24	4	ASO	3	68 days
CALTEC-001-169	4/23/24	3	ASO	3	68 days
CALTEC-001-170	4/23/24	3	ASO	4	68 days
CALTEC-001-171	4/23/24	4	ASO	4	68 days
CALTEC-001-172	4/23/24	4	WT	4	68 days
CALTEC-001-173	4/25/24	1	ASO	1	70 days
CALTEC-001-174	4/25/24	1	WT	1	70 days
CALTEC-001-175	4/25/24	2	WT	1	70 days
CALTEC-001-176	4/25/24	2	ASO	1	70 days
CALTEC-001-177	4/25/24	1	WT	1	70 days
CALTEC-001-178	4/25/24	1	WT	2	70 days
CALTEC-001-179	4/25/24	1	ASO	2	70 days
CALTEC-001-180	4/25/24	2	WT	2	70 days
CALTEC-001-181	4/25/24	2	ASO	2	70 days
CALTEC-001-182	4/25/24	4	ASO	3	70 days
CALTEC-001-183	4/25/24	3	ASO	3	70 days
CALTEC-001-184	4/25/24	3	ASO	4	70 days
CALTEC-001-185	4/25/24	4	ASO	4	70 days
CALTEC-001-186	4/25/24	4	WT	4	70 days
CALTEC-001-187	5/3/24	1	ASO	1	78 days
CALTEC-001-188	5/3/24	1	WT	1	78 days
CALTEC-001-189	5/3/24	2	WT	1	78 days
CALTEC-001-190	5/3/24	2	ASO	1	78 days
CALTEC-001-191	5/3/24	1	WT	1	78 days
CALTEC-001-192	5/3/24	1	WT	2	78 days
CALTEC-001-193	5/3/24	1	ASO	2	78 days
CALTEC-001-194	5/3/24	2	WT	2	78 days
CALTEC-001-195	5/3/24	2	ASO	2	78 days
CALTEC-001-196	5/3/24	4	ASO	3	78 days
CALTEC-001-197	5/3/24	3	ASO	3	78 days
CALTEC-001-198	5/3/24	3	ASO	4	78 days
CALTEC-001-199	5/3/24	4	ASO	4	78 days
CALTEC-001-200	5/3/24	4	WT	4	78 days
