SAMPLE ID	GENOTYPE	Cage	Age	FMT donor	Time to cross challenge beam  (s)	Adhesive removal (s)	Time to descend Pole (s)	Errors on bean crossing (n)	Weight (g)	Gastric Emptying time (s)	Bead Expulsion time (s)	Fecal Output (n)
CALTEC-001-ASO1_5mo_aFMT	ASO	1	5 months	ASO 5 months	60	15.8	13.31	7.06	33	22.85044	10	3
CALTEC-001-ASO2_5mo_aFMT	ASO	1	5 months	ASO 5 months	13.84	37.7	30	6.07	27	31.48981	10	7
CALTEC-001-ASO3_5mo_aFMT	ASO	1	5 months	ASO 5 months	60	13.75	19.84	0	33	30.37313	9	5
CALTEC-001-ASO4_5mo_aFMT	ASO	1	5 months	ASO 5 months	16.51	6.47	13.84	3	36	37.66328	6	6
CALTEC-001-ASO5_5mo_aFMT	ASO	1	5 months	ASO 5 months	17.26	30.51	30	9	30	46.48045	6	0
CALTEC-001-ASO6_5mo_aFMT	ASO	2	5 months	ASO 5 months	49.42	18.08	16.51	7	32	32.03964	12	5
CALTEC-001-ASO7_5mo_aFMT	ASO	2	5 months	ASO 5 months	27.56	60	17.26	3	32	35.40792	21	2
CALTEC-001-ASO8_5mo_aFMT	ASO	2	5 months	ASO 5 months	14.08	1.06	8.12	6	28.6	37.81147	4	2
CALTEC-001-ASO9_5mo_aFMT	ASO	2	5 months	ASO 5 months	13.58	20.13	13	10	32.9	38.52596	6	6
CALTEC-001-ASO10_5mo_aFMT	ASO	2	5 months	ASO 5 months	48.52	26.23	28	5	29.1	53.10306	4	3
CALTEC-001-ASO1_5mo_yFMT	ASO	3	5 months	WT 2 months	10.4	17.7	7.7	3	30.5	27.66382	7	7
CALTEC-001-ASO2_5mo_yFMT	ASO	3	5 months	WT 2 months	10	8.36	8.36	3	39	50.94894	2	6
CALTEC-001-ASO3_5mo_yFMT	ASO	3	5 months	WT 2 months	10.5	5.37	5.37	3	38	58.32932	1	9
CALTEC-001-ASO4_5mo_yFMT	ASO	3	5 months	WT 2 months	19.5	12.32	12.32	3	41.5	51.47729	4	6
CALTEC-001-ASO5_5mo_yFMT	ASO	3	5 months	WT 2 months	9.9	8.51	8.51	2	40	47.46658	2	9
CALTEC-001-ASO6_5mo_yFMT	ASO	4	5 months	WT 2 months	6.4	13	13	4	39	54.19243	1	6
CALTEC-001-ASO7_5mo_yFMT	ASO	4	5 months	WT 2 months	20	8.39	8.39	3	38.5	76.5896	6	9
CALTEC-001-ASO8_5mo_yFMT	ASO	4	5 months	WT 2 months	10.2	7.45	7.45	3	34.5	22.43355	4	13
CALTEC-001-ASO9_5mo_yFMT	ASO	4	5 months	WT 2 months	17.06	3.08	7.06	3	33.5	46.86347	1	12
CALTEC-001-ASO10_5mo_yFMT	ASO	4	5 months	WT 2 months	6.07	1.7	6.07	3	37.5	60.0365	4	19
