SAMPLE ID	Treatment	GENOTYPE	Cage	Age	Time to cross challenge beam  (s)	Adhesive removal (s)	Time to descend Pole (s)	Errors on bean crossing (n)	Weight (g)	Bead Expulsion time (s)	Fecal Output (n)
CALTEC-001-ASO1_Vanco	FMT from 2month-old WT animals treated with vancomycin	ASO 	1	5 months	10.02	11.56	6.72	5	31	225	1
CALTEC-001-ASO2_Vanco	FMT from 2month-old WT animals treated with vancomycin	ASO 	1	5 months	12.19	15.07	30	4	28	232	5
CALTEC-001-ASO3_Vanco	FMT from 2month-old WT animals treated with vancomycin	ASO 	1	5 months	10.25	13.2	14.21	4	33.5	300	0
CALTEC-001-ASO4_Vanco	FMT from 2month-old WT animals treated with vancomycin	ASO 	1	5 months	20.71	13.15	30	8	33	300	2
CALTEC-001-ASO5_Vanco	FMT from 2month-old WT animals treated with vancomycin	ASO 	2	5 months	25.84	11.85	7.32	6	29	182	3
CALTEC-001-ASO6_Vanco	FMT from 2month-old WT animals treated with vancomycin	ASO 	2	5 months	30	2.03	30	9	28.5	268	7
CALTEC-001-ASO7_Vanco	FMT from 2month-old WT animals treated with vancomycin	ASO 	2	5 months	27	15	28	11	28	265	3
CALTEC-001-ASO8_Vanco	FMT from 2month-old WT animals treated with vancomycin	ASO 	2	5 months	26	17	24	8	27	234	1
CALTEC-001-201	FMT from 2month-old WT animals treated with Gentamycin/Neomycin transplant	ASO 	3	5 months	30	2.94	30	9	33	231	6
CALTEC-001-202	FMT from 2month-old WT animals treated with Gentamycin/Neomycin transplant	ASO 	3	5 months	30	1.81	30	5	35	196	10
CALTEC-001-203	FMT from 2month-old WT animals treated with Gentamycin/Neomycin transplant	ASO 	3	5 months	9.41	1.09	5.13	1	30.5	174	7
CALTEC-001-204	FMT from 2month-old WT animals treated with Gentamycin/Neomycin transplant	ASO 	3	5 months	19.15	1	7.44	2	38	172	14
CALTEC-001-205	FMT from 2month-old WT animals treated with Gentamycin/Neomycin transplant	ASO 	4	5 months	9.89	16.34	7.84	4	38	201	10
CALTEC-001-206	FMT from 2month-old WT animals treated with Gentamycin/Neomycin transplant	ASO 	4	5 months	30	2.62	21.155	5	33	181	9
CALTEC-001-207	FMT from 2month-old WT animals treated with Gentamycin/Neomycin transplant	ASO 	4	5 months	7.4	11.07	30	4	31.4	171	7
CALTEC-001-208	FMT from 2month-old WT animals treated with Gentamycin/Neomycin transplant	ASO 	4	5 months	30	2.06	30	10	33.5	178	1
CALTEC-001-209	FMT from 2month-old WT animals treated with  Ampicilin transplant	ASO 	5	5 months	8.34	1.34	11.32	1	33	176	7
CALTEC-001-210	FMT from 2month-old WT animals treated with  Ampicilin transplant	ASO 	5	5 months	5.67	6.8	10.54	4	32	186	11
CALTEC-001-211	FMT from 2month-old WT animals treated with  Ampicilin transplant	ASO 	5	5 months	10.22	2	9.45	2	34	199	12
CALTEC-001-212	FMT from 2month-old WT animals treated with  Ampicilin transplant	ASO 	5	5 months	7.88	3.45	19.23	3	38	178	11
CALTEC-001-213	FMT from 2month-old WT animals treated with  Ampicilin transplant	ASO 	6	5 months	19.34	1.76	8.98	1	37	180	9
CALTEC-001-214	FMT from 2month-old WT animals treated with  Ampicilin transplant	ASO 	6	5 months	11	0.67	7.35	5	33	196	6
CALTEC-001-215	FMT from 2month-old WT animals treated with  Ampicilin transplant	ASO 	6	5 months	16.45	2.55	10.22	1	34	198	12
CALTEC-001-216	FMT from 2month-old WT animals treated with  Ampicilin transplant	ASO 	6	5 months	12.32	1.23	11.43	0	36	201	11
CALTEC-001-217	FMT from 2month-old WT animals treated with  Erythromycin transplant	ASO 	6	5 months	6.67	0.42	9.43	1	37	181	7
CALTEC-001-218	FMT from 2month-old WT animals treated with  Erythromycin transplant	ASO 	7	5 months	18.97	5.89	11.23	1	38	171	11
CALTEC-001-219	FMT from 2month-old WT animals treated with  Erythromycin transplant	ASO 	7	5 months	18.43	1.59	15.34	0	34.5	186	7
CALTEC-001-220	FMT from 2month-old WT animals treated with  Erythromycin transplant	ASO 	7	5 months	10.34	1.56	10.23	6	33.5	200	10
