tube_id	genotype	microbiome	sex	ear_punch	date_of_birth	cage	cohort
SPF B6 F1	B6J	SPF	F	N	4/8/24	1	C2
SPF B6 F2	B6J	SPF	F	N	4/29/24	2	C3
SPF B6 F3	B6J	SPF	F	R	4/29/24	2	C3
SPF B6 F4	B6J	SPF	F	L	4/29/24	2	C3
SPF B6 F5	B6J	SPF	F	RL	4/29/24	2	C3
SPF B6 M1	B6J	SPF	M	N	4/8/24	3	C2
SPF B6 M2	B6J	SPF	M	R	4/8/24	3	C2
SPF B6 M3	B6J	SPF	M	L	4/8/24	3	C2
SPF B6 M4	B6J	SPF	M	N	4/29/24	4	C3
SPF B6 M5	B6J	SPF	M	R	4/29/24	4	C3
SPF B6 M6	B6J	SPF	M	L	4/29/24	4	C3
SPF P1 F1	Pink1 KO	SPF	F	N	4/5/24	5	C2
SPF P1 F2	Pink1 KO	SPF	F	R	4/5/24	5	C2
SPF P1 F3	Pink1 KO	SPF	F	L	4/5/24	5	C2
SPF P1 F4	Pink1 KO	SPF	F	N	5/3/24	6	C3
SPF P1 F5	Pink1 KO	SPF	F	R	5/3/24	6	C3
SPF P1 F6	Pink1 KO	SPF	F	L	5/3/24	6	C3
SPF P1 M1	Pink1 KO	SPF	M	N	4/5/24	7	C2
SPF P1 M2	Pink1 KO	SPF	M	R	4/5/24	7	C2
SPF P1 M3	Pink1 KO	SPF	M	L	4/5/24	7	C2
SPF P1 M4	Pink1 KO	SPF	M	N	4/29/24	8	C3
SPF P1 M5	Pink1 KO	SPF	M	R	4/29/24	8	C3
SPF P1 M6	Pink1 KO	SPF	M	L	4/29/24	8	C3
HC B6 F1	B6J	HCOM2	F	N	4/3/24	9	C2
HC B6 F2	B6J	HCOM2	F	R	4/3/24	9	C2
HC B6 F3	B6J	HCOM2	F	L	4/3/24	9	C2
HC B6 F4	B6J	HCOM2	F	RL	4/3/24	9	C2
HC B6 F5	B6J	HCOM2	F	N	4/30/24	10	C3
HC B6 M1	B6J	HCOM2	M	N	4/3/24	11	C2
HC B6 M2	B6J	HCOM2	M	R	4/3/24	11	C2
HC B6 M3	B6J	HCOM2	M	L	4/3/24	11	C2
HC B6 M4	B6J	HCOM2	M	N	4/30/24	12	C3
HC B6 M5	B6J	HCOM2	M	R	4/30/24	12	C3
HC B6 M6	B6J	HCOM2	M	L	4/30/24	12	C3
HC P1 F1	PINK1 KO	HCOM2	F	N	3/23/24	13	C2
HC P1 F2	PINK1 KO	HCOM2	F	R	3/23/24	13	C2
HC P1 F3	PINK1 KO	HCOM2	F	L	3/23/24	13	C2
HC P1 F4	PINK1 KO	HCOM2	F	N	5/8/24	14	C3
HC P1 F5	PINK1 KO	HCOM2	F	R	5/8/24	14	C3
HC P1 F6	PINK1 KO	HCOM2	F	L	5/8/24	14	C3
HC P1 M1	PINK1 KO	HCOM2	M	N	3/23/24	15	C2
HC P1 M2	PINK1 KO	HCOM2	M	R	3/23/24	15	C2
HC P1 M3	PINK1 KO	HCOM2	M	L	3/23/24	15	C2
HC P1 M4	PINK1 KO	HCOM2	M	N	5/8/24	16	C3
HC P1 M5	PINK1 KO	HCOM2	M	L	5/8/24	16	C3
HC P1 M6	PINK1 KO	HCOM2	M	RL	5/8/24	16	C3
