study_name	BioProject	sample_id	NCBI_accession
BedarfJR_2017	PRJEB17784	SAMEA103958148	ERR1912946
BedarfJR_2017	PRJEB17784	SAMEA103958148	ERR1912947
BedarfJR_2017	PRJEB17784	SAMEA103958148	ERR1912948
BedarfJR_2017	PRJEB17784	SAMEA103958163	ERR1912949
BedarfJR_2017	PRJEB17784	SAMEA103958163	ERR1912950
BedarfJR_2017	PRJEB17784	SAMEA103958163	ERR1912951
BedarfJR_2017	PRJEB17784	SAMEA103958163	ERR1912952
BedarfJR_2017	PRJEB17784	SAMEA103958125	ERR1912953
BedarfJR_2017	PRJEB17784	SAMEA103958125	ERR1912954
BedarfJR_2017	PRJEB17784	SAMEA103958125	ERR1912955
BedarfJR_2017	PRJEB17784	SAMEA103958125	ERR1912956
BedarfJR_2017	PRJEB17784	SAMEA103958159	ERR1912957
BedarfJR_2017	PRJEB17784	SAMEA103958114	ERR1912958
BedarfJR_2017	PRJEB17784	SAMEA103958114	ERR1912959
BedarfJR_2017	PRJEB17784	SAMEA103958114	ERR1912960
BedarfJR_2017	PRJEB17784	SAMEA103958137	ERR1912961
BedarfJR_2017	PRJEB17784	SAMEA103958137	ERR1912962
BedarfJR_2017	PRJEB17784	SAMEA103958137	ERR1912963
BedarfJR_2017	PRJEB17784	SAMEA103958130	ERR1912964
BedarfJR_2017	PRJEB17784	SAMEA103958130	ERR1912965
BedarfJR_2017	PRJEB17784	SAMEA103958130	ERR1912966
BedarfJR_2017	PRJEB17784	SAMEA103958121	ERR1912967
BedarfJR_2017	PRJEB17784	SAMEA103958121	ERR1912968
BedarfJR_2017	PRJEB17784	SAMEA103958121	ERR1912969
BedarfJR_2017	PRJEB17784	SAMEA103958121	ERR1912970
BedarfJR_2017	PRJEB17784	SAMEA103958161	ERR1912971
BedarfJR_2017	PRJEB17784	SAMEA103958134	ERR1912972
BedarfJR_2017	PRJEB17784	SAMEA103958134	ERR1912973
BedarfJR_2017	PRJEB17784	SAMEA103958134	ERR1912974
BedarfJR_2017	PRJEB17784	SAMEA103958134	ERR1912975
BedarfJR_2017	PRJEB17784	SAMEA103958116	ERR1912976
BedarfJR_2017	PRJEB17784	SAMEA103958116	ERR1912977
BedarfJR_2017	PRJEB17784	SAMEA103958116	ERR1912978
BedarfJR_2017	PRJEB17784	SAMEA103958150	ERR1912979
BedarfJR_2017	PRJEB17784	SAMEA103958150	ERR1912980
BedarfJR_2017	PRJEB17784	SAMEA103958150	ERR1912981
BedarfJR_2017	PRJEB17784	SAMEA103958150	ERR1912982
