SAMPLE ID	CAGE	GENOTYPE	AGE	Time to cross challenge beam  (s)	Adhesive removal (s)	Time to descend Pole (s)	Errors on bean crossing (n)	Weight (g)	Gastric Emptying time (s)	Bead Expulsion time (s)	Fecal Output (n)	file_paths	uuid
CALTEC-001-WT1_2mo	1	WT	2 months	4.81	7.45	11.34	0	25.5	37.5447	5	8	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT1_2mo/CALTEC-001-WT1_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT1_2mo/CALTEC-001-WT1_2mo_R2.fastq.gz;	33e1965a-100e-45f1-a29e-3f480c5af8e1
CALTEC-001-WT2_2mo	1	WT	2 months	8.11	5.19	6.7	3	32.5	61.07091	11	11	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT2_2mo/CALTEC-001-WT2_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT2_2mo/CALTEC-001-WT2_2mo_R2.fastq.gz;	769f6548-3e2e-4cd6-9445-0fca5ee50479
CALTEC-001-WT3_2mo	1	WT	2 months	23.74	1.54	10.46	1	25	58.12791	2	4	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT3_2mo/CALTEC-001-WT3_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT3_2mo/CALTEC-001-WT3_2mo_R2.fastq.gz;	e54f24cc-249a-4882-9202-f640af2c1e8e
CALTEC-001-WT4_2mo	1	WT	2 months	7.04	3.12	10.46	1	26.5	56.73754	15	15	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT4_2mo/CALTEC-001-WT4_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT4_2mo/CALTEC-001-WT4_2mo_R2.fastq.gz;	c152dda1-5d4b-4a66-af63-43d0ad04f8d8
CALTEC-001-WT5_2mo	1	WT	2 months	8.97	3.46	11.42	0	29.5	75.768	10	5	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT5_2mo/CALTEC-001-WT5_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT5_2mo/CALTEC-001-WT5_2mo_R2.fastq.gz;	713b64b4-e75c-4c67-87df-56b8785f5db2
CALTEC-001-WT6_2mo	2	WT	2 months	11.84	7.96	5.37	0	26.5	76.4	12	5	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT6_2mo/CALTEC-001-WT6_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT6_2mo/CALTEC-001-WT6_2mo_R2.fastq.gz;	ab04a4ee-8165-49fa-bd07-9e1fff4241c6
CALTEC-001-WT7_2mo	2	WT	2 months	5.6	4.5	6.3	0	27	56.7	1	0	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT7_2mo/CALTEC-001-WT7_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT7_2mo/CALTEC-001-WT7_2mo_R2.fastq.gz;	2a6d1bae-3329-4c0f-852e-5d0fa232989c
CALTEC-001-WT8_2mo	2	WT	2 months	4.5	3.5	5.6	1	28.5	67.8	5	9	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT8_2mo/CALTEC-001-WT8_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT8_2mo/CALTEC-001-WT8_2mo_R2.fastq.gz;	23f1dd24-2bfa-449a-a624-ac6dedd9edca
CALTEC-001-WT9_2mo	2	WT	2 months	5.6	3.54	3.45	2	25.5	65.67854	3	8	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT9_2mo/CALTEC-001-WT9_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT9_2mo/CALTEC-001-WT9_2mo_R2.fastq.gz;	42567d6b-981d-41c5-b82d-8e8dcc44baba
CALTEC-001-WT10_2mo	2	WT	2 months	4.6	4.6	4.78	1	29	63.56784	5	11	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT10_2mo/CALTEC-001-WT10_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT10_2mo/CALTEC-001-WT10_2mo_R2.fastq.gz;	bc22379e-4c05-4700-9a40-fa6fed718ea6
