SAMPLE ID	GENOTYPE	Cage	Age	FMT donor	Time to cross challenge beam  (s)	Adhesive removal (s)	Time to descend Pole (s)	Errors on bean crossing (n)	Weight (g)	Gastric Emptying time (s)	Bead Expulsion time (s)	Fecal Output (n)	file_paths	uuid
CALTEC-001-ASO1_5mo_aFMT	ASO	1	5 months	ASO 5 months	60	15.8	13.31	7.06	33	22.85044	10	3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO1_5mo_aFMT/CALTEC-001-ASO1_5mo_aFMT_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO1_5mo_aFMT/CALTEC-001-ASO1_5mo_aFMT_R2.fastq.gz;	8ec930da-22e6-41bd-99d5-4bc1d8e980c4
CALTEC-001-ASO2_5mo_aFMT	ASO	1	5 months	ASO 5 months	13.84	37.7	30	6.07	27	31.48981	10	7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO2_5mo_aFMT/CALTEC-001-ASO2_5mo_aFMT_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO2_5mo_aFMT/CALTEC-001-ASO2_5mo_aFMT_R2.fastq.gz;	046cc27e-0ea6-4f02-bd3e-60f07a314b5b
CALTEC-001-ASO3_5mo_aFMT	ASO	1	5 months	ASO 5 months	60	13.75	19.84	0	33	30.37313	9	5	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO3_5mo_aFMT/CALTEC-001-ASO3_5mo_aFMT_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO3_5mo_aFMT/CALTEC-001-ASO3_5mo_aFMT_R2.fastq.gz;	f45b2c5a-6fed-4d52-84cb-6cf52b444bc5
CALTEC-001-ASO4_5mo_aFMT	ASO	1	5 months	ASO 5 months	16.51	6.47	13.84	3	36	37.66328	6	6	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO4_5mo_aFMT/CALTEC-001-ASO4_5mo_aFMT_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO4_5mo_aFMT/CALTEC-001-ASO4_5mo_aFMT_R2.fastq.gz;	7c4400b3-aa88-4bd4-b2ba-bc3975701253
CALTEC-001-ASO5_5mo_aFMT	ASO	1	5 months	ASO 5 months	17.26	30.51	30	9	30	46.48045	6	0	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO5_5mo_aFMT/CALTEC-001-ASO5_5mo_aFMT_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO5_5mo_aFMT/CALTEC-001-ASO5_5mo_aFMT_R2.fastq.gz;	c499f32f-f520-4cf9-8ca8-f5c1312af77b
CALTEC-001-ASO6_5mo_aFMT	ASO	2	5 months	ASO 5 months	49.42	18.08	16.51	7	32	32.03964	12	5	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO6_5mo_aFMT/CALTEC-001-ASO6_5mo_aFMT_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO6_5mo_aFMT/CALTEC-001-ASO6_5mo_aFMT_R2.fastq.gz;	d6e9dbb7-236c-4887-8585-a8630de791bd
CALTEC-001-ASO7_5mo_aFMT	ASO	2	5 months	ASO 5 months	27.56	60	17.26	3	32	35.40792	21	2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO7_5mo_aFMT/CALTEC-001-ASO7_5mo_aFMT_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO7_5mo_aFMT/CALTEC-001-ASO7_5mo_aFMT_R2.fastq.gz;	e37f6ae6-fe48-4eca-8159-fae2a883e83c
CALTEC-001-ASO8_5mo_aFMT	ASO	2	5 months	ASO 5 months	14.08	1.06	8.12	6	28.6	37.81147	4	2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO8_5mo_aFMT/CALTEC-001-ASO8_5mo_aFMT_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO8_5mo_aFMT/CALTEC-001-ASO8_5mo_aFMT_R2.fastq.gz;	e49b2aea-e2c0-4b67-8032-2315a45e369f
CALTEC-001-ASO9_5mo_aFMT	ASO	2	5 months	ASO 5 months	13.58	20.13	13	10	32.9	38.52596	6	6	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO9_5mo_aFMT/CALTEC-001-ASO9_5mo_aFMT_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO9_5mo_aFMT/CALTEC-001-ASO9_5mo_aFMT_R2.fastq.gz;	2d602b36-aca6-4758-9d58-0bb8ee52cd54
CALTEC-001-ASO10_5mo_aFMT	ASO	2	5 months	ASO 5 months	48.52	26.23	28	5	29.1	53.10306	4	3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO10_5mo_aFMT/CALTEC-001-ASO10_5mo_aFMT_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO10_5mo_aFMT/CALTEC-001-ASO10_5mo_aFMT_R2.fastq.gz;	342924b3-727c-4395-ae81-b7817ec2e94d
