sample_id	subject_id	control	country	body_site	body_site_details	age	age_group	age_unit	ancestry	ancestry_details	antibiotics_current_use	biomarker	bmi	days_from_first_collection	dietary_restriction	disease	disease_details	disease_response_orr	disease_response_pfs	disease_response_pfs_month	disease_response_recist	dna_extraction_kit	family	family_role	feces_phenotype	fmt_id	fmt_role	hla	lifestyle	location	median_read_length	minimum_read_length	ncbi_accession	neonatal_birth_weight	neonatal_delivery_procedure	neonatal_feeding_method	neonatal_gestational_age	neonatal_preterm_birth	number_bases	number_reads	obgyn_birth_control	obgyn_lactating	obgyn_menopause	obgyn_pregnancy	pmid	probing_pocket_depth	sequencing_platform	sex	smoker	subcohort	treatment	tumor_staging_ajcc	tumor_staging_tnm	westernized	zigosity	uncurated_metadata	housing_cage	cohort	file_paths	uuid
1W-F	2272	NA	NA	NA	NA	18	NA	weeks	NA	NA	NA	NA	NA	NA	NA	WT	NA	NA	NA	NA	NA	Qiagen PowerFecal Pro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	Fp7-1	Vehicle	NA	NA	NA	NA	NA	1	Fp7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-1W-F/CALTEC-001-1W-F_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-1W-F/CALTEC-001-1W-F_R2.fastq.gz;	5c7657ee-666d-4545-a5f4-e3b97972700c
2W-F	2273	NA	NA	NA	NA	18	NA	weeks	NA	NA	NA	NA	NA	NA	NA	WT	NA	NA	NA	NA	NA	Qiagen PowerFecal Pro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	Fp7-1	Vehicle	NA	NA	NA	NA	NA	1	Fp7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-2W-F/CALTEC-001-2W-F_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-2W-F/CALTEC-001-2W-F_R2.fastq.gz;	ef1f9867-c5fc-4ba0-838d-848b58467b10
3W-F	2302	NA	NA	NA	NA	18	NA	weeks	NA	NA	NA	NA	NA	NA	NA	WT	NA	NA	NA	NA	NA	Qiagen PowerFecal Pro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	Fp7-1	Vehicle	NA	NA	NA	NA	NA	2	Fp7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-3W-F/CALTEC-001-3W-F_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-3W-F/CALTEC-001-3W-F_R2.fastq.gz;	d479236c-8606-41ad-b8e4-006d816e0494
4W-F	2304	NA	NA	NA	NA	18	NA	weeks	NA	NA	NA	NA	NA	NA	NA	WT	NA	NA	NA	NA	NA	Qiagen PowerFecal Pro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	Fp7-1	Vehicle	NA	NA	NA	NA	NA	3	Fp7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-4W-F/CALTEC-001-4W-F_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-4W-F/CALTEC-001-4W-F_R2.fastq.gz;	612c986d-545e-45af-8807-2df49f08a01a
5W-F	2306	NA	NA	NA	NA	18	NA	weeks	NA	NA	NA	NA	NA	NA	NA	WT	NA	NA	NA	NA	NA	Qiagen PowerFecal Pro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	Fp7-1	Vehicle	NA	NA	NA	NA	NA	3	Fp7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-5W-F/CALTEC-001-5W-F_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-5W-F/CALTEC-001-5W-F_R2.fastq.gz;	0d28bae3-3b00-457b-a62c-3d9edb9fae8a
6W-F	2303	NA	NA	NA	NA	18	NA	weeks	NA	NA	NA	NA	NA	NA	NA	WT	NA	NA	NA	NA	NA	Qiagen PowerFecal Pro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	Fp7-1	Vehicle	NA	NA	NA	NA	NA	2	Fp7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-6W-F/CALTEC-001-6W-F_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-6W-F/CALTEC-001-6W-F_R2.fastq.gz;	adbacf26-5d01-459f-86e0-1967c4c3c9eb
7W-F	2311	NA	NA	NA	NA	18	NA	weeks	NA	NA	NA	NA	NA	NA	NA	WT	NA	NA	NA	NA	NA	Qiagen PowerFecal Pro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	Fp7-2	Vehicle	NA	NA	NA	NA	NA	14	Fp7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-7W-F/CALTEC-001-7W-F_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-7W-F/CALTEC-001-7W-F_R2.fastq.gz;	d25be762-5047-437f-a749-1049b8be57a3
8W-F	2314	NA	NA	NA	NA	18	NA	weeks	NA	NA	NA	NA	NA	NA	NA	WT	NA	NA	NA	NA	NA	Qiagen PowerFecal Pro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	Fp7-2	Vehicle	NA	NA	NA	NA	NA	14	Fp7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-8W-F/CALTEC-001-8W-F_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-8W-F/CALTEC-001-8W-F_R2.fastq.gz;	4f381a59-5b94-4500-a3e0-66a29d472108
1C-F	2267	NA	NA	NA	NA	18	NA	weeks	NA	NA	NA	NA	NA	NA	NA	ASO	NA	NA	NA	NA	NA	Qiagen PowerFecal Pro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	Fp7-1	Vehicle	NA	NA	NA	NA	NA	4	Fp7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-1C-F/CALTEC-001-1C-F_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-1C-F/CALTEC-001-1C-F_R2.fastq.gz;	76bc6a3b-9d77-4a38-a663-d1472b59c043
2C-F	2268	NA	NA	NA	NA	18	NA	weeks	NA	NA	NA	NA	NA	NA	NA	ASO	NA	NA	NA	NA	NA	Qiagen PowerFecal Pro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	Fp7-1	Vehicle	NA	NA	NA	NA	NA	4	Fp7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-2C-F/CALTEC-001-2C-F_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-2C-F/CALTEC-001-2C-F_R2.fastq.gz;	dfc17ebb-83f0-4a37-a961-974e60e5f57e
