study_name	BioProject	sample_id	NCBI_accession	uuid
BoktorJC.2_2023	PRJEB53401	SAMEA110061092	ERR9830061	2798fd4c-ad0d-4b59-8398-9976a0317558
BoktorJC.2_2023	PRJEB53401	SAMEA110061093	ERR9830062	2fedb4c7-afc8-4c7d-bdb1-1834646e133f
BoktorJC.2_2023	PRJEB53401	SAMEA110061094	ERR9830063	6d32c6fc-7ff9-4497-90b5-924537276937
BoktorJC.2_2023	PRJEB53401	SAMEA110061095	ERR9830064	4f964ae9-cddb-423e-8b72-4db9dae4eb9b
BoktorJC.2_2023	PRJEB53401	SAMEA110061096	ERR9830065	c58c8c01-70e0-434c-acc2-206ed3f6b19b
BoktorJC.2_2023	PRJEB53401	SAMEA110061097	ERR9830066	085920ad-bf2c-4616-a8da-484a8872f8bd
BoktorJC.2_2023	PRJEB53401	SAMEA110061098	ERR9830067	ef2fc3a5-4ae0-4a00-8f20-8d3aea6e2629
BoktorJC.2_2023	PRJEB53401	SAMEA110061099	ERR9830068	5cbddcf5-3892-4a17-967a-653296e90b63
BoktorJC.2_2023	PRJEB53401	SAMEA110061100	ERR9830069	014c8a55-6182-4f46-9a54-9c2b2cad6448
BoktorJC.2_2023	PRJEB53401	SAMEA110061101	ERR9830070	321136b3-afb4-41ac-996b-792a5eb4d400
BoktorJC.2_2023	PRJEB53401	SAMEA110061102	ERR9830071	8df146a7-48bd-48cf-95b6-e7af2f49c0ba
BoktorJC.2_2023	PRJEB53401	SAMEA110061103	ERR9830072	fadf3600-0173-4f46-91cd-018a74d88f0e
BoktorJC.2_2023	PRJEB53401	SAMEA110061104	ERR9830073	b31df1d9-6490-4600-baaa-d2cc2468b1f6
BoktorJC.2_2023	PRJEB53401	SAMEA110061105	ERR9830074	d041ebd0-e8f2-4331-abd0-6f8ecdce703c
BoktorJC.2_2023	PRJEB53401	SAMEA110061106	ERR9830075	55faee1e-26ba-49fe-81a4-aa2ae9042c2f
BoktorJC.2_2023	PRJEB53401	SAMEA110061107	ERR9830076	5da2dd0e-c104-473e-ab2d-a3734601feb2
BoktorJC.2_2023	PRJEB53401	SAMEA110061108	ERR9830077	516f2d6e-9486-43ee-aa25-1f2d069bc612
BoktorJC.2_2023	PRJEB53401	SAMEA110061109	ERR9830078	51d209e8-f274-4081-9176-409113d63cf2
BoktorJC.2_2023	PRJEB53401	SAMEA110061110	ERR9830079	5abbbd1d-4499-446b-863c-60259b56977e
BoktorJC.2_2023	PRJEB53401	SAMEA110061111	ERR9830080	a63c3190-2a8b-4f44-9ee1-980570a10192
BoktorJC.2_2023	PRJEB53401	SAMEA110061112	ERR9830081	a1bbe024-6220-47b7-b26b-4960a8d393d9
BoktorJC.2_2023	PRJEB53401	SAMEA110061113	ERR9830082	ca98d64a-be49-4227-a44b-183e9a40803c
BoktorJC.2_2023	PRJEB53401	SAMEA110061114	ERR9830083	38783c91-d850-4fc6-b2c7-9bd0d71395b5
BoktorJC.2_2023	PRJEB53401	SAMEA110061115	ERR9830084	c49fdfab-b905-43b0-a16d-5db0ddd228a5
BoktorJC.2_2023	PRJEB53401	SAMEA110061116	ERR9830085	c5b78088-b151-482d-b433-64319b958394
BoktorJC.2_2023	PRJEB53401	SAMEA110061117	ERR9830086	4c4d45f4-36f8-4577-824b-92f8bf584c3f
BoktorJC.2_2023	PRJEB53401	SAMEA110061118	ERR9830087	9da83a9d-b8cf-40aa-ad76-5d56748ff6a0
BoktorJC.2_2023	PRJEB53401	SAMEA110061119	ERR9830088	fd0645d1-4b9f-45b9-8499-04a6d86deeef
BoktorJC.2_2023	PRJEB53401	SAMEA110061120	ERR9830089	fa17180d-1b60-4d3f-8016-ba8c2ee95270
BoktorJC.2_2023	PRJEB53401	SAMEA110061121	ERR9830090	3aacc781-b63f-4d4c-a968-c04efc2bbed4
BoktorJC.2_2023	PRJEB53401	SAMEA110061122	ERR9830091	87313029-6efb-466d-b4da-e4a0f15fbb2c
BoktorJC.2_2023	PRJEB53401	SAMEA110061123	ERR9830092	a6988e26-5f33-4083-ad7f-de27796b5865
BoktorJC.2_2023	PRJEB53401	SAMEA110061124	ERR9830093	34ff5644-67bf-4b05-96d4-a8f2d4b45a37
BoktorJC.2_2023	PRJEB53401	SAMEA110061125	ERR9830094	8db56b4a-fb99-42bb-8b8c-5305f6521402
BoktorJC.2_2023	PRJEB53401	SAMEA110061126	ERR9830095	f98075a0-483b-4dac-96c5-54390b51a210
BoktorJC.2_2023	PRJEB53401	SAMEA110061127	ERR9830096	4c3d0828-18ae-466b-b405-c310ce40220a
BoktorJC.2_2023	PRJEB53401	SAMEA110061128	ERR9830097	bab64031-cf2b-4e75-b34c-523f2cb95515
BoktorJC.2_2023	PRJEB53401	SAMEA110061129	ERR9830098	820e08ba-de48-40e9-b2c9-e72614c1ae9f
BoktorJC.2_2023	PRJEB53401	SAMEA110061130	ERR9830099	1152be10-bbbd-431b-b023-94a054d50093
BoktorJC.2_2023	PRJEB53401	SAMEA110061131	ERR9830100	672ffdeb-f754-46ff-9798-e752708e3932
BoktorJC.2_2023	PRJEB53401	SAMEA110061132	ERR9830101	d89b172d-733e-4a0d-8ff9-699ea2f80cea
BoktorJC.2_2023	PRJEB53401	SAMEA110061133	ERR9830102	9083bd99-d3b9-4aab-9ab4-e35f04c40745
BoktorJC.2_2023	PRJEB53401	SAMEA110061134	ERR9830103	315093ab-f615-47b9-ad9c-671e4ae2caab
BoktorJC.2_2023	PRJEB53401	SAMEA110061135	ERR9830104	5ece9aa4-99b2-409c-80b2-55ecd9b864b3
BoktorJC.2_2023	PRJEB53401	SAMEA110061136	ERR9830105	f372bfb4-00b1-428c-b536-91e37d54bb7c
BoktorJC.2_2023	PRJEB53401	SAMEA110061137	ERR9830106	dbf9de29-59a9-4b15-83ed-58b6b90fd111
BoktorJC.2_2023	PRJEB53401	SAMEA110061138	ERR9830107	fac85735-ecc1-425d-8ec8-6faab22185d7
BoktorJC.2_2023	PRJEB53401	SAMEA110061139	ERR9830108	3a8d1cd3-bbe5-429c-a953-6fef4674ccd6
BoktorJC.2_2023	PRJEB53401	SAMEA110061140	ERR9830109	ae1152da-e4ab-4ee6-8bdf-0055a4ec7a37
BoktorJC.2_2023	PRJEB53401	SAMEA110061141	ERR9830110	5295d23c-4d10-4971-9217-b22c597e6858
