study_name	BioProject	sample_id	NCBI_accession	uuid
DuruIC_2024	PRJEB59350	SAMEA112439700	ERR10818363	831816df-09b1-40b0-bfce-a0bb12b7f854
DuruIC_2024	PRJEB59350	SAMEA112439701	ERR10818366	f29cfc62-3347-4a13-83da-66dd010a8df5
DuruIC_2024	PRJEB59350	SAMEA112439702	ERR10818373	844fc80f-60db-45e2-a820-b05cfe973f84
DuruIC_2024	PRJEB59350	SAMEA112439703	ERR10818476	e4d41852-35df-467f-9d32-3cd182a8394a
DuruIC_2024	PRJEB59350	SAMEA112439704	ERR10818516	447d2cf4-21e5-4517-86d4-7d37fcf4ad42
DuruIC_2024	PRJEB59350	SAMEA112439705	ERR10818549	c6edb77f-ccb7-43c6-9c64-c6211bdce27b
DuruIC_2024	PRJEB59350	SAMEA112439706	ERR10818576	842cca15-2f5f-471a-97ad-155f9f540d1a
DuruIC_2024	PRJEB59350	SAMEA112439707	ERR10818579	a97e8384-64f1-4513-aca5-25251c7c7fae
DuruIC_2024	PRJEB59350	SAMEA112439708	ERR10818583	63a2b48f-b9b6-4818-a367-adf2d5548c09
DuruIC_2024	PRJEB59350	SAMEA112439709	ERR10818659	62818719-3263-45da-b550-42d6faabca80
DuruIC_2024	PRJEB59350	SAMEA112439710	ERR10818682	7db0bdcd-faa8-48ba-a16b-b667a3da4b22
DuruIC_2024	PRJEB59350	SAMEA112439711	ERR10818713	dc0e96db-b1a4-4661-a84b-a6daff7b8304
DuruIC_2024	PRJEB59350	SAMEA112439712	ERR10818779	c460760c-0ccf-4590-b076-870f425aa253
DuruIC_2024	PRJEB59350	SAMEA112439713	ERR10818795	48263d69-2dea-402b-9071-a29cbd081777
DuruIC_2024	PRJEB59350	SAMEA112439714	ERR10818818	4c3873b2-afb5-462c-b2f3-7a48e2e91352
DuruIC_2024	PRJEB59350	SAMEA112439715	ERR10818858	bc0eb27a-906b-42e7-a6d9-92bf7f96b194
DuruIC_2024	PRJEB59350	SAMEA112439716	ERR10818884	f6ac1458-491b-4517-abe9-c00b0eb5d549
DuruIC_2024	PRJEB59350	SAMEA112439717	ERR10818967	48f3a788-239a-49a4-ba56-fcb661ce66d2
DuruIC_2024	PRJEB59350	SAMEA112439718	ERR10819021	91d3ce67-a9cb-45fd-95e3-4ba21299e1e3
DuruIC_2024	PRJEB59350	SAMEA112439720	ERR10819069	d6572b1c-cf4b-4dd2-ba79-3d9c06f96fce
DuruIC_2024	PRJEB59350	SAMEA112439721	ERR10819075	1e17905f-7acc-4f64-bee4-78e9d254ebcf
DuruIC_2024	PRJEB59350	SAMEA112439722	ERR10819087	4f7997e3-4538-477e-b7c0-37c8c82936b3
DuruIC_2024	PRJEB59350	SAMEA112439723	ERR10819109	cb21077f-c291-438e-97f9-fe1be66ae04a
DuruIC_2024	PRJEB59350	SAMEA112439724	ERR10819113	a3e8587c-f1ce-4c8b-b201-18cd38adfd8c
DuruIC_2024	PRJEB59350	SAMEA112439725	ERR10819455	57e303e3-243c-42ef-8bbb-30cf61fb589b
DuruIC_2024	PRJEB59350	SAMEA112439726	ERR10820466	a0f2a5d3-818d-487a-898b-b2d80284366d
DuruIC_2024	PRJEB59350	SAMEA112439727	ERR10820583	e24063dc-40ea-4928-84fe-49320591c4ca
DuruIC_2024	PRJEB59350	SAMEA112439728	ERR10820585	957a9e0f-89ed-467c-b27d-ddd0cbb37c57
DuruIC_2024	PRJEB59350	SAMEA112439729	ERR10820590	2650aafd-3ecd-4151-8c98-c6ddf737fbf8
DuruIC_2024	PRJEB59350	SAMEA112439730	ERR10820685	774de84b-2d5f-4841-af9b-36dd02618e5a
DuruIC_2024	PRJEB59350	SAMEA112439731	ERR10820698	f17bd822-b32a-4541-9b03-9e167a4dc9a5
DuruIC_2024	PRJEB59350	SAMEA112439732	ERR10820700	6903195e-7b94-47e2-addb-4b3289820590
DuruIC_2024	PRJEB59350	SAMEA112439733	ERR10820976	0f00a561-90d2-4c9c-bc60-d4a2e4cc4433
DuruIC_2024	PRJEB59350	SAMEA112439734	ERR10820977	4f4c1f11-f835-4c8a-b3e2-b85d45049547
DuruIC_2024	PRJEB59350	SAMEA112439735	ERR10820978	c6258927-6338-4620-83fb-99a53653ad0d
DuruIC_2024	PRJEB59350	SAMEA112439736	ERR10820979	f8dfbf06-3642-4212-9566-15844f757eca
DuruIC_2024	PRJEB59350	SAMEA112439738	ERR10820999	d1e5fb94-3625-4c39-9c54-90a991398dff
DuruIC_2024	PRJEB59350	SAMEA112439739	ERR10821059	412a8734-1aed-4ee6-a165-250b55ff21dc
DuruIC_2024	PRJEB59350	SAMEA112439740	ERR10821065	6bb9b28c-bc99-4214-8247-ff0d9d29089d
DuruIC_2024	PRJEB59350	SAMEA112439741	ERR10821073	be944aa0-fc38-4f60-884f-39fa0070f0bd
DuruIC_2024	PRJEB59350	SAMEA112439742	ERR10821089	bb118a5c-fb50-41df-bf66-dc8d1526a917
DuruIC_2024	PRJEB59350	SAMEA112439743	ERR10821101	e29aaa86-38ad-46be-bfa4-2f4b024c2701
DuruIC_2024	PRJEB59350	SAMEA112439744	ERR10821134	77127512-78db-40b4-bd94-5f16547585af
DuruIC_2024	PRJEB59350	SAMEA112439745	ERR10821177	a405b0da-5707-4b56-b5c6-f42ba8b7d354
DuruIC_2024	PRJEB59350	SAMEA112439746	ERR10821210	82cf2cf0-5f57-4d67-8285-e2ffea871ebf
DuruIC_2024	PRJEB59350	SAMEA112439747	ERR10821232	6659d5a9-f27a-4ca8-b1ad-8d041e5dd817
DuruIC_2024	PRJEB59350	SAMEA112439748	ERR10821246	c2b6f869-0192-4bc4-a0cb-25826820a829
DuruIC_2024	PRJEB59350	SAMEA112439749	ERR10821261	dd575ca7-af50-4e8c-9587-f90eaa13cbd4
DuruIC_2024	PRJEB59350	SAMEA112439750	ERR10821635	be906543-b35f-48fe-b065-dce8882a003b
DuruIC_2024	PRJEB59350	SAMEA112439751	ERR10821926	b2f19a1b-5540-4f8c-b593-6abd36700c96
DuruIC_2024	PRJEB59350	SAMEA112439752	ERR10821932	76dc3956-86f3-4235-8708-4af36f253d7c
DuruIC_2024	PRJEB59350	SAMEA112439753	ERR10821938	eb02b727-58d6-470d-9332-ef3a25f02fe5
DuruIC_2024	PRJEB59350	SAMEA112439754	ERR10822020	339258d9-3067-4deb-ab49-dd80fcb29d9c
DuruIC_2024	PRJEB59350	SAMEA112439755	ERR10822056	8ec63439-80c9-46af-8cfc-4cdf8529af14
DuruIC_2024	PRJEB59350	SAMEA112439756	ERR10822063	76ad54d9-882f-445e-b6d6-200de8df9b95
DuruIC_2024	PRJEB59350	SAMEA112439757	ERR10822770	e842fa72-d476-4d14-aacd-968020704916
DuruIC_2024	PRJEB59350	SAMEA112439758	ERR10822786	3541763e-2c33-44fa-ad49-6d7a21036733
DuruIC_2024	PRJEB59350	SAMEA112439759	ERR10822818	8c506dcf-0d95-4d59-8fd4-0dee36d6a886
DuruIC_2024	PRJEB59350	SAMEA112439760	ERR10822937	54e535db-f2ef-45c2-9faf-6d15586f2445
DuruIC_2024	PRJEB59350	SAMEA112439761	ERR10822963	00a97d1e-6658-4b71-bb01-d9c5246e268c
DuruIC_2024	PRJEB59350	SAMEA112439762	ERR10822983	fbb23ea9-1ddd-43b2-a457-baf1c316981a
DuruIC_2024	PRJEB59350	SAMEA112439763	ERR10822992	94c634d1-1486-43bf-9a2a-cb5d36c46e42
DuruIC_2024	PRJEB59350	SAMEA112439764	ERR10823028	249ccda3-b030-4ba6-8dd4-4607eb19c5ab
DuruIC_2024	PRJEB59350	SAMEA112439765	ERR10823035	7c98197d-625d-4be5-b3fd-957a173932cc
DuruIC_2024	PRJEB59350	SAMEA112439766	ERR10823039	8ec1d862-c5c6-4851-8614-66f9e3cec97f
DuruIC_2024	PRJEB59350	SAMEA112439767	ERR10823058	cb7adac1-704b-4955-9e2a-0d90ec43618e
DuruIC_2024	PRJEB59350	SAMEA112439768	ERR10823067	ca8a0fd7-6de9-4ddb-ad1f-fe8f4a451e15
DuruIC_2024	PRJEB59350	SAMEA112439769	ERR10823074	46019b23-219b-4258-a50d-4852d17d4e67
DuruIC_2024	PRJEB59350	SAMEA112439770	ERR10823092	cf8aaacd-b2b7-47fb-9c25-6b25efe7af03
DuruIC_2024	PRJEB59350	SAMEA112439771	ERR10823101	15e93d24-a79f-4584-99e7-2104ff80e8d2
DuruIC_2024	PRJEB59350	SAMEA112439772	ERR10823138	fd5fb7c7-7847-41bd-bd9a-404f20ca1c35
DuruIC_2024	PRJEB59350	SAMEA112439773	ERR10824026	162dea9c-6fec-4fe2-baa7-db7814ebaac2
DuruIC_2024	PRJEB59350	SAMEA112439774	ERR10824096	3a17c66f-d7f4-4180-9f89-9538fc9bf741
DuruIC_2024	PRJEB59350	SAMEA112439775	ERR10824132	47dba2b5-98e1-42db-bc84-7367807df7aa
DuruIC_2024	PRJEB59350	SAMEA112439776	ERR10824161	c046519d-1179-4975-b144-5a93983288ec
DuruIC_2024	PRJEB59350	SAMEA112439777	ERR10824179	c7ea529a-30a1-40f6-aeea-ee80bf004746
DuruIC_2024	PRJEB59350	SAMEA112439778	ERR10824210	b5919dae-9640-4939-9d86-6dfd1becb51d
