study_name	BioProject	sample_id	NCBI_accession	uuid
JoS_2022	PRJNA743718	SAMN20058723	SRR15041053	489a8b4f-d499-4e5a-af94-6c8cc2e1a39e
JoS_2022	PRJNA743718	SAMN20058724	SRR15041052	2e3b212e-af0a-4ba4-9ce4-905b2223903f
JoS_2022	PRJNA743718	SAMN20058725	SRR15040985	d30f5342-2dca-4513-892d-dcf0ce9dd0f2
JoS_2022	PRJNA743718	SAMN20058726	SRR15040974	ce349942-becf-4221-9295-9516ffbe5286
JoS_2022	PRJNA743718	SAMN20058727	SRR15040963	f17db65d-c220-4479-bb69-774b6ea3c666
JoS_2022	PRJNA743718	SAMN20058728	SRR15040952	a01e0dc2-14a4-4a22-b05e-ae1e057f26e4
JoS_2022	PRJNA743718	SAMN20058729	SRR15040941	0abc0069-af54-4228-9c2d-975b54eede8b
JoS_2022	PRJNA743718	SAMN20058730	SRR15040930	113b2c65-f4bd-49fc-8c8b-c528799ffec9
JoS_2022	PRJNA743718	SAMN20058731	SRR15040919	57f5eddd-3748-4b9c-8e69-02a9c8b4e9ae
JoS_2022	PRJNA743718	SAMN20058732	SRR15040908	bb67c841-4613-4e38-aab8-5a6066734d33
JoS_2022	PRJNA743718	SAMN20058733	SRR15041051	48d1a6e8-ce70-4408-a63d-b03a0e4d1c6f
JoS_2022	PRJNA743718	SAMN20058734	SRR15041040	d9b68f52-c6fd-46cc-b818-756723cedf8b
JoS_2022	PRJNA743718	SAMN20058735	SRR15041029	989192c7-eae7-4e56-878b-5f4b397cdcbd
JoS_2022	PRJNA743718	SAMN20058736	SRR15041018	d504aae5-284c-43f9-ab66-798eccfebf8b
JoS_2022	PRJNA743718	SAMN20058737	SRR15041007	d4a79b2e-d742-4c88-8da8-b9fabbda04b9
JoS_2022	PRJNA743718	SAMN20058738	SRR15040996	adb6b910-9079-4efa-9c54-e2c8a361ef63
JoS_2022	PRJNA743718	SAMN20058739	SRR15040989	3d3c2295-c9e5-4bdc-8b22-2d083b54c3a0
JoS_2022	PRJNA743718	SAMN20058740	SRR15040988	35b35ebe-603d-4cf1-a7d3-0b7de3cdf3b9
JoS_2022	PRJNA743718	SAMN20058741	SRR15040987	2b5cd3e5-9f85-464f-94f4-1acb95e1d501
JoS_2022	PRJNA743718	SAMN20058742	SRR15040986	d953996e-12ed-4e84-9048-399fee029615
JoS_2022	PRJNA743718	SAMN20058743	SRR15040984	a45e28da-7d23-4a94-87c2-5c061ef47791
JoS_2022	PRJNA743718	SAMN20058744	SRR15040983	9ed6aeb0-0303-4e05-9293-093e1628fa84
JoS_2022	PRJNA743718	SAMN20058745	SRR15040982	c1fb6490-1138-4f9e-9b5a-dcd135df59f5
JoS_2022	PRJNA743718	SAMN20058746	SRR15040981	27d2ad85-b285-41b3-b9ca-1537a932bd58
JoS_2022	PRJNA743718	SAMN20058747	SRR15040980	da2321d2-e104-4163-ae70-85c42681e63a
JoS_2022	PRJNA743718	SAMN20058748	SRR15040979	dd756cfb-0c13-42c8-91df-9714a393413f
JoS_2022	PRJNA743718	SAMN20058749	SRR15040978	5c2857c7-f6b1-4bd5-a055-8c883820321f
JoS_2022	PRJNA743718	SAMN20058750	SRR15040977	e6f6958a-9d94-480b-9515-eb5ffd12f6ea
JoS_2022	PRJNA743718	SAMN20058751	SRR15040976	e68a6144-988a-4ec9-af3d-2746b350cd13
JoS_2022	PRJNA743718	SAMN20058752	SRR15040975	0d44d876-3c9d-4a2e-9ff7-fe74e67bbafc
JoS_2022	PRJNA743718	SAMN20058753	SRR15040973	d1a35de4-2362-4293-bb99-aa9615815609
JoS_2022	PRJNA743718	SAMN20058754	SRR15040972	dcbc259d-6fb5-440b-bcc5-e889e9576e43
JoS_2022	PRJNA743718	SAMN20058755	SRR15040971	35391167-20a5-4990-8581-c63f41f5805f
JoS_2022	PRJNA743718	SAMN20058756	SRR15040970	052610d1-8c5b-42f7-808d-9d7b25df1576
JoS_2022	PRJNA743718	SAMN20058757	SRR15040969	c9bc2b1c-876e-4c6c-94bf-0606e7df9ba7
JoS_2022	PRJNA743718	SAMN20058758	SRR15040968	32e9eaad-55c5-4a17-b61b-57c2807b718f
JoS_2022	PRJNA743718	SAMN20058759	SRR15040967	c92a23e9-2605-405d-8eb2-f97c72219838
JoS_2022	PRJNA743718	SAMN20058760	SRR15040966	e57ee936-4cba-4dae-b2ab-801c28ddb30e
JoS_2022	PRJNA743718	SAMN20058761	SRR15040965	92d516ea-9be9-4792-a664-2cb2d61f2330
JoS_2022	PRJNA743718	SAMN20058762	SRR15040964	f66d6d47-6779-4102-859f-a57c15c45ad0
JoS_2022	PRJNA743718	SAMN20058763	SRR15040962	8dc74850-a767-46a7-8088-0a5cd6e7b465
JoS_2022	PRJNA743718	SAMN20058764	SRR15040961	fc36a55e-66b6-41a5-9a49-38989fd7d172
JoS_2022	PRJNA743718	SAMN20058765	SRR15040960	94a9f93a-4eb7-421d-bb56-21906a5bedd6
JoS_2022	PRJNA743718	SAMN20058766	SRR15040959	fcd861bd-5f27-458a-b76b-172e07ee127f
JoS_2022	PRJNA743718	SAMN20058767	SRR15040958	af387a56-dd08-4a37-b886-7abf6f45cc51
JoS_2022	PRJNA743718	SAMN20058768	SRR15040957	714250bc-eb90-4b5c-abb0-54b05e438e6b
JoS_2022	PRJNA743718	SAMN20058769	SRR15040956	0028a794-ea78-407b-9f01-0d56f2e06217
JoS_2022	PRJNA743718	SAMN20058770	SRR15040955	c40a618e-a459-47c3-8021-196db0b45271
JoS_2022	PRJNA743718	SAMN20058771	SRR15040954	a9e09e8e-1e19-4789-9d95-5e3ea054ec6c
JoS_2022	PRJNA743718	SAMN20058772	SRR15040953	88ae0be1-3cb3-4adc-8469-19888b968691
JoS_2022	PRJNA743718	SAMN20058773	SRR15040951	2e669383-a8e6-4351-a992-e22b134070d6
JoS_2022	PRJNA743718	SAMN20058774	SRR15040950	4b96cf9d-b8f1-443b-b8b1-821dffe48007
JoS_2022	PRJNA743718	SAMN20058775	SRR15040949	e3dfc618-1c26-450b-88f2-7eac1597bf14
JoS_2022	PRJNA743718	SAMN20058776	SRR15040948	2aac5afa-f25b-4b2f-87ea-3d545fd1b166
JoS_2022	PRJNA743718	SAMN20058777	SRR15040947	7693c59d-b427-46f8-9bf6-db96db554537
JoS_2022	PRJNA743718	SAMN20058778	SRR15040946	9fbe8ce6-66f4-4b2a-9202-448396c0990c
JoS_2022	PRJNA743718	SAMN20058779	SRR15040945	94008039-f3a4-4035-b62b-70970ff0f5bd
JoS_2022	PRJNA743718	SAMN20058780	SRR15040944	27e3bdd1-f13c-4bee-85fe-b6b14bb1a1c6
JoS_2022	PRJNA743718	SAMN20058781	SRR15040943	c420e3df-e29f-4462-bc20-0236a0b0b0ee
JoS_2022	PRJNA743718	SAMN20058782	SRR15040942	23c63191-f7cd-48d8-b08b-6a5f44dcfda3
JoS_2022	PRJNA743718	SAMN20058783	SRR15040940	e9978b94-5e7f-4fb4-ad70-fe95d3d92ac4
JoS_2022	PRJNA743718	SAMN20058784	SRR15040939	5764aa09-3413-48b2-a942-6d155188909a
JoS_2022	PRJNA743718	SAMN20058785	SRR15040938	9af8ab08-da78-4e9b-98b0-dff879569557
JoS_2022	PRJNA743718	SAMN20058786	SRR15040937	db054754-3fef-47eb-ab1a-53313331b717
JoS_2022	PRJNA743718	SAMN20058787	SRR15040936	8e70952a-0d31-486e-b45b-28c86098f681
JoS_2022	PRJNA743718	SAMN20058788	SRR15040935	5ce3f735-6170-45c4-bf03-92c2b3520d3b
JoS_2022	PRJNA743718	SAMN20058789	SRR15040934	dd179489-647e-4dcb-b8aa-aeaa0d5b4191
JoS_2022	PRJNA743718	SAMN20058790	SRR15040933	986bd44e-a0b8-42df-863c-caa4db3bb398
JoS_2022	PRJNA743718	SAMN20058791	SRR15040932	68150a27-1fb1-47a5-8de4-bd49677dfc7a
