study_name	BioProject	sample_id	NCBI_accession	uuid
LeeEJ_2024	PRJNA1043247	SAMN38338228	SRR26895054	9970b154-fb25-47b5-aa8f-be696fdf2986
LeeEJ_2024	PRJNA1043247	SAMN38338229	SRR26895053	d076e19f-2379-4df3-993d-3a3ced16b0f4
LeeEJ_2024	PRJNA1043247	SAMN38338230	SRR26895042	2fbc89b6-2a32-48e2-84b3-6d7bf869b529
LeeEJ_2024	PRJNA1043247	SAMN38338231	SRR26895031	3bd0fbd6-25cc-409a-9039-5aaa3394ff2c
LeeEJ_2024	PRJNA1043247	SAMN38338232	SRR26895024	7d5e6dba-ac42-4ed5-be98-b15b4ea44f77
LeeEJ_2024	PRJNA1043247	SAMN38338233	SRR26895023	10c52196-d5a2-4090-ad34-35c2d8c27c0a
LeeEJ_2024	PRJNA1043247	SAMN38338234	SRR26895022	20ad4cb8-3afc-45dc-ac92-f3c883209fad
LeeEJ_2024	PRJNA1043247	SAMN38338235	SRR26895021	c93492d2-93c8-4654-880a-0fb7c7e70017
LeeEJ_2024	PRJNA1043247	SAMN38338236	SRR26895020	5d2366e8-49c0-4600-9360-eda82ec68eaf
LeeEJ_2024	PRJNA1043247	SAMN38338237	SRR26895019	dccfefc9-7c05-4fe4-9262-5a3f874d3264
LeeEJ_2024	PRJNA1043247	SAMN38338238	SRR26895052	764aa935-9793-48fa-9471-51e2dcc5fc38
LeeEJ_2024	PRJNA1043247	SAMN38338239	SRR26895051	3281fa88-f779-4c1d-a5cf-77326e2d6ad7
LeeEJ_2024	PRJNA1043247	SAMN38338240	SRR26895050	859dab8f-bcca-4b05-9f31-b4d754e838a1
LeeEJ_2024	PRJNA1043247	SAMN38338241	SRR26895049	03fa1514-672d-405b-a3d3-db94c74aa8ea
LeeEJ_2024	PRJNA1043247	SAMN38338242	SRR26895048	34a8b76d-cba5-4c05-b5d9-7e4ee465e575
LeeEJ_2024	PRJNA1043247	SAMN38338243	SRR26895047	aa5bdf59-cd6a-477d-89a7-f37780e60041
LeeEJ_2024	PRJNA1043247	SAMN38338244	SRR26895046	93e35581-a96e-4581-8c77-22a9e42c3819
LeeEJ_2024	PRJNA1043247	SAMN38338245	SRR26895045	225dfed9-df69-4045-8b4b-e81cd2308043
LeeEJ_2024	PRJNA1043247	SAMN38338246	SRR26895044	8b53f3c6-4e28-46de-9d36-2f065d50853a
LeeEJ_2024	PRJNA1043247	SAMN38338247	SRR26895043	0eada431-2ebb-4d41-b2d3-a0f6c3aa2b8e
LeeEJ_2024	PRJNA1043247	SAMN38338248	SRR26895041	ab5eb9f5-1b40-435d-9f99-2a142a08f059
LeeEJ_2024	PRJNA1043247	SAMN38338249	SRR26895040	bfb0fd51-979f-4631-aa6d-92d6348b02a8
LeeEJ_2024	PRJNA1043247	SAMN38338250	SRR26895039	ad624f88-e363-4199-b153-0775ef654443
LeeEJ_2024	PRJNA1043247	SAMN38338251	SRR26895038	b9f35d8b-ccab-4acd-b26a-b4ea8b293d8f
LeeEJ_2024	PRJNA1043247	SAMN38338252	SRR26895037	ecedc578-0a4e-4b3a-ab51-7e7965f74009
LeeEJ_2024	PRJNA1043247	SAMN38338253	SRR26895036	280dfa5c-6f5e-4bb0-b36f-603c28a4267e
LeeEJ_2024	PRJNA1043247	SAMN38338254	SRR26895035	1afc0d90-dad3-4149-ba15-c2b8f9b95509
LeeEJ_2024	PRJNA1043247	SAMN38338255	SRR26895034	9176065c-2cd3-4a2a-9369-782af4bf0e71
LeeEJ_2024	PRJNA1043247	SAMN38338256	SRR26895033	17546f61-3e71-4160-a361-42104ba50608
LeeEJ_2024	PRJNA1043247	SAMN38338257	SRR26895032	3232ff7a-837a-48eb-aead-11c5d85db07b
LeeEJ_2024	PRJNA1043247	SAMN38338258	SRR26895030	588a3853-6b3a-4b1b-8178-3efaca7604ee
LeeEJ_2024	PRJNA1043247	SAMN38338259	SRR26895029	cbe1fb50-45b1-44e0-9a91-a04e06a192e7
LeeEJ_2024	PRJNA1043247	SAMN38338260	SRR26895028	06039a1d-c7be-4069-8b9a-f1a908ff97f8
LeeEJ_2024	PRJNA1043247	SAMN38338261	SRR26895027	04c5e51d-2f82-4e00-b558-64fd05a3854c
LeeEJ_2024	PRJNA1043247	SAMN38338262	SRR26895026	ea7b7da1-a1f8-4626-a463-3085cd0521db
LeeEJ_2024	PRJNA1043247	SAMN38338263	SRR26895025	0b4ad10a-ed2b-403f-8f25-1ebca3419b89
