study_name	BioProject	sample_id	NCBI_accession	uuid
MaoL_2021	PRJNA588035	SAMN13221582	SRR10403544	039e0632-baa9-47e0-afb0-be45b89bf2a1
MaoL_2021	PRJNA588035	SAMN13221583	SRR10403543	89a5f47c-691d-4a4d-80e4-963e5fe0ba86
MaoL_2021	PRJNA588035	SAMN13221584	SRR10403532	d9ece58c-baed-4039-a95c-37730e174e7b
MaoL_2021	PRJNA588035	SAMN13221585	SRR10403521	4d176d2b-b619-4064-996d-2b0e7c62aa43
MaoL_2021	PRJNA588035	SAMN13221586	SRR10403566	6bd23ef5-f33f-465b-a0a7-ce955ee232fb
MaoL_2021	PRJNA588035	SAMN13221587	SRR10403555	76acc582-c51b-401f-9eb5-8c457eaf4f97
MaoL_2021	PRJNA588035	SAMN13221588	SRR10403516	210a3496-bc6e-42c0-8739-4ec3251f193a
MaoL_2021	PRJNA588035	SAMN13221589	SRR10403505	c03942cf-1d34-4f1a-9600-3002050d8a8f
MaoL_2021	PRJNA588035	SAMN13221590	SRR10403496	18ff2e25-fbc8-41d2-9095-46ba561a37bd
MaoL_2021	PRJNA588035	SAMN13221591	SRR10403495	429088b0-880d-4a01-9154-0100f0c16bbe
MaoL_2021	PRJNA588035	SAMN13221592	SRR10403542	2f48823f-0909-4d5c-b9bc-5dab12de1f63
MaoL_2021	PRJNA588035	SAMN13221593	SRR10403541	9424a50a-88b3-4091-a081-44c7dfa1dcda
MaoL_2021	PRJNA588035	SAMN13221594	SRR10403540	7920509d-802a-492a-b549-91a8e976fdf8
MaoL_2021	PRJNA588035	SAMN13221595	SRR10403539	5b82fe53-8678-43a7-914c-d73bdd0d4c78
MaoL_2021	PRJNA588035	SAMN13221596	SRR10403538	927f4ac4-0c4b-47d4-9c81-e9103b32c712
MaoL_2021	PRJNA588035	SAMN13221597	SRR10403537	2ba84bb2-0a77-494f-b313-64fc0b7f9e6f
MaoL_2021	PRJNA588035	SAMN13221598	SRR10403536	13319cf0-6312-4a26-9632-6426bda6b327
MaoL_2021	PRJNA588035	SAMN13221599	SRR10403535	0cfb3fb3-a03c-4f68-bfbd-f0b20ceb277a
MaoL_2021	PRJNA588035	SAMN13221600	SRR10403534	dcf1305e-3ff5-4fc4-ba22-d046811aab82
MaoL_2021	PRJNA588035	SAMN13221601	SRR10403533	95bad725-9bac-4b51-a19e-899f05252113
MaoL_2021	PRJNA588035	SAMN13221602	SRR10403531	83aa52bd-1a52-40eb-bb80-ec44e661aceb
MaoL_2021	PRJNA588035	SAMN13221603	SRR10403530	0ff0679b-887f-4f58-98d4-24ea361821ab
MaoL_2021	PRJNA588035	SAMN13221604	SRR10403529	e3ec4bcc-78e8-4425-91ba-c911437dcc00
MaoL_2021	PRJNA588035	SAMN13221605	SRR10403528	ac0d58e7-3dfe-4a70-9084-e5baeea1539e
MaoL_2021	PRJNA588035	SAMN13221606	SRR10403527	57986c49-e5a2-4428-a0ba-9f719fcab517
MaoL_2021	PRJNA588035	SAMN13221607	SRR10403526	f0f0a675-0b3f-4fff-abfb-6ea13db38912
MaoL_2021	PRJNA588035	SAMN13221608	SRR10403525	bd5297a7-c44a-4ddf-9689-08a0e0cd5a53
MaoL_2021	PRJNA588035	SAMN13221609	SRR10403524	6247a02c-1465-4aa4-8f05-36835ed1ead1
MaoL_2021	PRJNA588035	SAMN13221610	SRR10403523	bdd80fa0-f7e9-4580-a6f0-e5eb6b6706f9
MaoL_2021	PRJNA588035	SAMN13221611	SRR10403522	19f0aa6a-7f44-4ff5-9d14-97176aa012dd
MaoL_2021	PRJNA588035	SAMN13221612	SRR10403520	67aac665-49df-4045-af10-d8cf477caecc
MaoL_2021	PRJNA588035	SAMN13221613	SRR10403519	386a0e6b-28b8-466b-9632-22ff86a8bf9a
MaoL_2021	PRJNA588035	SAMN13221614	SRR10403518	a7d60dc9-04a2-4c1a-a8ab-0e7164b6f9da
MaoL_2021	PRJNA588035	SAMN13221615	SRR10403517	bb17278b-21ee-4aad-904a-6a25bcaf6724
MaoL_2021	PRJNA588035	SAMN13221616	SRR10403572	f4e9d786-f1c3-44b0-8f6a-6e731dab0b9b
MaoL_2021	PRJNA588035	SAMN13221617	SRR10403571	9d3224c5-044b-4b6f-aa35-d6e0026a9300
MaoL_2021	PRJNA588035	SAMN13221618	SRR10403570	e90400a3-e30b-476b-affe-943dc9e41730
MaoL_2021	PRJNA588035	SAMN13221619	SRR10403569	315de126-ee9c-4d93-8a17-85cc70a4f411
MaoL_2021	PRJNA588035	SAMN13221620	SRR10403568	270778fd-f54f-4204-85f9-665f7f5c7a98
MaoL_2021	PRJNA588035	SAMN13221621	SRR10403567	a067b065-309e-4d5b-8bea-8bacc897ee4f
MaoL_2021	PRJNA588035	SAMN13221622	SRR10403565	fe07c97b-4e9a-4fff-acf0-252ad18a2193
MaoL_2021	PRJNA588035	SAMN13221623	SRR10403564	83f1a640-b914-473a-ba1c-0214e410a4c3
MaoL_2021	PRJNA588035	SAMN13221624	SRR10403563	b73a87c3-f1fa-4461-bf29-a9bf029080b4
MaoL_2021	PRJNA588035	SAMN13221625	SRR10403562	510acd04-3889-42ea-8591-64ec7f4203d1
MaoL_2021	PRJNA588035	SAMN13221626	SRR10403561	758adadf-0c24-4ea0-a6f0-a8237e538266
MaoL_2021	PRJNA588035	SAMN13221627	SRR10403560	e10cfb5d-a389-4e5e-aba5-c115bf12972c
MaoL_2021	PRJNA588035	SAMN13221628	SRR10403559	7c3d50f0-0a0e-44de-99f5-ce0d843f8502
MaoL_2021	PRJNA588035	SAMN13221629	SRR10403558	e91cfa0d-6435-4259-a7e3-dea0e20be145
MaoL_2021	PRJNA588035	SAMN13221630	SRR10403557	1c61659a-d5e0-49e5-85a1-6d338fa992a2
