SAMPLE.ID	CAGE	GENOTYPE	AGE	Time.to.cross.challenge.beam...s.	Adhesive.removal..s.	Time.to.descend.Pole..s.	Errors.on.bean.crossing..n.	Weight..g.	Gastric.Emptying.time..s.	Bead.Expulsion.time..s.	Fecal.Output..n.	file_paths	uuid
CALTEC-001-WT1_2mo	1	WT	2 months	4.81	7.45	11.34	0	25.5	37.5447	5	8	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT1_2mo/CALTEC-001-WT1_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT1_2mo/CALTEC-001-WT1_2mo_R2.fastq.gz;	f8e8e198-275c-4631-aeaa-990882135c68
CALTEC-001-WT2_2mo	1	WT	2 months	8.11	5.19	6.7	3	32.5	61.07091	11	11	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT2_2mo/CALTEC-001-WT2_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT2_2mo/CALTEC-001-WT2_2mo_R2.fastq.gz;	f4b2eca7-bf3d-49cc-90ab-80ebbb70be64
CALTEC-001-WT3_2mo	1	WT	2 months	23.74	1.54	10.46	1	25	58.12791	2	4	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT3_2mo/CALTEC-001-WT3_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT3_2mo/CALTEC-001-WT3_2mo_R2.fastq.gz;	b52811e6-0a6f-4993-851b-dd16e3d78494
CALTEC-001-WT4_2mo	1	WT	2 months	7.04	3.12	10.46	1	26.5	56.73754	15	15	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT4_2mo/CALTEC-001-WT4_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT4_2mo/CALTEC-001-WT4_2mo_R2.fastq.gz;	0a292709-27c7-4f3b-89f6-00a85385f0fe
CALTEC-001-WT5_2mo	1	WT	2 months	8.97	3.46	11.42	0	29.5	75.768	10	5	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT5_2mo/CALTEC-001-WT5_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT5_2mo/CALTEC-001-WT5_2mo_R2.fastq.gz;	4a779dc7-28df-41aa-81eb-27ef4a69b4c7
CALTEC-001-WT6_2mo	2	WT	2 months	11.84	7.96	5.37	0	26.5	76.4	12	5	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT6_2mo/CALTEC-001-WT6_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT6_2mo/CALTEC-001-WT6_2mo_R2.fastq.gz;	5b5ad213-3bef-498e-88dd-b781c01c6507
CALTEC-001-WT7_2mo	2	WT	2 months	5.6	4.5	6.3	0	27	56.7	1	0	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT7_2mo/CALTEC-001-WT7_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT7_2mo/CALTEC-001-WT7_2mo_R2.fastq.gz;	05827455-477e-4a06-871e-2ca9b4f52075
CALTEC-001-WT8_2mo	2	WT	2 months	4.5	3.5	5.6	1	28.5	67.8	5	9	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT8_2mo/CALTEC-001-WT8_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT8_2mo/CALTEC-001-WT8_2mo_R2.fastq.gz;	f020d8f9-d7c4-4f7c-bbc7-b32e47f4e653
CALTEC-001-WT9_2mo	2	WT	2 months	5.6	3.54	3.45	2	25.5	65.67854	3	8	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT9_2mo/CALTEC-001-WT9_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT9_2mo/CALTEC-001-WT9_2mo_R2.fastq.gz;	320f4d9f-9328-441b-a4e7-a8069862e387
CALTEC-001-WT10_2mo	2	WT	2 months	4.6	4.6	4.78	1	29	63.56784	5	11	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT10_2mo/CALTEC-001-WT10_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT10_2mo/CALTEC-001-WT10_2mo_R2.fastq.gz;	0b8a62aa-4418-461d-9b3c-5d44b3c454d9
