SAMPLE.ID	GENOTYPE	Cage	Age	FMT.donor	Time.to.cross.challenge.beam...s.	Adhesive.removal..s.	Time.to.descend.Pole..s.	Errors.on.bean.crossing..n.	Weight..g.	Gastric.Emptying.time..s.	Bead.Expulsion.time..s.	Fecal.Output..n.	file_paths	uuid
CALTEC-001-ASO1_5mo_aFMT	ASO	1	5 months	ASO 5 months	60	15.8	13.31	7.06	33	22.85044	10	3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO1_5mo_aFMT/CALTEC-001-ASO1_5mo_aFMT_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO1_5mo_aFMT/CALTEC-001-ASO1_5mo_aFMT_R2.fastq.gz;	f3128312-690b-4870-a6d4-da46016f6fe6
CALTEC-001-ASO2_5mo_aFMT	ASO	1	5 months	ASO 5 months	13.84	37.7	30	6.07	27	31.48981	10	7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO2_5mo_aFMT/CALTEC-001-ASO2_5mo_aFMT_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO2_5mo_aFMT/CALTEC-001-ASO2_5mo_aFMT_R2.fastq.gz;	23a93bab-0615-4a2c-a461-a5346c9e7728
CALTEC-001-ASO3_5mo_aFMT	ASO	1	5 months	ASO 5 months	60	13.75	19.84	0	33	30.37313	9	5	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO3_5mo_aFMT/CALTEC-001-ASO3_5mo_aFMT_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO3_5mo_aFMT/CALTEC-001-ASO3_5mo_aFMT_R2.fastq.gz;	a977ccce-575f-4a7c-9fd2-40b6b6a5d89e
CALTEC-001-ASO4_5mo_aFMT	ASO	1	5 months	ASO 5 months	16.51	6.47	13.84	3	36	37.66328	6	6	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO4_5mo_aFMT/CALTEC-001-ASO4_5mo_aFMT_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO4_5mo_aFMT/CALTEC-001-ASO4_5mo_aFMT_R2.fastq.gz;	025a677c-3bf7-4cdc-9dae-c75fb6dbaf78
CALTEC-001-ASO5_5mo_aFMT	ASO	1	5 months	ASO 5 months	17.26	30.51	30	9	30	46.48045	6	0	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO5_5mo_aFMT/CALTEC-001-ASO5_5mo_aFMT_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO5_5mo_aFMT/CALTEC-001-ASO5_5mo_aFMT_R2.fastq.gz;	0128b5a5-4584-46d1-bd9c-1984eae69c56
CALTEC-001-ASO6_5mo_aFMT	ASO	2	5 months	ASO 5 months	49.42	18.08	16.51	7	32	32.03964	12	5	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO6_5mo_aFMT/CALTEC-001-ASO6_5mo_aFMT_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO6_5mo_aFMT/CALTEC-001-ASO6_5mo_aFMT_R2.fastq.gz;	ca274b81-8814-41e3-bf53-99efc268c222
CALTEC-001-ASO7_5mo_aFMT	ASO	2	5 months	ASO 5 months	27.56	60	17.26	3	32	35.40792	21	2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO7_5mo_aFMT/CALTEC-001-ASO7_5mo_aFMT_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO7_5mo_aFMT/CALTEC-001-ASO7_5mo_aFMT_R2.fastq.gz;	5d2425fe-e54a-44a8-9a12-ed725d6d928f
CALTEC-001-ASO8_5mo_aFMT	ASO	2	5 months	ASO 5 months	14.08	1.06	8.12	6	28.6	37.81147	4	2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO8_5mo_aFMT/CALTEC-001-ASO8_5mo_aFMT_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO8_5mo_aFMT/CALTEC-001-ASO8_5mo_aFMT_R2.fastq.gz;	a114d44e-a88d-46d9-aa7e-99fe5476dcd4
CALTEC-001-ASO9_5mo_aFMT	ASO	2	5 months	ASO 5 months	13.58	20.13	13	10	32.9	38.52596	6	6	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO9_5mo_aFMT/CALTEC-001-ASO9_5mo_aFMT_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO9_5mo_aFMT/CALTEC-001-ASO9_5mo_aFMT_R2.fastq.gz;	5cf1e443-f3dc-443e-95e3-f84e36eec1ef
CALTEC-001-ASO10_5mo_aFMT	ASO	2	5 months	ASO 5 months	48.52	26.23	28	5	29.1	53.10306	4	3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO10_5mo_aFMT/CALTEC-001-ASO10_5mo_aFMT_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO10_5mo_aFMT/CALTEC-001-ASO10_5mo_aFMT_R2.fastq.gz;	d43ef631-cec6-4725-a75a-7e3c2a2dcb46
