SAMPLE.ID	Treatment	GENOTYPE	Cage	Age	Time.to.cross.challenge.beam...s.	Adhesive.removal..s.	Time.to.descend.Pole..s.	Errors.on.bean.crossing..n.	Weight..g.	Bead.Expulsion.time..s.	Fecal.Output..n.	file_paths	uuid
CALTEC-001-ASO1_Vanco	FMT from 2month-old WT animals treated with vancomycin	ASO 	1	5 months	10.02	11.56	6.72	5	31	225	1	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO1_Vanco/CALTEC-001-ASO1_Vanco_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO1_Vanco/CALTEC-001-ASO1_Vanco_R2.fastq.gz;	0ea41df9-ff69-4685-bf13-1c16d079aa52
CALTEC-001-ASO2_Vanco	FMT from 2month-old WT animals treated with vancomycin	ASO 	1	5 months	12.19	15.07	30	4	28	232	5	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO2_Vanco/CALTEC-001-ASO2_Vanco_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO2_Vanco/CALTEC-001-ASO2_Vanco_R2.fastq.gz;	3cee57d0-1199-4e53-901b-edb9620c0b8f
CALTEC-001-ASO3_Vanco	FMT from 2month-old WT animals treated with vancomycin	ASO 	1	5 months	10.25	13.2	14.21	4	33.5	300	0	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO3_Vanco/CALTEC-001-ASO3_Vanco_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO3_Vanco/CALTEC-001-ASO3_Vanco_R2.fastq.gz;	cb3850ab-ec86-4118-9824-466c9e838c81
CALTEC-001-ASO4_Vanco	FMT from 2month-old WT animals treated with vancomycin	ASO 	1	5 months	20.71	13.15	30	8	33	300	2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO4_Vanco/CALTEC-001-ASO4_Vanco_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO4_Vanco/CALTEC-001-ASO4_Vanco_R2.fastq.gz;	7ca8f2f1-8e7c-4164-8df4-f3fbbab4bce1
CALTEC-001-ASO5_Vanco	FMT from 2month-old WT animals treated with vancomycin	ASO 	2	5 months	25.84	11.85	7.32	6	29	182	3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO5_Vanco/CALTEC-001-ASO5_Vanco_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO5_Vanco/CALTEC-001-ASO5_Vanco_R2.fastq.gz;	30974adb-a946-428a-91fa-b5f4dd98d5f9
CALTEC-001-ASO6_Vanco	FMT from 2month-old WT animals treated with vancomycin	ASO 	2	5 months	30	2.03	30	9	28.5	268	7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO6_Vanco/CALTEC-001-ASO6_Vanco_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO6_Vanco/CALTEC-001-ASO6_Vanco_R2.fastq.gz;	8526ce31-aa96-46fd-9f1c-d14e7f9bdfac
CALTEC-001-ASO7_Vanco	FMT from 2month-old WT animals treated with vancomycin	ASO 	2	5 months	27	15	28	11	28	265	3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO7_Vanco/CALTEC-001-ASO7_Vanco_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO7_Vanco/CALTEC-001-ASO7_Vanco_R2.fastq.gz;	8ba8ade2-e933-4c7e-a604-6fc9aaa498f7
CALTEC-001-ASO8_Vanco	FMT from 2month-old WT animals treated with vancomycin	ASO 	2	5 months	26	17	24	8	27	234	1	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO8_Vanco/CALTEC-001-ASO8_Vanco_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO8_Vanco/CALTEC-001-ASO8_Vanco_R2.fastq.gz;	0e8566e6-6d5d-48a6-974e-5014bb6ec134
CALTEC-001-201	FMT from 2month-old WT animals treated with Gentamycin/Neomycin transplant	ASO 	3	5 months	30	2.94	30	9	33	231	6	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-201/CALTEC-001-201_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-201/CALTEC-001-201_R2.fastq.gz;	32da4eeb-d4cd-4740-a23e-bdeed13bc5cb
CALTEC-001-202	FMT from 2month-old WT animals treated with Gentamycin/Neomycin transplant	ASO 	3	5 months	30	1.81	30	5	35	196	10	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-202/CALTEC-001-202_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-202/CALTEC-001-202_R2.fastq.gz;	ab883213-78fb-4361-8c27-fbd1ceab1c45
CALTEC-001-203	FMT from 2month-old WT animals treated with Gentamycin/Neomycin transplant	ASO 	3	5 months	9.41	1.09	5.13	1	30.5	174	7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-203/CALTEC-001-203_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-203/CALTEC-001-203_R2.fastq.gz;	3d321074-43f7-4454-8859-d834c4917d97
CALTEC-001-204	FMT from 2month-old WT animals treated with Gentamycin/Neomycin transplant	ASO 	3	5 months	19.15	1	7.44	2	38	172	14	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-204/CALTEC-001-204_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-204/CALTEC-001-204_R2.fastq.gz;	e1f4a583-5c0e-475e-9d66-bb5fd04bd46c
CALTEC-001-205	FMT from 2month-old WT animals treated with Gentamycin/Neomycin transplant	ASO 	4	5 months	9.89	16.34	7.84	4	38	201	10	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-205/CALTEC-001-205_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-205/CALTEC-001-205_R2.fastq.gz;	cdf48f96-b559-428d-8e14-2bf74508dba6
CALTEC-001-206	FMT from 2month-old WT animals treated with Gentamycin/Neomycin transplant	ASO 	4	5 months	30	2.62	21.155	5	33	181	9	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-206/CALTEC-001-206_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-206/CALTEC-001-206_R2.fastq.gz;	93ebdc58-10e9-4aee-b781-19f860e60214
CALTEC-001-207	FMT from 2month-old WT animals treated with Gentamycin/Neomycin transplant	ASO 	4	5 months	7.4	11.07	30	4	31.4	171	7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-207/CALTEC-001-207_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-207/CALTEC-001-207_R2.fastq.gz;	107c9620-96ad-43d6-ba02-2a726889203f
CALTEC-001-208	FMT from 2month-old WT animals treated with Gentamycin/Neomycin transplant	ASO 	4	5 months	30	2.06	30	10	33.5	178	1	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-208/CALTEC-001-208_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-208/CALTEC-001-208_R2.fastq.gz;	0d2e636d-82db-4914-b4f3-03289f864028
CALTEC-001-209	FMT from 2month-old WT animals treated with  Ampicilin transplant	ASO 	5	5 months	8.34	1.34	11.32	1	33	176	7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-209/CALTEC-001-209_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-209/CALTEC-001-209_R2.fastq.gz;	5a65bbcf-b36d-4b4a-80fe-0c72fadcde12
CALTEC-001-210	FMT from 2month-old WT animals treated with  Ampicilin transplant	ASO 	5	5 months	5.67	6.8	10.54	4	32	186	11	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-210/CALTEC-001-210_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-210/CALTEC-001-210_R2.fastq.gz;	252a039e-3fab-4958-b73a-d61ceea83d3c
CALTEC-001-211	FMT from 2month-old WT animals treated with  Ampicilin transplant	ASO 	5	5 months	10.22	2	9.45	2	34	199	12	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-211/CALTEC-001-211_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-211/CALTEC-001-211_R2.fastq.gz;	f5b3baf9-c98d-4168-a65c-0600bf506fc7
