sample_id	subject_id	control	country	body_site	body_site_details	age	age_group	age_unit	ancestry	ancestry_details	antibiotics_current_use	biomarker	bmi	days_from_first_collection	dietary_restriction	disease	disease_details	disease_response_orr	disease_response_pfs	disease_response_pfs_month	disease_response_recist	dna_extraction_kit	family	family_role	feces_phenotype	fmt_id	fmt_role	hla	lifestyle	location	median_read_length	minimum_read_length	ncbi_accession	neonatal_birth_weight	neonatal_delivery_procedure	neonatal_feeding_method	neonatal_gestational_age	neonatal_preterm_birth	number_bases	number_reads	obgyn_birth_control	obgyn_lactating	obgyn_menopause	obgyn_pregnancy	pmid	probing_pocket_depth	sequencing_platform	sex	smoker	subcohort	treatment	tumor_staging_ajcc	tumor_staging_tnm	westernized	zigosity	uncurated_metadata	Cage	file_paths	uuid
DD1	1	Study Control	NA	feces	NA	13.57	NA	Week	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	SPF	NA	NA	NA	NA	NA	NA	A	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD1/CALTEC-001-DGD1_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD1/CALTEC-001-DGD1_R2.fastq.gz;	2d0c7678-b827-4991-a036-d49d061aab8d
DD2	2	Study Control	NA	feces	NA	13.57	NA	Week	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	SPF	NA	NA	NA	NA	NA	NA	A	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD2/CALTEC-001-DGD2_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD2/CALTEC-001-DGD2_R2.fastq.gz;	b2aace45-cd72-4040-83be-4bedf4acea25
DD3	3	Study Control	NA	feces	NA	13.57	NA	Week	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	SPF	NA	NA	NA	NA	NA	NA	A	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD3/CALTEC-001-DGD3_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD3/CALTEC-001-DGD3_R2.fastq.gz;	38eff09f-972a-4592-85a2-1d9dd583bc99
DD4	4	Study Control	NA	feces	NA	13.57	NA	Week	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	SPF	NA	NA	NA	NA	NA	NA	A	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD4/CALTEC-001-DGD4_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD4/CALTEC-001-DGD4_R2.fastq.gz;	7eaa1d8c-e20f-4f53-82ad-3291db734da0
DD5	5	Study Control	NA	feces	NA	13.43	NA	Week	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Female	NA	WildR	NA	NA	NA	NA	NA	NA	B	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD5/CALTEC-001-DGD5_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD5/CALTEC-001-DGD5_R2.fastq.gz;	af0d4e06-02be-49a6-8424-c43aee040410
DD6	6	Study Control	NA	feces	NA	13.43	NA	Week	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Female	NA	WildR	NA	NA	NA	NA	NA	NA	B	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD6/CALTEC-001-DGD6_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD6/CALTEC-001-DGD6_R2.fastq.gz;	6eac7062-516e-41b3-a38a-bafce302ace9
DD7	7	Study Control	NA	feces	NA	13.43	NA	Week	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Female	NA	WildR	NA	NA	NA	NA	NA	NA	B	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD7/CALTEC-001-DGD7_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD7/CALTEC-001-DGD7_R2.fastq.gz;	99393942-f9c0-4f96-add8-d0d986179333
DD8	8	Study Control	NA	feces	NA	13	NA	Week	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	WildR	NA	NA	NA	NA	NA	NA	C	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD8/CALTEC-001-DGD8_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD8/CALTEC-001-DGD8_R2.fastq.gz;	5b7ca2dc-58d5-4aed-a685-6b6fefe7ff99
DD9	9	Study Control	NA	feces	NA	13	NA	Week	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	WildR	NA	NA	NA	NA	NA	NA	C	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD9/CALTEC-001-DGD9_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD9/CALTEC-001-DGD9_R2.fastq.gz;	8f41a81e-8ef9-4dcd-bb98-ca29bea84dca
DD10	10	Study Control	NA	feces	NA	13	NA	Week	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	WildR	NA	NA	NA	NA	NA	NA	C	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD10/CALTEC-001-DGD10_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD10/CALTEC-001-DGD10_R2.fastq.gz;	dcacef13-618b-40d2-a318-e64a6b835ebf
