tube_id	genotype	microbiome	sex	ear_punch	date_of_birth	cage	cohort	file_paths	uuid
SPF B6 F1	B6J	SPF	F	N	4/8/24	1	C2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_B6_F1/CALTEC-001-SPF_B6_F1_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_B6_F1/CALTEC-001-SPF_B6_F1_R2.fastq.gz;	38df9669-2d9d-492e-9d95-222c53b0bc8f
SPF B6 F2	B6J	SPF	F	N	4/29/24	2	C3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_B6_F2/CALTEC-001-SPF_B6_F2_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_B6_F2/CALTEC-001-SPF_B6_F2_R2.fastq.gz;	8cf59da1-97ee-4883-811f-e7938aaa5727
SPF B6 F3	B6J	SPF	F	R	4/29/24	2	C3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_B6_F3/CALTEC-001-SPF_B6_F3_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_B6_F3/CALTEC-001-SPF_B6_F3_R2.fastq.gz;	64344764-95f4-45f4-8063-0dee3439e112
SPF B6 F4	B6J	SPF	F	L	4/29/24	2	C3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_B6_F4/CALTEC-001-SPF_B6_F4_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_B6_F4/CALTEC-001-SPF_B6_F4_R2.fastq.gz;	c098a302-4409-4777-831e-7ba85920ccdb
SPF B6 F5	B6J	SPF	F	RL	4/29/24	2	C3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_B6_F5/CALTEC-001-SPF_B6_F5_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_B6_F5/CALTEC-001-SPF_B6_F5_R2.fastq.gz;	1fbcb537-4a08-4323-a3b1-5a691c6bc8c8
SPF B6 M1	B6J	SPF	M	N	4/8/24	3	C2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_B6_M1/CALTEC-001-SPF_B6_M1_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_B6_M1/CALTEC-001-SPF_B6_M1_R2.fastq.gz;	151a329c-d69f-4437-8ca2-f6e0c00e83f8
SPF B6 M2	B6J	SPF	M	R	4/8/24	3	C2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_B6_M2/CALTEC-001-SPF_B6_M2_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_B6_M2/CALTEC-001-SPF_B6_M2_R2.fastq.gz;	afa999ea-06a3-45f4-9405-d6bb438fb21f
SPF B6 M3	B6J	SPF	M	L	4/8/24	3	C2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_B6_M3/CALTEC-001-SPF_B6_M3_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_B6_M3/CALTEC-001-SPF_B6_M3_R2.fastq.gz;	83d0ed04-87be-4002-9547-2b25d1bafe79
SPF B6 M4	B6J	SPF	M	N	4/29/24	4	C3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_B6_M4/CALTEC-001-SPF_B6_M4_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_B6_M4/CALTEC-001-SPF_B6_M4_R2.fastq.gz;	2aabfb43-8be8-44ff-b1d7-65962a5fd876
SPF B6 M5	B6J	SPF	M	R	4/29/24	4	C3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_B6_M5/CALTEC-001-SPF_B6_M5_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_B6_M5/CALTEC-001-SPF_B6_M5_R2.fastq.gz;	3f0539fe-b276-45d1-9f36-a017bacdd7bd
