study_name	BioProject	sample_id	NCBI_accession	uuid
NishiwakiH_2024	PRJDB15956	SAMD00618036	DRR480283	0b717f75-3d52-4af0-9223-abf68ce7d406
NishiwakiH_2024	PRJDB15956	SAMD00618037	DRR480284	329b2486-59ea-4bff-884e-6219d992311b
NishiwakiH_2024	PRJDB15956	SAMD00618038	DRR480285	1db8a36e-9302-441d-bb70-c8c5882d04ac
NishiwakiH_2024	PRJDB15956	SAMD00618039	DRR480286	fe464f46-7a8e-4d6c-b426-894d3cb1d030
NishiwakiH_2024	PRJDB15956	SAMD00618040	DRR480287	474674e0-bdc1-4d59-be29-2944e5f84254
NishiwakiH_2024	PRJDB15956	SAMD00618041	DRR480288	fdede115-a737-4709-bab2-b3906d1b3eae
NishiwakiH_2024	PRJDB15956	SAMD00618042	DRR480289	68e6328c-e2db-4ac5-97e2-70f181a05f4c
NishiwakiH_2024	PRJDB15956	SAMD00618043	DRR480290	61331b43-4b37-46cf-b739-72b235483aa1
NishiwakiH_2024	PRJDB15956	SAMD00618044	DRR480291	fcc2c74b-dcf9-4cd1-b75a-cfb877d544c0
NishiwakiH_2024	PRJDB15956	SAMD00618045	DRR480292	4a5c94ca-70d4-45ab-8a75-102b884531b1
NishiwakiH_2024	PRJDB15956	SAMD00618046	DRR480293	327e922c-6821-4ba5-94a9-b492b0b074d8
NishiwakiH_2024	PRJDB15956	SAMD00618047	DRR480294	266507ea-e4c7-477e-af83-39c9b74cc2cb
NishiwakiH_2024	PRJDB15956	SAMD00618048	DRR480295	3a8d0633-3747-4255-acb0-80cf77fded5b
NishiwakiH_2024	PRJDB15956	SAMD00618049	DRR480296	a4ba885c-9327-40f7-bd24-87a66c739fe6
NishiwakiH_2024	PRJDB15956	SAMD00618050	DRR480297	5351c607-4532-4633-a25f-467d04dd498d
NishiwakiH_2024	PRJDB15956	SAMD00618051	DRR480298	aedab809-f223-4e3d-9fe0-021058804b17
NishiwakiH_2024	PRJDB15956	SAMD00618052	DRR480299	a0bacca0-a489-4fc3-92c7-66dfc67a0335
NishiwakiH_2024	PRJDB15956	SAMD00618053	DRR480300	71ad8d35-3719-4be7-8b06-d60fafd56b99
NishiwakiH_2024	PRJDB15956	SAMD00618054	DRR480301	a1328336-9460-43fb-86b8-078900ad874f
NishiwakiH_2024	PRJDB15956	SAMD00618055	DRR480302	ba3f6d85-5a42-4605-90ed-1e2792dcd01b
NishiwakiH_2024	PRJDB15956	SAMD00618056	DRR480303	9a7e47f7-d571-49e3-a08d-5e3ef32d9a09
NishiwakiH_2024	PRJDB15956	SAMD00618057	DRR480304	859d058f-2e65-458c-be1d-b798234f9ad5
NishiwakiH_2024	PRJDB15956	SAMD00618058	DRR480305	c2d1a58e-9c7f-4bf9-a4b3-85f213a6ba2f
NishiwakiH_2024	PRJDB15956	SAMD00618059	DRR480306	ccdf1571-94bc-4163-80c4-5c0a489ff532
NishiwakiH_2024	PRJDB15956	SAMD00618060	DRR480307	290e285f-91de-474a-8240-32353109bd8c
NishiwakiH_2024	PRJDB15956	SAMD00618061	DRR480308	f59a6cb3-c82d-495b-956d-560637f7c49a
NishiwakiH_2024	PRJDB15956	SAMD00618062	DRR480309	deaa91e7-e2df-426d-b53f-1d17b662cb3b
NishiwakiH_2024	PRJDB15956	SAMD00618063	DRR480310	8fe3624a-08fa-48bd-9f62-7b40bee80b2f
NishiwakiH_2024	PRJDB15956	SAMD00618064	DRR480311	03088a34-bf9c-4492-b95f-db6e1e3c4c39
NishiwakiH_2024	PRJDB15956	SAMD00618065	DRR480312	385aa9a2-9efb-4ba3-b90e-9270142d71f5
NishiwakiH_2024	PRJDB15956	SAMD00618066	DRR480313	ed4c08fa-c3fc-49ed-b690-11951cf7260a
NishiwakiH_2024	PRJDB15956	SAMD00618067	DRR480314	37381972-24f8-400e-912a-36f29edf3e20
NishiwakiH_2024	PRJDB15956	SAMD00618068	DRR480315	fbaf2def-6210-4c81-8f54-f897985b23cc
NishiwakiH_2024	PRJDB15956	SAMD00618069	DRR480316	284fe87a-6dd6-47be-a853-cda7b9ef3a93
NishiwakiH_2024	PRJDB15956	SAMD00618070	DRR480317	e9ca4d99-5dfe-488d-9e74-4fbd563a4cb6
NishiwakiH_2024	PRJDB15956	SAMD00618071	DRR480318	2cde91f5-32dd-4543-a4e1-edd0e8715c08
NishiwakiH_2024	PRJDB15956	SAMD00618072	DRR480319	01ad9918-2d23-499b-8a88-563d39baf012
NishiwakiH_2024	PRJDB15956	SAMD00618073	DRR480320	0b6a6f1d-25a7-42ab-aead-9f7bed3d7d2e
NishiwakiH_2024	PRJDB15956	SAMD00618074	DRR480321	659b3964-c70e-46e1-84c9-28f03d3b34da
NishiwakiH_2024	PRJDB15956	SAMD00618075	DRR480322	dd0fb17c-9f9c-48e0-a6c5-a1b4e5c211f9
NishiwakiH_2024	PRJDB15956	SAMD00618076	DRR480323	ab0df0ff-be96-4196-87b9-fc76570ade38
NishiwakiH_2024	PRJDB15956	SAMD00618077	DRR480324	be9e7fe6-df9b-4d7b-901d-1245ed80ec0c
NishiwakiH_2024	PRJDB15956	SAMD00618078	DRR480325	1f6d8d72-00bd-4020-bd0b-f945e3d96b49
NishiwakiH_2024	PRJDB15956	SAMD00618079	DRR480326	91bd4fb5-2990-4d32-acff-6622c7347416
NishiwakiH_2024	PRJDB15956	SAMD00618080	DRR480327	1457f9fa-f87d-4ed7-b7cb-2d3f668e03e9
NishiwakiH_2024	PRJDB15956	SAMD00618081	DRR480328	5915aaf9-5396-4e9f-aace-40060a823cc3
NishiwakiH_2024	PRJDB15956	SAMD00618082	DRR480329	048ee4d2-299b-4c90-8c81-2834d1ce69a0
NishiwakiH_2024	PRJDB15956	SAMD00618083	DRR480330	51a6d417-f648-4ee6-b1e3-937f107a9a06
NishiwakiH_2024	PRJDB15956	SAMD00618084	DRR480331	7b62ba87-5308-42aa-9adf-de6787a7460c
NishiwakiH_2024	PRJDB15956	SAMD00618085	DRR480332	b316b5e7-aa9f-4c16-8d0c-316c2fd47838
NishiwakiH_2024	PRJDB15956	SAMD00618086	DRR480333	5553efef-935d-4f9f-bf64-d2a38a504086
NishiwakiH_2024	PRJDB15956	SAMD00618087	DRR480334	1f0892f4-6186-4614-88c0-6325f5aec062
NishiwakiH_2024	PRJDB15956	SAMD00618088	DRR480335	20dac749-d9a2-451c-8d24-f6f7eb0d622d
NishiwakiH_2024	PRJDB15956	SAMD00618089	DRR480336	e6bf25dc-d624-4108-b057-ae4e6c25c933
NishiwakiH_2024	PRJDB15956	SAMD00618090	DRR480337	5d06d041-e788-41ad-996d-53963d07cd0e
NishiwakiH_2024	PRJDB15956	SAMD00618091	DRR480338	f2aa4f59-969f-4c42-a389-7919bb69aa23
NishiwakiH_2024	PRJDB15956	SAMD00618092	DRR480339	d3dbdbf7-af26-4ca4-8bee-62f128d37a61
NishiwakiH_2024	PRJDB15956	SAMD00618093	DRR480340	4ae9da88-3bff-4160-8c9a-23ec7515bc87
NishiwakiH_2024	PRJDB15956	SAMD00618094	DRR480341	b551c6ff-7263-49a0-9004-b779e4870993
NishiwakiH_2024	PRJDB15956	SAMD00618095	DRR480342	5a080102-e70a-415b-b4c6-26c0cf84123b
NishiwakiH_2024	PRJDB15956	SAMD00618096	DRR480343	41a392b2-99a6-4ee7-9d3e-fe44b8aafce7
NishiwakiH_2024	PRJDB15956	SAMD00618097	DRR480344	3ecffe68-8a59-404f-a3ac-a38d674e692f
NishiwakiH_2024	PRJDB15956	SAMD00618098	DRR480345	dea769e2-2e32-4a38-a717-752fe26c3589
NishiwakiH_2024	PRJDB15956	SAMD00618099	DRR480346	199f8cee-6149-44ac-a550-77ee20e999ba
NishiwakiH_2024	PRJDB15956	SAMD00618100	DRR480347	4656c30b-078c-49bf-81a3-42d62a06507c
