study_name	BioProject	sample_id	NCBI_accession	uuid
WallenZD_2022	PRJNA834801	SAMN28061624	SRR19064454	f98b59d8-fc8d-49c2-a9dc-da64d5b16264
WallenZD_2022	PRJNA834801	SAMN28061625	SRR19064453	2b8ca99d-1bee-4aee-9c7b-6385eadae001
WallenZD_2022	PRJNA834801	SAMN28061626	SRR19064653	b233da50-3694-49b1-9afd-79f1302334ce
WallenZD_2022	PRJNA834801	SAMN28061627	SRR19064624	5c3c19cf-8b2f-401f-a4f8-7e04ffba7840
WallenZD_2022	PRJNA834801	SAMN28061628	SRR19064809	faa9efc9-a39d-42b8-82b7-ce6e10268a52
WallenZD_2022	PRJNA834801	SAMN28061629	SRR19064762	ccab7744-e6d7-4049-a1b7-caf32dcca346
WallenZD_2022	PRJNA834801	SAMN28061630	SRR19064747	281b3ccd-7e09-41b9-a34c-77334f74988b
WallenZD_2022	PRJNA834801	SAMN28061631	SRR19064990	331d45a2-69a8-47b6-aff5-7c772e2df96b
WallenZD_2022	PRJNA834801	SAMN28061632	SRR19064705	ee8e50aa-9e02-422f-ba22-c748b5cfe9b0
WallenZD_2022	PRJNA834801	SAMN28061633	SRR19064946	8c38bb62-42fb-4a2e-9f98-022218ef098e
WallenZD_2022	PRJNA834801	SAMN28061634	SRR19064391	a075c481-ab0a-4dd7-a73e-9cf874111eee
WallenZD_2022	PRJNA834801	SAMN28061635	SRR19064379	9ae1fb55-30bb-4288-9040-b22ee9988517
WallenZD_2022	PRJNA834801	SAMN28061636	SRR19064701	dcce5e8b-ea2e-4593-890d-02e8067ef912
WallenZD_2022	PRJNA834801	SAMN28061637	SRR19064690	4119c7f0-625b-4ad1-adc1-39251e9381a9
WallenZD_2022	PRJNA834801	SAMN28061638	SRR19064450	5283ed78-e5f2-40b6-89d4-911887856482
WallenZD_2022	PRJNA834801	SAMN28061639	SRR19064439	f1ed9584-5f84-444c-89df-6492afd98ad5
WallenZD_2022	PRJNA834801	SAMN28061640	SRR19064931	90406b61-614e-41fe-8771-9259f8fe32ed
WallenZD_2022	PRJNA834801	SAMN28061641	SRR19064920	fbedb54d-5a25-49fa-9483-f8a92f365343
WallenZD_2022	PRJNA834801	SAMN28061642	SRR19064675	0250ef15-7d45-4375-a070-ddaf4b01514b
WallenZD_2022	PRJNA834801	SAMN28061643	SRR19064664	4c1d920d-1d0d-4016-a9c2-83377a8e5fd9
WallenZD_2022	PRJNA834801	SAMN28061644	SRR19064652	a4faa735-b5d2-4744-87a7-0b607ad0477a
WallenZD_2022	PRJNA834801	SAMN28061645	SRR19064915	bbb41ca4-dc53-4ac6-aa96-70a6d1e1fa17
WallenZD_2022	PRJNA834801	SAMN28061646	SRR19064904	84bdceca-c393-4108-85ff-d27578828509
WallenZD_2022	PRJNA834801	SAMN28061647	SRR19064893	04b8e589-8532-47bb-944b-fdf709d98a8a
WallenZD_2022	PRJNA834801	SAMN28061648	SRR19064882	2cdffcc6-55ff-4b7f-8ad0-e65a26fb1985
WallenZD_2022	PRJNA834801	SAMN28061649	SRR19064870	36bee8fc-f2d6-4d2e-85d6-291d12bd199e
WallenZD_2022	PRJNA834801	SAMN28061650	SRR19064860	306729dc-9c7b-4e2c-9bd2-44303dfc74ad
WallenZD_2022	PRJNA834801	SAMN28061651	SRR19064428	7434f909-bbc5-49b9-9e60-7f127631a30e
WallenZD_2022	PRJNA834801	SAMN28061652	SRR19064416	e501d71f-6d99-47f6-8856-cedd7d8715a6
WallenZD_2022	PRJNA834801	SAMN28061653	SRR19064635	7c1772aa-a3a4-4e03-ac72-132992f7fee8
WallenZD_2022	PRJNA834801	SAMN28061654	SRR19064623	489f269d-db3c-4ec0-8f3f-28151cce1c03
WallenZD_2022	PRJNA834801	SAMN28061655	SRR19064403	02696167-c6cf-40bf-a44a-b0d28983221e
WallenZD_2022	PRJNA834801	SAMN28061656	SRR19064393	b80f30be-316c-41a6-a550-6ba84688cb30
WallenZD_2022	PRJNA834801	SAMN28061657	SRR19064610	a9c07537-c726-46d5-a7a1-1378ff803c02
WallenZD_2022	PRJNA834801	SAMN28061658	SRR19064600	72943548-3fed-4c77-ae09-252eccfd12ed
WallenZD_2022	PRJNA834801	SAMN28061659	SRR19064842	6d3e02a8-7b1e-4f91-acfb-64f38aa601d3
WallenZD_2022	PRJNA834801	SAMN28061660	SRR19064832	cb613bcf-938d-45cb-b1f9-974d0efc4f91
WallenZD_2022	PRJNA834801	SAMN28061661	SRR19064820	b8f2bf7b-76cf-49f4-9d2a-833514e9d2cc
WallenZD_2022	PRJNA834801	SAMN28061662	SRR19064599	69c75899-75a5-41ff-a432-77dc8a7ae14a
WallenZD_2022	PRJNA834801	SAMN28061663	SRR19064588	4cd0e09d-e685-4ca2-902b-1c20b1468e41
WallenZD_2022	PRJNA834801	SAMN28061664	SRR19064579	7c67c46a-f1bc-4bee-8590-924b7a8b88b6
WallenZD_2022	PRJNA834801	SAMN28061665	SRR19064798	9f037e5e-5a47-4c73-9e15-062085273101
WallenZD_2022	PRJNA834801	SAMN28061666	SRR19064365	e5fa3745-80af-42ec-8fdc-571e77a91587
WallenZD_2022	PRJNA834801	SAMN28061667	SRR19064355	b2b9e05a-8765-4913-afc5-6dcfef665707
WallenZD_2022	PRJNA834801	SAMN28061668	SRR19064787	42960381-8cca-4118-aa1d-db6e090a9cf3
WallenZD_2022	PRJNA834801	SAMN28061669	SRR19064775	b539d73e-ad85-48d8-8fe9-8de003a2c20b
WallenZD_2022	PRJNA834801	SAMN28061670	SRR19064574	b57dd3d1-413b-4f5d-a4cf-284f75b36887
WallenZD_2022	PRJNA834801	SAMN28061671	SRR19064562	9f1472ae-6d68-4201-8e1e-e7bb1972ac4e
WallenZD_2022	PRJNA834801	SAMN28061672	SRR19064530	0c93625a-0d50-4fb4-8da9-342bdc27f2c5
WallenZD_2022	PRJNA834801	SAMN28061673	SRR19064519	8d394491-7ae2-4fae-be01-8e68a19ccf41
WallenZD_2022	PRJNA834801	SAMN28061674	SRR19064761	1ed3b66a-7938-4c49-83e8-17e5997e88a9
WallenZD_2022	PRJNA834801	SAMN28061675	SRR19065038	9b9994c5-bd92-44dc-acd9-d981e92aa4ca
WallenZD_2022	PRJNA834801	SAMN28061676	SRR19064338	464975f2-c836-43ca-8172-458fdd615300
WallenZD_2022	PRJNA834801	SAMN28061677	SRR19064557	f903b812-3fb1-4dbc-82d3-edf5862b1f6c
WallenZD_2022	PRJNA834801	SAMN28061678	SRR19064546	7773146d-765f-4f4c-a54b-ae7396109226
WallenZD_2022	PRJNA834801	SAMN28061679	SRR19064513	b1ff67dc-20a5-4505-9430-7f69137c1dd4
WallenZD_2022	PRJNA834801	SAMN28061680	SRR19064502	b4fc7a34-15d1-4980-9e82-70b0dfa63699
WallenZD_2022	PRJNA834801	SAMN28061681	SRR19065033	35c70374-c58a-477e-aaa1-17bd6e373e8d
WallenZD_2022	PRJNA834801	SAMN28061682	SRR19065022	0759ead5-68f1-4158-ac8d-b0296971fc1e
WallenZD_2022	PRJNA834801	SAMN28061683	SRR19064322	d6ce967f-0fdf-48a3-a8db-c6012fa8650c
WallenZD_2022	PRJNA834801	SAMN28061684	SRR19064746	8622b22c-9b6e-4159-95e4-77a6c9063f7f
WallenZD_2022	PRJNA834801	SAMN28061685	SRR19064969	0825d8e5-bd94-4368-a386-4a1e8d02d3ad
WallenZD_2022	PRJNA834801	SAMN28061686	SRR19064958	c5c2dfed-d9c8-41ec-8e0c-87f8b6cb1128
WallenZD_2022	PRJNA834801	SAMN28061687	SRR19064485	8c577282-263b-4e3c-890a-b217ec04c614
WallenZD_2022	PRJNA834801	SAMN28061688	SRR19065016	456d14cf-d2c6-4e48-9f1b-b205de391c55
WallenZD_2022	PRJNA834801	SAMN28061689	SRR19065005	f14adc8e-7609-4d93-8120-71bf26e47f71
WallenZD_2022	PRJNA834801	SAMN28061690	SRR19064741	2800e4a0-218a-48fb-bdbe-7351424dddeb
WallenZD_2022	PRJNA834801	SAMN28061691	SRR19064730	b6ddf238-ccfb-4394-8015-21d58c097852
